Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,49,-0.0007849293563579884,0.043478260869565306,1.0
RDP,0.0,100,1.0,0.9934782608695655,22.85
BU,0.0,100,1.0,1.0,23.0
BU,0.0,100,1.0,1.0,23.0
VW,0.0,100,1.0,1.0,23.0
OS,0.01,61,0.20731707317073178,0.043478260869565306,1.0
RDP,0.01,100,1.0,0.7804347826086956,17.95
BU,0.01,99,0.9799839871897518,0.5813043478260876,13.37
BU,0.01,99,0.9799839871897518,0.5813043478260876,13.37
VW,0.01,99,0.9799839871897518,0.5800000000000003,13.34
OS,0.02,61,0.20731707317073178,0.043478260869565306,1.0
RDP,0.02,100,1.0,0.6239130434782612,14.35
BU,0.02,99,0.9799839871897518,0.4543478260869567,10.45
BU,0.02,99,0.9799839871897518,0.4543478260869567,10.45
VW,0.02,98,0.959951942330797,0.4565217391304347,10.5
OS,0.03,56,0.10386965376782065,0.05217391304347835,1.2
RDP,0.03,99,0.9799839871897518,0.5282608695652175,12.15
BU,0.03,98,0.959983993597439,0.3773913043478256,8.68
BU,0.03,98,0.959983993597439,0.3773913043478256,8.68
VW,0.03,97,0.9399038461538461,0.3926086956521738,9.03
OS,0.04,56,0.10386965376782065,0.06391304347826099,1.47
RDP,0.04,99,0.9799839871897518,0.4573913043478259,10.52
BU,0.04,95,0.9000799360511591,0.33869565217391284,7.79
BU,0.04,95,0.9000799360511591,0.33869565217391284,7.79
VW,0.04,97,0.9399519615692554,0.356521739130435,8.2
OS,0.05,68,0.3514389947304418,0.08217391304347837,1.89
RDP,0.05,99,0.9799839871897518,0.40304347826086945,9.27
BU,0.05,92,0.8403193612774451,0.31173913043478263,7.17
BU,0.05,92,0.8403193612774451,0.31173913043478263,7.17
VW,0.05,96,0.9199038846615939,0.32521739130434796,7.48
OS,0.06,71,0.4218500797448166,0.1082608695652174,2.49
RDP,0.06,97,0.9399038461538461,0.3560869565217393,8.19
BU,0.06,90,0.8005584363781412,0.2952173913043477,6.79
BU,0.06,90,0.8005584363781412,0.2952173913043477,6.79
VW,0.06,96,0.9199038846615939,0.30173913043478273,6.94
OS,0.07,59,0.19164037854889593,0.128695652173913,2.96
RDP,0.07,98,0.959951942330797,0.3195652173913043,7.35
BU,0.07,90,0.8007174172977282,0.28695652173913033,6.6
BU,0.07,90,0.8007174172977282,0.28695652173913033,6.6
VW,0.07,95,0.8998397435897436,0.28304347826086956,6.51
OS,0.08,56,0.1528762805358551,0.1308695652173912,3.01
RDP,0.08,98,0.959951942330797,0.2813043478260868,6.47
BU,0.08,85,0.7016706443914081,0.2713043478260868,6.24
BU,0.08,85,0.7016706443914081,0.2713043478260868,6.24
VW,0.08,95,0.8998397435897436,0.26043478260869546,5.99
OS,0.09,60,0.21166732361056362,0.13826086956521733,3.18
RDP,0.09,97,0.9399519615692554,0.25565217391304335,5.88
BU,0.09,76,0.5243757431629013,0.2530434782608693,5.82
BU,0.09,76,0.5243757431629013,0.2530434782608693,5.82
