Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,90,0.0,0.010101010101010081,1.0
RDP,0.0,100,1.0,1.0,99.0
BU,0.0,100,1.0,1.0101010101010102,100.0
VW,0.0,100,1.0,1.0,99.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,91,0.27419354838709664,0.034545454545454525,3.42
RDP,0.01,98,0.8780487804878049,0.20838383838383856,20.63
BU,0.01,96,0.7297297297297298,0.12151515151515145,12.03
VW,0.01,99,0.9418604651162791,0.3272727272727274,32.4
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,94,0.5454545454545454,0.04797979797979795,4.75
RDP,0.02,98,0.8780487804878049,0.13949494949494948,13.81
BU,0.02,92,0.31034482758620696,0.09363636363636361,9.27
VW,0.02,100,1.0,0.2519191919191918,24.94
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,94,0.5945945945945946,0.054646464646464644,5.41
RDP,0.03,94,0.5454545454545454,0.10949494949494949,10.84
BU,0.03,92,0.31034482758620696,0.08070707070707071,7.99
VW,0.03,98,0.8780487804878049,0.21373737373737378,21.16
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,94,0.5945945945945946,0.05868686868686867,5.81
RDP,0.04,92,0.3939393939393939,0.09212121212121216,9.12
BU,0.04,91,0.3571428571428571,0.07303030303030299,7.23
VW,0.04,97,0.8076923076923077,0.187878787878788,18.6
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,94,0.5945945945945946,0.0622222222222222,6.16
RDP,0.05,90,0.13793103448275867,0.08101010101010099,8.02
BU,0.05,92,0.45945945945945954,0.06787878787878789,6.72
VW,0.05,97,0.8076923076923077,0.17191919191919205,17.02
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,93,0.5,0.06727272727272726,6.66
RDP,0.06,91,0.16666666666666674,0.07383838383838383,7.31
BU,0.06,95,0.6794871794871795,0.0632323232323232,6.26
VW,0.06,95,0.6428571428571428,0.15989898989898998,15.83
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,94,0.5454545454545454,0.07151515151515149,7.08
RDP,0.07,92,0.31034482758620696,0.06767676767676767,6.7
BU,0.07,95,0.6794871794871795,0.061616161616161576,6.1
VW,0.07,96,0.7297297297297298,0.14949494949494946,14.8
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,95,0.6428571428571428,0.07777777777777775,7.7
RDP,0.08,93,0.4354838709677419,0.06323232323232322,6.26
