Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,5,-0.00849256900212314,0.010204081632653067,1.0
RDP,0.0,100,1.0,0.9999999999999999,98.0
BU,0.0,100,1.0,0.9999999999999999,98.0
BU,0.0,100,1.0,0.9999999999999999,98.0
VW,0.0,100,1.0,0.9999999999999999,98.0
OS,0.01,37,0.11205073995771675,0.02408163265306121,2.36
RDP,0.01,93,0.9026966916875174,0.2003061224489795,19.63
BU,0.01,90,0.8617447808654777,0.21642857142857141,21.21
BU,0.01,90,0.8617447808654777,0.21642857142857141,21.21
VW,0.01,95,0.9314317059791553,0.20571428571428566,20.16
OS,0.02,55,0.35409789005310754,0.03612244897959185,3.54
RDP,0.02,82,0.7531879884821061,0.1305102040816327,12.79
BU,0.02,85,0.7926458390931712,0.15938775510204078,15.62
BU,0.02,85,0.7926458390931712,0.15938775510204078,15.62
VW,0.02,95,0.9318986652138382,0.15132653061224488,14.83
OS,0.03,65,0.5030526764162998,0.044183673469387744,4.33
RDP,0.03,75,0.648876404494382,0.10061224489795918,9.86
BU,0.03,78,0.6882086167800454,0.133265306122449,13.06
BU,0.03,78,0.6882086167800454,0.133265306122449,13.06
VW,0.03,92,0.8916136024928871,0.12714285714285709,12.46
OS,0.04,72,0.6104618809126321,0.048265306122448955,4.73
RDP,0.04,69,0.5479072480676681,0.08336734693877552,8.17
BU,0.04,79,0.7049733071087385,0.11816326530612242,11.58
BU,0.04,79,0.7049733071087385,0.11816326530612242,11.58
VW,0.04,83,0.7689275519913008,0.11020408163265306,10.8
OS,0.05,74,0.6453900709219857,0.05153061224489791,5.05
RDP,0.05,65,0.49157466589192333,0.07214285714285713,7.07
BU,0.05,75,0.6447349722893279,0.10693877551020405,10.48
BU,0.05,75,0.6447349722893279,0.10693877551020405,10.48
VW,0.05,83,0.7689275519913008,0.10040816326530612,9.84
OS,0.06,80,0.7276688453159041,0.056632653061224454,5.55
RDP,0.06,67,0.5304496300512236,0.06469387755102039,6.34
BU,0.06,72,0.6052446073593685,0.09795918367346937,9.6
BU,0.06,72,0.6052446073593685,0.09795918367346937,9.6
VW,0.06,80,0.7264396115442484,0.09183673469387754,9.0
OS,0.07,82,0.7547683923705721,0.06173469387755099,6.05
RDP,0.07,56,0.41256830601092886,0.05867346938775509,5.75
BU,0.07,72,0.6059667886293274,0.09489795918367351,9.3
BU,0.07,72,0.6059667886293274,0.09489795918367351,9.3
VW,0.07,80,0.7239094422970734,0.08469387755102042,8.3
OS,0.08,82,0.7524752475247525,0.06714285714285716,6.58
RDP,0.08,49,0.3052717613404168,0.05397959183673469,5.29
BU,0.08,70,0.5726495726495726,0.08857142857142859,8.68
BU,0.08,70,0.5726495726495726,0.08857142857142859,8.68
VW,0.08,76,0.6666666666666665,0.07795918367346938,7.64
OS,0.09,81,0.7374602735940308,0.07091836734693881,6.95
RDP,0.09,51,0.3194444444444444,0.049387755102040826,4.84
BU,0.09,70,0.5721620079863092,0.08326530612244896,8.16
BU,0.09,70,0.5721620079863092,0.08326530612244896,8.16
VW,0.09,74,0.6397395039490092,0.07530612244897955,7.38
OS,0.1,84,0.7770966843131791,0.07520408163265307,7.37
RDP,0.1,50,0.3114844395483338,0.04622448979591838,4.53
BU,0.1,65,0.5058590992517296,0.07999999999999996,7.84
BU,0.1,65,0.5058590992517296,0.07999999999999996,7.84
VW,0.1,77,0.6813521751177611,0.07204081632653059,7.06
OS,0.11,86,0.8051224944320713,0.07979591836734694,7.82
RDP,0.11,50,0.3210211841390549,0.04306122448979594,4.22
BU,0.11,65,0.5022753128555175,0.0777551020408163,7.62
BU,0.11,65,0.5022753128555175,0.0777551020408163,7.62
VW,0.11,75,0.6537875640493006,0.06857142857142856,6.72
OS,0.12,86,0.8020361990950227,0.08561224489795918,8.39
RDP,0.12,48,0.2909735478592854,0.040918367346938794,4.01
BU,0.12,64,0.4920276562720475,0.07489795918367344,7.34
BU,0.12,64,0.4920276562720475,0.07489795918367344,7.34
VW,0.12,74,0.6416264645072364,0.066734693877551,6.54
OS,0.13,87,0.8173644282101714,0.08887755102040813,8.71
RDP,0.13,46,0.28835002635740636,0.03714285714285716,3.64
BU,0.13,65,0.5012824166429183,0.07183673469387752,7.04
BU,0.13,65,0.5012824166429183,0.07183673469387752,7.04
VW,0.13,71,0.5979481491751004,0.0643877551020408,6.31
OS,0.14,90,0.8616491422246818,0.09183673469387754,9.0
RDP,0.14,45,0.2788776714304444,0.03551020408163267,3.48
BU,0.14,62,0.45729791488146254,0.07020408163265303,6.88
BU,0.14,62,0.45729791488146254,0.07020408163265303,6.88
VW,0.14,68,0.5563565784001109,0.06255102040816327,6.13
OS,0.15,91,0.8755530973451328,0.09581632653061224,9.39
RDP,0.15,41,0.23703607914134217,0.03428571428571431,3.36
