Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,18,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.9860000000000001,78.88
BU,0.0,100,1.0,1.0125000000000017,81.0
VW,0.0,100,1.0,1.0,80.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,45,0.2638201044036942,0.0737500000000001,5.9
RDP,0.01,99,0.9830076465590484,0.5092500000000001,40.74
BU,0.01,95,0.9175189706367536,0.2119999999999999,16.96
VW,0.01,99,0.9831932773109243,0.5760000000000002,46.08
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,62,0.45745288406624784,0.10825000000000001,8.66
RDP,0.02,96,0.9329871000167532,0.35025000000000006,28.02
BU,0.02,94,0.8994806500251298,0.1710000000000001,13.68
VW,0.02,97,0.9495034505975425,0.44437500000000035,35.55
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,84,0.7491769869885562,0.13499999999999995,10.8
RDP,0.03,93,0.8843548653560218,0.2688750000000001,21.51
BU,0.03,93,0.8843548653560218,0.15625000000000003,12.5
VW,0.03,97,0.9500499500499501,0.38512500000000005,30.81
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,84,0.746233148295004,0.14712499999999998,11.77
RDP,0.04,94,0.9014778325123153,0.22749999999999987,18.2
BU,0.04,92,0.8672199170124482,0.14649999999999994,11.72
VW,0.04,97,0.9495034505975425,0.348375,27.87
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,85,0.7610323402899474,0.15475000000000008,12.38
RDP,0.05,91,0.8542274052478134,0.20199999999999996,16.16
BU,0.05,90,0.835553362933728,0.14224999999999993,11.38
VW,0.05,95,0.9175189706367536,0.3212499999999999,25.7
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,85,0.7610323402899474,0.16062500000000007,12.85
RDP,0.06,88,0.8082454458293384,0.18575,14.86
BU,0.06,90,0.835553362933728,0.14049999999999996,11.24
VW,0.06,94,0.9014778325123153,0.30024999999999996,24.02
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,87,0.7910303809676901,0.16575000000000006,13.26
RDP,0.07,91,0.8542274052478134,0.17037500000000008,13.63
BU,0.07,91,0.8513133983148852,0.13774999999999987,11.02
VW,0.07,94,0.9014778325123153,0.281875,22.55
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,87,0.7910303809676901,0.1695000000000001,13.56
RDP,0.08,90,0.8387616897774911,0.16000000000000003,12.8
BU,0.08,90,0.835553362933728,0.13499999999999987,10.8
VW,0.08,94,0.9014778325123153,0.270125,21.61
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,91,0.8526763791127845,0.1745000000000001,13.96
RDP,0.09,88,0.8082454458293384,0.15325000000000005,12.26
BU,0.09,86,0.7739383174551914,0.13187499999999988,10.55
VW,0.09,93,0.88558352402746,0.2583750000000001,20.67
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,92,0.8684426903469824,0.1786250000000001,14.29
RDP,0.1,89,0.8234349919743178,0.14675000000000002,11.74
BU,0.1,79,0.6746203904555315,0.12799999999999995,10.24
VW,0.1,94,0.9014778325123153,0.246125,19.69
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,92,0.8684426903469824,0.18600000000000005,14.88
RDP,0.11,88,0.8082454458293384,0.143375,11.47
BU,0.11,76,0.6360327570518653,0.12487499999999997,9.99
VW,0.11,92,0.8698340383989587,0.23774999999999996,19.02
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,93,0.88558352402746,0.19399999999999992,15.52
RDP,0.12,88,0.8082454458293384,0.14037499999999997,11.23
BU,0.12,72,0.5824634655532359,0.12162500000000001,9.73
VW,0.12,92,0.8698340383989587,0.23099999999999998,18.48
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,93,0.88558352402746,0.19837499999999988,15.87
RDP,0.13,88,0.8082454458293384,0.138375,11.07
BU,0.13,68,0.5306541507773541,0.11737500000000006,9.39
VW,0.13,93,0.88558352402746,0.22425000000000003,17.94
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,92,0.8698340383989587,0.2049999999999999,16.4
RDP,0.14,87,0.7931912185809735,0.13399999999999992,10.72
BU,0.14,59,0.4208221500211894,0.112875,9.03
VW,0.14,92,0.8698340383989587,0.21775000000000005,17.42
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,93,0.88558352402746,0.20837499999999992,16.67
RDP,0.15,86,0.7782705099778271,0.12999999999999998,10.4
BU,0.15,55,0.3742177722152691,0.10925000000000001,8.74
VW,0.15,90,0.8387616897774911,0.211875,16.95
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,92,0.8700243704305443,0.2156249999999999,17.25
RDP,0.16,82,0.7198879551820728,0.12649999999999995,10.12
BU,0.16,52,0.33938893476465726,0.10599999999999996,8.48
VW,0.16,92,0.8698340383989587,0.20749999999999993,16.6
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,94,0.9014778325123153,0.2199999999999999,17.6
RDP,0.17,80,0.691453255168158,0.12224999999999998,9.78
BU,0.17,48,0.2952019517484413,0.10237499999999995,8.19
VW,0.17,92,0.8698340383989587,0.20387499999999995,16.31
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,95,0.9175189706367536,0.22699999999999998,18.16
RDP,0.18,77,0.6497106305208651,0.116875,9.35
BU,0.18,47,0.2843640291655415,0.098,7.84
VW,0.18,91,0.8542274052478134,0.20012500000000003,16.01
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,97,0.9500499500499501,0.23387500000000003,18.71
RDP,0.19,71,0.5693495693495694,0.11162500000000003,8.93
BU,0.19,46,0.27360774818401945,0.09462500000000004,7.57
VW,0.19,91,0.8542274052478134,0.196375,15.71
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,96,0.9337089824328804,0.24075000000000002,19.26
RDP,0.2,67,0.5179666958808063,0.10562500000000005,8.45
BU,0.2,45,0.26293218976145805,0.09212500000000005,7.37
VW,0.2,91,0.8542274052478134,0.19375000000000003,15.5
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,96,0.9337089824328804,0.2462500000000001,19.7
RDP,0.21,63,0.4682379994251221,0.10200000000000008,8.16
BU,0.21,44,0.2486247148799141,0.08912500000000005,7.13
VW,0.21,91,0.8542274052478134,0.191,15.28
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,96,0.9337089824328804,0.2506250000000002,20.05
RDP,0.22,55,0.37098126922001673,0.09787500000000005,7.83
BU,0.22,44,0.2486247148799141,0.08650000000000008,6.92
VW,0.22,92,0.8698340383989587,0.18837500000000007,15.07
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,95,0.9175189706367536,0.2571250000000002,20.57
RDP,0.23,46,0.26720043425159445,0.09412500000000007,7.53
BU,0.23,45,0.2638201044036942,0.08362500000000013,6.69
VW,0.23,91,0.8542274052478134,0.18612500000000004,14.89
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,95,0.9175189706367536,0.2638750000000001,21.11
RDP,0.24,44,0.24487594390507006,0.08912500000000007,7.13
BU,0.24,45,0.2638201044036942,0.08150000000000011,6.52
VW,0.24,90,0.8387616897774911,0.182875,14.63
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,95,0.9175189706367536,0.2700000000000002,21.6
RDP,0.25,45,0.2592592592592593,0.08687500000000008,6.95
BU,0.25,45,0.2638201044036942,0.0790000000000001,6.32
VW,0.25,90,0.8387616897774911,0.18074999999999997,14.46
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,95,0.9175189706367536,0.2760000000000001,22.08
RDP,0.26,45,0.2592592592592593,0.08537500000000009,6.83
BU,0.26,45,0.2638201044036942,0.0778750000000001,6.23
VW,0.26,90,0.8387616897774911,0.17837499999999995,14.27
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,95,0.9175189706367536,0.2825000000000001,22.6
RDP,0.27,44,0.2486247148799141,0.0820000000000001,6.56
BU,0.27,45,0.2638201044036942,0.0771250000000001,6.17
VW,0.27,92,0.8698340383989587,0.17600000000000002,14.08
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,95,0.9175189706367536,0.28675000000000006,22.94
RDP,0.28,44,0.2486247148799141,0.08025000000000011,6.42
BU,0.28,45,0.2638201044036942,0.07637500000000012,6.11
VW,0.28,91,0.8542274052478134,0.17350000000000002,13.88
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,95,0.9175189706367536,0.29262499999999997,23.41
RDP,0.29,44,0.2486247148799141,0.07937500000000011,6.35
BU,0.29,45,0.2638201044036942,0.07612500000000012,6.09
VW,0.29,90,0.8387616897774911,0.17125,13.7
LSF,0.29,0,0.0,0.0,0.0
OS,0.3,95,0.9175189706367536,0.29849999999999993,23.88
RDP,0.3,44,0.2486247148799141,0.07737500000000012,6.19
BU,0.3,45,0.2638201044036942,0.07550000000000012,6.04
VW,0.3,90,0.8387616897774911,0.16875000000000004,13.5
LSF,0.3,0,0.0,0.0,0.0
OS,0.31,95,0.9175189706367536,0.30374999999999996,24.3
RDP,0.31,44,0.2486247148799141,0.07650000000000012,6.12
BU,0.31,45,0.2638201044036942,0.07550000000000012,6.04
VW,0.31,90,0.8387616897774911,0.16662500000000002,13.33
LSF,0.31,0,0.0,0.0,0.0
OS,0.32,95,0.9175189706367536,0.3106250000000001,24.85
RDP,0.32,44,0.24953095684803006,0.07562500000000011,6.05
BU,0.32,45,0.2638201044036942,0.07500000000000012,6.0
VW,0.32,88,0.8082454458293384,0.16575000000000004,13.26
LSF,0.32,0,0.0,0.0,0.0
OS,0.33,95,0.9175189706367536,0.3160000000000001,25.28
RDP,0.33,44,0.24953095684803006,0.07550000000000011,6.04
BU,0.33,45,0.2638201044036942,0.07500000000000012,6.0
VW,0.33,88,0.8082454458293384,0.16412499999999997,13.13
LSF,0.33,0,0.0,0.0,0.0
OS,0.34,95,0.9175189706367536,0.3205000000000001,25.64
RDP,0.34,44,0.24953095684803006,0.07512500000000012,6.01
BU,0.34,45,0.2638201044036942,0.07437500000000011,5.95
VW,0.34,88,0.8082454458293384,0.16262499999999996,13.01
LSF,0.34,0,0.0,0.0,0.0
