Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,15,-0.03709126403123464,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.9858227848101266,77.88
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,66,0.009324009324009341,0.06493670886075958,5.13
RDP,0.01,100,1.0,0.5034177215189874,39.77
BU,0.01,90,0.6987951807228916,0.39189873417721516,30.96
BU,0.01,90,0.6987951807228916,0.39189873417721516,30.96
VW,0.01,95,0.856651376146789,0.3773417721518984,29.81
OS,0.02,81,0.32528409090909083,0.09848101265822788,7.78
RDP,0.02,92,0.7668997668997669,0.3421518987341773,27.03
BU,0.02,87,0.6149289099526066,0.31240506329113915,24.68
BU,0.02,87,0.6149289099526066,0.31240506329113915,24.68
VW,0.02,90,0.7264770240700219,0.2913924050632912,23.02
OS,0.03,84,0.4428969359331476,0.12518987341772167,9.89
RDP,0.03,90,0.7086247086247086,0.2598734177215191,20.53
BU,0.03,88,0.6385542168674699,0.2769620253164555,21.88
BU,0.03,88,0.6385542168674699,0.2769620253164555,21.88
VW,0.03,88,0.6613995485327313,0.24898734177215193,19.67
OS,0.04,85,0.506578947368421,0.13443037974683567,10.62
RDP,0.04,91,0.7334123222748815,0.21759493670886065,17.19
BU,0.04,84,0.562363238512035,0.2564556962025314,20.26
BU,0.04,84,0.562363238512035,0.2564556962025314,20.26
VW,0.04,90,0.7086247086247086,0.22126582278481,17.48
OS,0.05,87,0.6017156862745099,0.1393670886075952,11.01
RDP,0.05,89,0.6944444444444444,0.19215189873417698,15.18
BU,0.05,85,0.6077405857740585,0.2486075949367086,19.64
BU,0.05,85,0.6077405857740585,0.2486075949367086,19.64
VW,0.05,87,0.6272935779816514,0.20189873417721496,15.95
OS,0.06,87,0.6149289099526066,0.14278481012658256,11.28
RDP,0.06,89,0.7036637931034482,0.17544303797468344,13.86
BU,0.06,86,0.6170678336980306,0.24481012658227821,19.34
BU,0.06,86,0.6170678336980306,0.24481012658227821,19.34
VW,0.06,89,0.6846330275229358,0.18999999999999972,15.01
OS,0.07,85,0.5556872037914692,0.14670886075949394,11.59
RDP,0.07,89,0.7036637931034482,0.15962025316455694,12.61
BU,0.07,82,0.5222929936305732,0.24025316455696175,18.98
BU,0.07,82,0.5222929936305732,0.24025316455696175,18.98
VW,0.07,89,0.6846330275229358,0.18075949367088595,14.28
OS,0.08,89,0.6741706161137441,0.15088607594936726,11.92
RDP,0.08,82,0.5076586433260395,0.14924050632911404,11.79
BU,0.08,77,0.39853556485355657,0.2346835443037972,18.54
BU,0.08,77,0.39853556485355657,0.2346835443037972,18.54
VW,0.08,90,0.7086247086247086,0.17253164556962008,13.63
OS,0.09,89,0.6741706161137441,0.1548101265822786,12.23
RDP,0.09,81,0.4881465517241379,0.1421518987341774,11.23
BU,0.09,74,0.38330170777988615,0.2286075949367086,18.06
BU,0.09,74,0.38330170777988615,0.2286075949367086,18.06
VW,0.09,88,0.6385542168674699,0.16556962025316455,13.08
OS,0.1,87,0.6272935779816514,0.159240506329114,12.58
RDP,0.1,82,0.5222929936305732,0.13544303797468374,10.7
BU,0.1,70,0.3567753001715266,0.21999999999999967,17.38
BU,0.1,70,0.3567753001715266,0.21999999999999967,17.38
VW,0.1,89,0.6741706161137441,0.1582278481012659,12.5
OS,0.11,92,0.7668997668997669,0.16759493670886072,13.24
RDP,0.11,82,0.5360824742268041,0.1318987341772154,10.42
BU,0.11,67,0.3170529801324502,0.213417721518987,16.86
BU,0.11,67,0.3170529801324502,0.213417721518987,16.86
VW,0.11,86,0.592074592074592,0.15354430379746853,12.13
