Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,56,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.9790000000000001,78.32
BU_1,0.0,100,1.0,1.0125000000000017,81.0
BU_2,0.0,100,1.0,1.0,80.0
VW,0.0,100,1.0,1.0,80.0
OS,0.01,43,0.0,0.063375,5.07
RDP,0.01,100,1.0,0.4824999999999999,38.6
BU_1,0.01,100,1.0,0.19849999999999995,15.88
BU_2,0.01,100,1.0,0.3803750000000001,30.43
VW,0.01,100,1.0,0.5551250000000002,44.41
OS,0.02,74,0.503627338678885,0.09937500000000002,7.95
RDP,0.02,100,1.0,0.33,26.4
BU_1,0.02,100,1.0,0.16612500000000005,13.29
BU_2,0.02,100,1.0,0.31562500000000004,25.25
VW,0.02,100,1.0,0.42462500000000014,33.97
OS,0.03,99,0.9796582587469488,0.12424999999999996,9.94
RDP,0.03,100,1.0,0.253875,20.31
BU_1,0.03,98,0.9589659417316373,0.15175000000000002,12.14
BU_2,0.03,98,0.9589659417316373,0.286875,22.95
VW,0.03,100,1.0,0.36762500000000004,29.41
OS,0.04,100,1.0,0.13649999999999995,10.92
RDP,0.04,100,1.0,0.21674999999999994,17.34
BU_1,0.04,99,0.9795417348608838,0.14500000000000005,11.6
BU_2,0.04,99,0.9795417348608838,0.2738750000000001,21.91
VW,0.04,100,1.0,0.33412500000000006,26.73
OS,0.05,100,1.0,0.14387500000000003,11.51
RDP,0.05,100,1.0,0.19525000000000003,15.62
BU_1,0.05,96,0.9174576970697482,0.14,11.2
BU_2,0.05,96,0.9174576970697482,0.26387499999999997,21.11
VW,0.05,100,1.0,0.305125,24.41
OS,0.06,100,1.0,0.14975000000000005,11.98
RDP,0.06,100,1.0,0.177375,14.19
BU_1,0.06,95,0.8965231788079471,0.1358749999999999,10.87
BU_2,0.06,95,0.8965231788079471,0.255625,20.45
VW,0.06,100,1.0,0.286875,22.95
OS,0.07,100,1.0,0.15262500000000004,12.21
RDP,0.07,100,1.0,0.16225000000000006,12.98
BU_1,0.07,94,0.8754669987546699,0.1322499999999999,10.58
BU_2,0.07,94,0.8754669987546699,0.24837500000000007,19.87
VW,0.07,100,1.0,0.2749999999999999,22.0
OS,0.08,98,0.9589659417316373,0.15687500000000001,12.55
RDP,0.08,100,1.0,0.153125,12.25
BU_1,0.08,95,0.8965231788079471,0.1291249999999999,10.33
BU_2,0.08,95,0.8965231788079471,0.24212499999999998,19.37
VW,0.08,100,1.0,0.26125,20.9
OS,0.09,98,0.9589659417316373,0.161,12.88
RDP,0.09,100,1.0,0.145375,11.63
BU_1,0.09,95,0.8965231788079471,0.12599999999999997,10.08
BU_2,0.09,95,0.8965231788079471,0.23587500000000006,18.87
VW,0.09,100,1.0,0.25049999999999994,20.04
OS,0.1,99,0.9795417348608838,0.16824999999999996,13.46
RDP,0.1,100,1.0,0.1415,11.32
BU_1,0.1,92,0.8349153941394964,0.12187499999999998,9.75
BU_2,0.1,92,0.8349153941394964,0.227625,18.21
VW,0.1,100,1.0,0.2416250000000001,19.33
OS,0.11,100,1.0,0.175,14.0
RDP,0.11,99,0.9796582587469488,0.1375,11.0
BU_1,0.11,93,0.8559670781893004,0.11875000000000002,9.5
BU_2,0.11,93,0.8559670781893004,0.221375,17.71
VW,0.11,100,1.0,0.23337499999999994,18.67
OS,0.12,100,1.0,0.18274999999999994,14.62
RDP,0.12,100,1.0,0.13412499999999997,10.73
BU_1,0.12,95,0.897708674304419,0.11375000000000006,9.1
BU_2,0.12,95,0.897708674304419,0.21137499999999992,16.91
VW,0.12,100,1.0,0.22487500000000005,17.99
OS,0.13,100,1.0,0.18937499999999993,15.15
RDP,0.13,99,0.9796582587469488,0.131,10.48
BU_1,0.13,94,0.8776009791921665,0.10925000000000003,8.74
BU_2,0.13,94,0.8776009791921665,0.20237499999999994,16.19
VW,0.13,100,1.0,0.21712499999999998,17.37
OS,0.14,100,1.0,0.19449999999999995,15.56
RDP,0.14,99,0.9796582587469488,0.126125,10.09
BU_1,0.14,90,0.7983057684550222,0.10475000000000001,8.38
BU_2,0.14,90,0.7983057684550222,0.19337499999999996,15.47
VW,0.14,100,1.0,0.21075000000000002,16.86
OS,0.15,100,1.0,0.19950000000000007,15.96
RDP,0.15,99,0.9796582587469488,0.12275,9.82
BU_1,0.15,81,0.6242088607594937,0.10012499999999999,8.01
BU_2,0.15,81,0.6242088607594937,0.18412499999999996,14.73
VW,0.15,100,1.0,0.205625,16.45
OS,0.16,100,1.0,0.20387500000000003,16.31
RDP,0.16,98,0.9594320486815415,0.11850000000000004,9.48
BU_1,0.16,80,0.609832227857979,0.09574999999999996,7.66
BU_2,0.16,80,0.609832227857979,0.17537499999999992,14.03
VW,0.16,100,1.0,0.201875,16.15
OS,0.17,100,1.0,0.21012500000000006,16.81
RDP,0.17,96,0.9193223073820089,0.11500000000000002,9.2
BU_1,0.17,77,0.5525291828793775,0.09162499999999998,7.33
