Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.55,0.0671641791044777,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,1.0,79.0
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.58,0.0,0.01265822784810127,1.0
OS,0.1,0.74,0.47665056360708535,0.15696202531645573,12.4
RDP,0.1,0.71,0.4218500797448166,0.13151898734177223,10.39
BU,0.1,0.64,0.24623115577889443,0.11405063291139243,9.01
VC,0.1,0.81,0.6087314662273476,0.23392405063291136,18.48
LSF,0.1,0.49,-0.02327447833065799,0.10126582278481017,8.0
OS,0.2,0.8,0.5948136142625609,0.22025316455696203,17.4
RDP,0.2,0.66,0.28810720268006695,0.09101265822784813,7.19
BU,0.2,0.69,0.30679785330948117,0.07607594936708861,6.01
VC,0.2,0.72,0.4252873563218391,0.1791139240506329,14.15
LSF,0.2,0.84,0.6820349761526232,0.20253164556962033,16.0
OS,0.30000000000000004,0.82,0.6376811594202898,0.2788607594936709,22.03
RDP,0.30000000000000004,0.52,0.008264462809917328,0.06417721518987345,5.07
BU,0.30000000000000004,0.6,0.09584086799276659,0.06354430379746838,5.02
VC,0.30000000000000004,0.68,0.355877616747182,0.1558227848101266,12.31
LSF,0.30000000000000004,0.89,0.7792937399678973,0.3037974683544304,24.0
OS,0.4,0.88,0.7553017944535073,0.34278481012658235,27.08
RDP,0.4,0.58,0.1264559068219634,0.060886075949367104,4.81
BU,0.4,0.6,0.09584086799276659,0.06329113924050635,5.0
VC,0.4,0.62,0.2448330683624801,0.14253164556962028,11.26
LSF,0.4,0.9,0.7987117552334944,0.40506329113924067,32.0
OS,0.5,0.93,0.8577235772357723,0.411518987341772,32.51
RDP,0.5,0.6,0.16805324459234605,0.050253164556962035,3.97
BU,0.5,0.6,0.09584086799276659,0.06329113924050635,5.0
VC,0.5,0.62,0.2448330683624801,0.13544303797468357,10.7
LSF,0.5,0.9,0.7987117552334944,0.5063291139240508,40.0
OS,0.6000000000000001,0.94,0.8768472906403941,0.4929113924050633,38.94
RDP,0.6000000000000001,0.6,0.12126537785588742,0.026075949367088614,2.06
BU,0.6000000000000001,0.64,0.18625678119348998,0.05822784810126585,4.6
VC,0.6000000000000001,0.6,0.20508744038155802,0.13227848101265827,10.45
LSF,0.6000000000000001,0.9,0.7987117552334944,0.5063291139240508,40.0
OS,0.7000000000000001,0.95,0.8970345963756178,0.5939240506329113,46.92
RDP,0.7000000000000001,0.57,-0.019924098671726842,0.012784810126582285,1.01
BU,0.7000000000000001,0.62,0.15329768270944732,0.05000000000000001,3.95
VC,0.7000000000000001,0.6,0.20508744038155802,0.12936708860759497,10.22
LSF,0.7000000000000001,0.9,0.7987117552334944,0.5063291139240508,40.0
OS,0.8,0.97,0.9382207578253707,0.7229113924050634,57.11
RDP,0.8,0.58,0.0,0.01265822784810127,1.0
BU,0.8,0.63,0.1843033509700176,0.043924050632911396,3.47
VC,0.8,0.6,0.20508744038155802,0.12734177215189876,10.06
LSF,0.8,0.9,0.7987117552334944,0.5063291139240508,40.0
OS,0.9,1.0,1.0,0.8665822784810127,68.46
RDP,0.9,0.58,0.0,0.01265822784810127,1.0
BU,0.9,0.61,0.13410301953818837,0.03721518987341772,2.94
VC,0.9,0.61,0.22248803827751196,0.12493670886075953,9.87
LSF,0.9,0.9,0.7987117552334944,0.5063291139240508,40.0
