Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.63,0.013859275053304976,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,1.0,79.0
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.62,-0.021505376344086002,0.01265822784810127,1.0
OS,0.1,0.85,0.6816638370118846,0.15696202531645573,12.4
RDP,0.1,0.79,0.5418848167539267,0.13151898734177223,10.39
BU,0.1,0.81,0.5912220309810671,0.11405063291139243,9.01
VC,0.1,0.88,0.7435897435897436,0.23392405063291136,18.48
LSF,0.1,0.73,0.48940998487140697,0.10126582278481017,8.0
OS,0.2,0.86,0.7048903878583473,0.22025316455696203,17.4
RDP,0.2,0.56,0.22861150070126235,0.09101265822784813,7.19
BU,0.2,0.43,0.048731642189586144,0.07607594936708861,6.01
VC,0.2,0.85,0.6859296482412061,0.1791139240506329,14.15
LSF,0.2,0.92,0.8266897746967071,0.20253164556962033,16.0
OS,0.30000000000000004,0.94,0.8700173310225303,0.2788607594936709,22.03
RDP,0.30000000000000004,0.37,0.011919698870765494,0.06417721518987345,5.07
BU,0.30000000000000004,0.34,-0.05095541401273884,0.06354430379746838,5.02
VC,0.30000000000000004,0.84,0.6627318718381112,0.1558227848101266,12.31
LSF,0.30000000000000004,0.98,0.9560632688927944,0.3037974683544304,24.0
OS,0.4,0.96,0.9121265377855887,0.34278481012658235,27.08
RDP,0.4,0.39,0.013583441138421803,0.060886075949367104,4.81
BU,0.4,0.33,-0.06147021546261078,0.06329113924050635,5.0
VC,0.4,0.84,0.6581196581196581,0.14253164556962028,11.26
LSF,0.4,0.98,0.9547920433996383,0.40506329113924067,32.0
OS,0.5,0.96,0.9121265377855887,0.411518987341772,32.51
RDP,0.5,0.42,-0.005547850208044158,0.050253164556962035,3.97
BU,0.5,0.33,-0.06147021546261078,0.06329113924050635,5.0
VC,0.5,0.81,0.5912220309810671,0.13544303797468357,10.7
LSF,0.5,0.98,0.9554367201426025,0.5063291139240508,40.0
OS,0.6000000000000001,0.98,0.9560632688927944,0.4929113924050633,38.94
RDP,0.6000000000000001,0.52,0.18588873812754403,0.026075949367088614,2.06
BU,0.6000000000000001,0.48,0.05660377358490576,0.05822784810126585,4.6
VC,0.6000000000000001,0.81,0.596774193548387,0.13227848101265827,10.45
LSF,0.6000000000000001,0.98,0.9554367201426025,0.5063291139240508,40.0
OS,0.7000000000000001,0.99,0.9778761061946902,0.5939240506329113,46.92
RDP,0.7000000000000001,0.61,-0.09550561797752821,0.012784810126582285,1.01
BU,0.7000000000000001,0.77,0.47632058287796,0.05000000000000001,3.95
VC,0.7000000000000001,0.8,0.5726495726495726,0.12936708860759497,10.22
LSF,0.7000000000000001,0.98,0.9554367201426025,0.5063291139240508,40.0
OS,0.8,0.99,0.9775583482944344,0.7229113924050634,57.11
RDP,0.8,0.62,-0.07709750566893425,0.01265822784810127,1.0
BU,0.8,0.78,0.4554455445544554,0.043924050632911396,3.47
VC,0.8,0.79,0.5543293718166383,0.12734177215189876,10.06
LSF,0.8,0.98,0.9554367201426025,0.5063291139240508,40.0
OS,0.9,0.99,0.9775583482944344,0.8665822784810127,68.46
RDP,0.9,0.62,-0.07709750566893425,0.01265822784810127,1.0
BU,0.9,0.77,0.4351669941060904,0.03721518987341772,2.94
VC,0.9,0.78,0.5299145299145298,0.12493670886075953,9.87
LSF,0.9,0.98,0.9554367201426025,0.5063291139240508,40.0
