Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,72,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.9020000000000001,72.16
BU,0.0,100,1.0,1.0125000000000017,81.0
VW,0.0,100,1.0,1.0,80.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,28,0.0,0.07725000000000011,6.18
RDP,0.01,100,1.0,0.47225,37.78
BU,0.01,100,1.0,0.19400000000000003,15.52
VW,0.01,100,1.0,0.5312500000000001,42.5
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,75,0.5128604832424006,0.10800000000000003,8.64
RDP,0.02,100,1.0,0.32625,26.1
BU,0.02,100,1.0,0.16262500000000008,13.01
VW,0.02,100,1.0,0.4137500000000001,33.1
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,97,0.9279538904899135,0.12649999999999995,10.12
RDP,0.03,100,1.0,0.2572499999999999,20.58
BU,0.03,100,1.0,0.14637500000000003,11.71
VW,0.03,100,1.0,0.35750000000000015,28.6
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,100,1.0,0.13775,11.02
RDP,0.04,100,1.0,0.21550000000000008,17.24
BU,0.04,100,1.0,0.13712499999999997,10.97
VW,0.04,100,1.0,0.329125,26.33
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,100,1.0,0.14412500000000011,11.53
RDP,0.05,100,1.0,0.19474999999999998,15.58
BU,0.05,100,1.0,0.13362499999999997,10.69
VW,0.05,100,1.0,0.3038750000000001,24.31
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,100,1.0,0.15137500000000004,12.11
RDP,0.06,100,1.0,0.17762499999999992,14.21
BU,0.06,100,1.0,0.13099999999999987,10.48
VW,0.06,100,1.0,0.28362499999999996,22.69
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.15612499999999999,12.49
RDP,0.07,100,1.0,0.16324999999999995,13.06
BU,0.07,100,1.0,0.12862499999999988,10.29
VW,0.07,100,1.0,0.2683749999999999,21.47
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.16149999999999998,12.92
RDP,0.08,100,1.0,0.15287499999999996,12.23
BU,0.08,100,1.0,0.12662499999999985,10.13
VW,0.08,100,1.0,0.2567500000000001,20.54
LSF,0.08,0,0.0,0.0,0.0
