Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.79,-0.03754940711462451,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.8511392405063292,67.24
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.86,0.6336996336996337,0.14481012658227846,11.44
RDP,0.1,0.86,0.5942028985507246,0.12518987341772156,9.89
BU,0.1,0.81,0.5108135942327499,0.1037974683544304,8.2
VC,0.1,0.92,0.7761611639619475,0.21417721518987343,16.92
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.94,0.8260869565217391,0.20189873417721518,15.95
RDP,0.2,0.76,0.18754231550440081,0.09037974683544306,7.14
BU,0.2,0.81,0.06126482213438744,0.07658227848101266,6.05
VC,0.2,0.85,0.6138002059732235,0.1672151898734177,13.21
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.96,0.8797354179194228,0.25556962025316454,20.19
RDP,0.30000000000000004,0.79,0.12353923205342243,0.06620253164556963,5.23
BU,0.30000000000000004,0.82,0.2676973148901546,0.06354430379746838,5.02
VC,0.30000000000000004,0.87,0.6424642464246424,0.14455696202531645,11.42
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.97,0.9080882352941176,0.3148101265822784,24.87
RDP,0.4,0.79,0.12353923205342243,0.060253164556962044,4.76
BU,0.4,0.82,0.2676973148901546,0.06341772151898736,5.01
VC,0.4,0.87,0.5859872611464968,0.1337974683544304,10.57
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9681528662420382,0.3788607594936708,29.93
RDP,0.5,0.79,0.12353923205342243,0.045316455696202546,3.58
BU,0.5,0.82,0.2676973148901546,0.06303797468354431,4.98
VC,0.5,0.87,0.5504840940525588,0.12734177215189876,10.06
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.4492405063291139,35.49
RDP,0.6000000000000001,0.77,0.04006677796327218,0.03544303797468355,2.8
BU,0.6000000000000001,0.82,0.2676973148901546,0.05759493670886078,4.55
VC,0.6000000000000001,0.86,0.5260663507109005,0.12126582278481017,9.58
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5379746835443038,42.5
RDP,0.7000000000000001,0.38,-0.2879102617366016,0.014936708860759495,1.18
BU,0.7000000000000001,0.82,0.18552036199095023,0.05177215189873419,4.09
VC,0.7000000000000001,0.83,0.4585987261146497,0.11772151898734182,9.3
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6373417721518987,50.35
RDP,0.8,0.39,-0.28367003367003374,0.01265822784810127,1.0
BU,0.8,0.78,-0.05465004793863848,0.04253164556962025,3.36
VC,0.8,0.84,0.4583615436696006,0.11506329113924053,9.09
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7458227848101266,58.92
RDP,0.9,0.39,-0.28367003367003374,0.01265822784810127,1.0
BU,0.9,0.79,-0.03754940711462451,0.03784810126582278,2.99
VC,0.9,0.83,0.41217150760719234,0.11278481012658231,8.91
LSF,0.9,0.0,0.0,0.0,0.0
