Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,19,0.016990291262136026,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.9007594936708864,71.16
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,45,-0.11245954692556648,0.06759493670886087,5.34
RDP,0.01,96,0.8795180722891567,0.46632911392405063,36.84
BU,0.01,90,0.7086247086247086,0.3577215189873417,28.26
BU,0.01,90,0.7086247086247086,0.3577215189873417,28.26
VW,0.01,95,0.8468137254901961,0.34936708860759486,27.6
OS,0.02,81,0.41789215686274506,0.09873417721518989,7.8
RDP,0.02,92,0.7668997668997669,0.3186075949367087,25.17
BU,0.02,88,0.6124031007751938,0.29291139240506314,23.14
BU,0.02,88,0.6124031007751938,0.29291139240506314,23.14
VW,0.02,93,0.7697368421052632,0.2745569620253165,21.69
OS,0.03,83,0.3441358024691359,0.11658227848101278,9.21
RDP,0.03,88,0.6124031007751938,0.24746835443037973,19.55
BU,0.03,85,0.506578947368421,0.25924050632911366,20.48
BU,0.03,85,0.506578947368421,0.25924050632911366,20.48
VW,0.03,90,0.6770025839793281,0.23430379746835442,18.51
OS,0.04,88,0.5821727019498607,0.12493670886075968,9.87
RDP,0.04,93,0.7697368421052632,0.20544303797468344,16.23
BU,0.04,82,0.34782608695652173,0.24075949367088573,19.02
BU,0.04,82,0.34782608695652173,0.24075949367088573,19.02
VW,0.04,91,0.7144670050761421,0.209493670886076,16.55
OS,0.05,88,0.5821727019498607,0.1291139240506331,10.2
RDP,0.05,89,0.638157894736842,0.18455696202531643,14.58
BU,0.05,82,0.3202416918429002,0.23215189873417688,18.34
BU,0.05,82,0.3202416918429002,0.23215189873417688,18.34
VW,0.05,89,0.609375,0.18999999999999997,15.01
OS,0.06,91,0.7039473684210527,0.13354430379746857,10.55
RDP,0.06,90,0.6770025839793281,0.1672151898734177,13.21
BU,0.06,82,0.3202416918429002,0.22708860759493635,17.94
BU,0.06,82,0.3202416918429002,0.22708860759493635,17.94
VW,0.06,88,0.5821727019498607,0.17936708860759487,14.17
OS,0.07,90,0.6770025839793281,0.13784810126582295,10.89
RDP,0.07,91,0.7039473684210527,0.1526582278481013,12.06
BU,0.07,82,0.2902208201892744,0.22202531645569581,17.54
BU,0.07,82,0.2902208201892744,0.22202531645569581,17.54
VW,0.07,88,0.5821727019498607,0.170506329113924,13.47
OS,0.08,90,0.6770025839793281,0.14113924050632928,11.15
RDP,0.08,89,0.6243169398907105,0.14215189873417738,11.23
BU,0.08,83,0.3441358024691359,0.21848101265822747,17.26
BU,0.08,83,0.3441358024691359,0.21848101265822747,17.26
VW,0.08,85,0.4452662721893491,0.16177215189873415,12.78
OS,0.09,91,0.7039473684210527,0.14556962025316472,11.5
RDP,0.09,88,0.5821727019498607,0.13405063291139258,10.59
BU,0.09,84,0.39577039274924464,0.212658227848101,16.8
BU,0.09,84,0.39577039274924464,0.212658227848101,16.8
VW,0.09,83,0.37130177514792895,0.15493670886075953,12.24
OS,0.1,93,0.7779187817258884,0.1515189873417722,11.97
RDP,0.1,85,0.4212962962962963,0.12898734177215207,10.19
BU,0.1,84,0.46380697050938346,0.2065822784810125,16.32
BU,0.1,84,0.46380697050938346,0.2065822784810125,16.32
VW,0.1,82,0.3202416918429002,0.148860759493671,11.76
OS,0.11,91,0.7039473684210527,0.15746835443037976,12.44
RDP,0.11,86,0.4712990936555891,0.1254430379746837,9.91
BU,0.11,81,0.4372037914691943,0.19898734177215172,15.72
BU,0.11,81,0.4372037914691943,0.19898734177215172,15.72
VW,0.11,82,0.3202416918429002,0.1443037974683546,11.4
OS,0.12,92,0.7319034852546917,0.16253164556962024,12.84
RDP,0.12,87,0.5383522727272727,0.12227848101265838,9.66
BU,0.12,78,0.3982494529540481,0.1906329113924049,15.06
BU,0.12,78,0.3982494529540481,0.1906329113924049,15.06
VW,0.12,84,0.39577039274924464,0.1407594936708863,11.12
OS,0.13,91,0.7039473684210527,0.16797468354430378,13.27
RDP,0.13,87,0.5383522727272727,0.11949367088607608,9.44
BU,0.13,71,0.2632113821138211,0.18430379746835424,14.56
BU,0.13,71,0.2632113821138211,0.18430379746835424,14.56
VW,0.13,85,0.4212962962962963,0.13822784810126607,10.92
OS,0.14,91,0.7039473684210527,0.17341772151898727,13.7
RDP,0.14,86,0.5125348189415042,0.1158227848101267,9.15
BU,0.14,70,0.2884250474383301,0.17974683544303782,14.2
BU,0.14,70,0.2884250474383301,0.17974683544303782,14.2
VW,0.14,83,0.314516129032258,0.1360759493670888,10.75
OS,0.15,92,0.7416020671834626,0.180759493670886,14.28
RDP,0.15,82,0.34782608695652173,0.11303797468354439,8.93
BU,0.15,66,0.17153996101364521,0.1726582278481012,13.64
BU,0.15,66,0.17153996101364521,0.1726582278481012,13.64
VW,0.15,83,0.314516129032258,0.1337974683544306,10.57
OS,0.16,92,0.7319034852546917,0.18607594936708857,14.7
RDP,0.16,80,0.2753623188405797,0.11012658227848109,8.7
BU,0.16,64,0.09819639278557113,0.16860759493670885,13.32
BU,0.16,64,0.09819639278557113,0.16860759493670885,13.32
VW,0.16,82,0.25742574257425743,0.1318987341772154,10.42
OS,0.17,92,0.7319034852546917,0.1916455696202531,15.14
RDP,0.17,81,0.3510928961748634,0.10746835443037982,8.49
BU,0.17,66,0.17153996101364521,0.16405063291139244,12.96
BU,0.17,66,0.17153996101364521,0.16405063291139244,12.96
VW,0.17,82,0.25742574257425743,0.1301265822784812,10.28
OS,0.18,92,0.7416020671834626,0.1987341772151898,15.7
RDP,0.18,78,0.23398328690807801,0.10265822784810133,8.11
BU,0.18,64,0.09819639278557113,0.15772151898734182,12.46
BU,0.18,64,0.09819639278557113,0.15772151898734182,12.46
VW,0.18,82,0.25742574257425743,0.12848101265822803,10.15
OS,0.19,92,0.7506234413965087,0.20594936708860748,16.27
RDP,0.19,80,0.32975871313672933,0.09772151898734185,7.72
BU,0.19,61,0.0625,0.15341772151898742,12.12
BU,0.19,61,0.0625,0.15341772151898742,12.12
VW,0.19,82,0.25742574257425743,0.1272151898734179,10.05
OS,0.2,91,0.7144670050761421,0.21291139240506318,16.82
RDP,0.2,76,0.22480620155038766,0.0937974683544305,7.41
BU,0.2,60,0.05123339658444015,0.14582278481012673,11.52
BU,0.2,60,0.05123339658444015,0.14582278481012673,11.52
VW,0.2,82,0.25742574257425743,0.12531645569620267,9.9
OS,0.21,92,0.7506234413965087,0.2188607594936708,17.29
RDP,0.21,71,0.1115196078431373,0.08797468354430386,6.95
BU,0.21,62,0.09867172675521818,0.1392405063291141,11.0
BU,0.21,62,0.09867172675521818,0.1392405063291141,11.0
VW,0.21,82,0.25742574257425743,0.12468354430379762,9.85
OS,0.22,90,0.6770025839793281,0.22556962025316452,17.82
RDP,0.22,63,-0.02777777777777768,0.08468354430379753,6.69
BU,0.22,64,0.2091388400702987,0.1336708860759495,10.56
BU,0.22,64,0.2091388400702987,0.1336708860759495,10.56
VW,0.22,81,0.1976351351351351,0.12354430379746852,9.76
OS,0.23,91,0.7144670050761421,0.23088607594936697,18.24
RDP,0.23,62,-0.10722610722610715,0.08000000000000011,6.32
BU,0.23,66,0.2710120068610635,0.1303797468354432,10.3
BU,0.23,66,0.2710120068610635,0.1303797468354432,10.3
VW,0.23,81,0.1976351351351351,0.12265822784810142,9.69
OS,0.24,92,0.7506234413965087,0.2369620253164556,18.72
RDP,0.24,61,-0.11811926605504586,0.0779746835443039,6.16
BU,0.24,68,0.36,0.1253164556962027,9.9
BU,0.24,68,0.36,0.1253164556962027,9.9
VW,0.24,81,0.1976351351351351,0.1216455696202533,9.61
OS,0.25,90,0.6987951807228916,0.24126582278481018,19.06
RDP,0.25,60,-0.12866817155756216,0.07443037974683556,5.88
BU,0.25,62,0.302496328928047,0.1215189873417723,9.6
BU,0.25,62,0.302496328928047,0.1215189873417723,9.6
VW,0.25,80,0.17491749174917504,0.12075949367088622,9.54
OS,0.26,90,0.6987951807228916,0.24594936708860765,19.43
RDP,0.26,57,-0.14879649890590807,0.07177215189873429,5.67
BU,0.26,62,0.302496328928047,0.11924050632911407,9.42
BU,0.26,62,0.302496328928047,0.11924050632911407,9.42
VW,0.26,80,0.17491749174917504,0.12025316455696217,9.5
OS,0.27,92,0.7590361445783133,0.25151898734177225,19.87
RDP,0.27,54,-0.1523046092184368,0.0700000000000001,5.53
BU,0.27,59,0.26994301994301995,0.11696202531645582,9.24
BU,0.27,59,0.26994301994301995,0.11696202531645582,9.24
VW,0.27,80,0.17491749174917504,0.1197468354430381,9.46
OS,0.28,93,0.7779187817258884,0.257974683544304,20.38
RDP,0.28,50,-0.21832358674463936,0.06860759493670897,5.42
BU,0.28,59,0.26994301994301995,0.11620253164556975,9.18
BU,0.28,59,0.26994301994301995,0.11620253164556975,9.18
VW,0.28,80,0.17491749174917504,0.11911392405063304,9.41
OS,0.29,92,0.7416020671834626,0.2639240506329115,20.85
RDP,0.29,49,-0.1938202247191012,0.06708860759493682,5.3
BU,0.29,57,0.2446043165467625,0.11544303797468367,9.12
BU,0.29,57,0.2446043165467625,0.11544303797468367,9.12
VW,0.29,80,0.17491749174917504,0.11848101265822798,9.36
OS,0.3,93,0.7697368421052632,0.2702531645569621,21.35
RDP,0.3,49,-0.1938202247191012,0.06645569620253175,5.25
BU,0.3,56,0.2242595204513399,0.11468354430379758,9.06
BU,0.3,56,0.2242595204513399,0.11468354430379758,9.06
VW,0.3,80,0.17491749174917504,0.11822784810126595,9.34
OS,0.31,93,0.7697368421052632,0.27569620253164545,21.78
RDP,0.31,46,-0.21621621621621623,0.0650632911392406,5.14
BU,0.31,56,0.2242595204513399,0.11468354430379758,9.06
BU,0.31,56,0.2242595204513399,0.11468354430379758,9.06
VW,0.31,80,0.21135646687697163,0.1177215189873419,9.3
OS,0.32,93,0.7697368421052632,0.280506329113924,22.16
RDP,0.32,50,-0.07204116638078895,0.06392405063291147,5.05
BU,0.32,56,0.2242595204513399,0.11443037974683554,9.04
BU,0.32,56,0.2242595204513399,0.11443037974683554,9.04
VW,0.32,80,0.21135646687697163,0.11683544303797479,9.23
OS,0.33,93,0.7697368421052632,0.2841772151898734,22.45
RDP,0.33,51,-0.03813559322033888,0.06379746835443045,5.04
BU,0.33,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.33,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.33,80,0.21135646687697163,0.1160759493670887,9.17
OS,0.34,92,0.7416020671834626,0.29126582278481,23.01
RDP,0.34,49,-0.0554635761589406,0.06354430379746842,5.02
BU,0.34,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.34,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.34,80,0.21135646687697163,0.11544303797468364,9.12
OS,0.35000000000000003,92,0.7416020671834626,0.29645569620253154,23.42
RDP,0.35000000000000003,49,-0.0554635761589406,0.06341772151898742,5.01
BU,0.35000000000000003,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.35000000000000003,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.35000000000000003,80,0.21135646687697163,0.1150632911392406,9.09
OS,0.36,94,0.8062015503875969,0.30253164556962014,23.9
RDP,0.36,49,-0.0554635761589406,0.06303797468354437,4.98
BU,0.36,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.36,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.36,80,0.21135646687697163,0.11481012658227857,9.07
OS,0.37,93,0.7697368421052632,0.3089873417721518,24.41
RDP,0.37,50,-0.022913256955810146,0.06253164556962033,4.94
BU,0.37,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.37,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.37,79,0.18981481481481488,0.11341772151898744,8.96
OS,0.38,95,0.8413705583756346,0.3156962025316456,24.94
RDP,0.38,50,-0.022913256955810146,0.0622784810126583,4.92
BU,0.38,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.38,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.38,78,0.1691842900302114,0.11189873417721528,8.84
OS,0.39,95,0.8413705583756346,0.32417721518987336,25.61
RDP,0.39,51,0.008899676375404453,0.062025316455696276,4.9
BU,0.39,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.39,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.39,78,0.1691842900302114,0.11075949367088617,8.75
OS,0.4,95,0.8413705583756346,0.32924050632911395,26.01
RDP,0.4,52,0.06103286384976536,0.06075949367088615,4.8
BU,0.4,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.4,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.4,77,0.14940828402366857,0.10974683544303807,8.67
OS,0.41000000000000003,95,0.8413705583756346,0.33506329113924044,26.47
RDP,0.41000000000000003,51,0.05185758513931904,0.060000000000000074,4.74
BU,0.41000000000000003,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.41000000000000003,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.41000000000000003,78,0.2028985507246377,0.10898734177215198,8.61
OS,0.42,97,0.9080882352941176,0.3412658227848101,26.96
RDP,0.42,53,0.12833827893175076,0.05848101265822791,4.62
BU,0.42,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.42,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.42,77,0.14940828402366857,0.10873417721518995,8.59
OS,0.43,96,0.8795180722891567,0.3460759493670885,27.34
RDP,0.43,53,0.14607558139534893,0.054430379746835504,4.3
BU,0.43,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.43,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.43,78,0.2028985507246377,0.10772151898734186,8.51
OS,0.44,96,0.8795180722891567,0.3529113924050632,27.88
RDP,0.44,52,0.13669064748201432,0.05316455696202538,4.2
BU,0.44,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.44,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.44,78,0.2028985507246377,0.10696202531645581,8.45
OS,0.45,96,0.8795180722891567,0.35911392405063275,28.37
RDP,0.45,52,0.15373765867418898,0.0513924050632912,4.06
BU,0.45,56,0.2343304843304843,0.1139240506329115,9.0
BU,0.45,56,0.2343304843304843,0.1139240506329115,9.0
VW,0.45,77,0.18323863636363624,0.10556962025316467,8.34
OS,0.46,96,0.8795180722891567,0.3650632911392403,28.84
RDP,0.46,51,0.1445530726256984,0.050126582278481074,3.96
BU,0.46,56,0.2343304843304843,0.11367088607594948,8.98
BU,0.46,56,0.2343304843304843,0.11367088607594948,8.98
VW,0.46,78,0.2028985507246377,0.10455696202531656,8.26
OS,0.47000000000000003,96,0.8795180722891567,0.3731645569620252,29.48
RDP,0.47000000000000003,50,0.15196743554952497,0.049367088607595006,3.9
BU,0.47000000000000003,56,0.2343304843304843,0.11367088607594948,8.98
BU,0.47000000000000003,56,0.2343304843304843,0.11367088607594948,8.98
VW,0.47000000000000003,78,0.2028985507246377,0.10367088607594947,8.19
OS,0.48,96,0.8795180722891567,0.380379746835443,30.05
RDP,0.48,48,0.13448735019973368,0.048227848101265895,3.81
BU,0.48,56,0.2343304843304843,0.11367088607594948,8.98
BU,0.48,56,0.2343304843304843,0.11367088607594948,8.98
VW,0.48,78,0.2028985507246377,0.10240506329113935,8.09
OS,0.49,96,0.8795180722891567,0.38759493670886064,30.62
RDP,0.49,50,0.18300653594771243,0.04734177215189881,3.74
BU,0.49,56,0.2343304843304843,0.11341772151898745,8.96
BU,0.49,56,0.2343304843304843,0.11341772151898745,8.96
VW,0.49,77,0.14940828402366857,0.10126582278481024,8.0
OS,0.5,98,0.9397590361445783,0.3953164556962024,31.23
RDP,0.5,50,0.18300653594771243,0.047215189873417794,3.73
BU,0.5,56,0.2343304843304843,0.11341772151898745,8.96
BU,0.5,56,0.2343304843304843,0.11341772151898745,8.96
VW,0.5,79,0.25426136363636354,0.09949367088607604,7.86
OS,0.51,99,0.9703791469194313,0.4043037974683542,31.94
RDP,0.51,50,0.18300653594771243,0.047088607594936785,3.72
BU,0.51,56,0.2343304843304843,0.11316455696202542,8.94
BU,0.51,56,0.2343304843304843,0.11316455696202542,8.94
VW,0.51,79,0.25426136363636354,0.09835443037974693,7.77
OS,0.52,100,1.0,0.4113924050632911,32.5
RDP,0.52,50,0.18300653594771243,0.047088607594936785,3.72
BU,0.52,56,0.2343304843304843,0.1129113924050634,8.92
BU,0.52,56,0.2343304843304843,0.1129113924050634,8.92
VW,0.52,78,0.23398328690807801,0.09746835443037984,7.7
OS,0.53,99,0.9703791469194313,0.419367088607595,33.13
RDP,0.53,51,0.19195250659630603,0.046202531645569686,3.65
BU,0.53,57,0.2446043165467625,0.11265822784810137,8.9
BU,0.53,57,0.2446043165467625,0.11265822784810137,8.9
VW,0.53,75,0.14617486338797814,0.09607594936708871,7.59
OS,0.54,98,0.9397590361445783,0.42531645569620247,33.6
RDP,0.54,53,0.21034946236559138,0.04506329113924057,3.56
BU,0.54,57,0.2446043165467625,0.11164556962025324,8.82
BU,0.54,57,0.2446043165467625,0.11164556962025324,8.82
VW,0.54,75,0.17763157894736836,0.09531645569620263,7.53
OS,0.55,98,0.9397590361445783,0.4340506329113923,34.29
RDP,0.55,56,0.23928077455048413,0.04468354430379753,3.53
BU,0.55,57,0.2446043165467625,0.11139240506329122,8.8
BU,0.55,57,0.2446043165467625,0.11139240506329122,8.8
VW,0.55,73,0.11184210526315785,0.09443037974683553,7.46
OS,0.56,99,0.9703791469194313,0.440253164556962,34.78
RDP,0.56,57,0.2595204513399153,0.044050632911392454,3.48
BU,0.56,57,0.2446043165467625,0.11113924050632919,8.78
BU,0.56,57,0.2446043165467625,0.11113924050632919,8.78
VW,0.56,70,0.09638554216867479,0.09316455696202539,7.36
OS,0.5700000000000001,99,0.9703791469194313,0.44936708860759483,35.5
RDP,0.5700000000000001,57,0.2290748898678414,0.0425316455696203,3.36
BU,0.5700000000000001,57,0.2446043165467625,0.109367088607595,8.64
BU,0.5700000000000001,57,0.2446043165467625,0.109367088607595,8.64
VW,0.5700000000000001,71,0.1115196078431373,0.09291139240506335,7.34
OS,0.58,99,0.9703791469194313,0.4574683544303796,36.14
RDP,0.58,68,0.3299832495812396,0.04025316455696207,3.18
BU,0.58,56,0.2187500000000001,0.10734177215189879,8.48
BU,0.58,56,0.2187500000000001,0.10734177215189879,8.48
VW,0.58,71,0.1115196078431373,0.09202531645569627,7.27
OS,0.59,98,0.9397590361445783,0.4646835443037977,36.71
RDP,0.59,72,0.36936936936936937,0.03873417721518991,3.06
BU,0.59,54,0.13793103448275856,0.10582278481012661,8.36
BU,0.59,54,0.13793103448275856,0.10582278481012661,8.36
