Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,100,1.0,0.011904761904761885,1.0
RDP,0.0,100,1.0,0.9902597402597403,83.18181818181819
BU,0.0,100,1.0,1.0119047619047603,85.0
VW,0.0,100,1.0,1.0,84.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,100,1.0,0.029822029822029788,2.505050505050505
RDP,0.01,100,1.0,0.20719095719095712,17.404040404040405
BU,0.01,100,1.0,0.12337662337662332,10.363636363636363
VW,0.01,100,1.0,0.31240981240981247,26.242424242424242
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,100,1.0,0.038961038961038905,3.272727272727273
RDP,0.02,100,1.0,0.14995189995189992,12.595959595959595
BU,0.02,100,1.0,0.09704184704184692,8.151515151515152
VW,0.02,100,1.0,0.24158249158249157,20.292929292929294
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,100,1.0,0.05471380471380464,4.595959595959596
RDP,0.03,100,1.0,0.12518037518037506,10.515151515151516
BU,0.03,100,1.0,0.08658008658008647,7.2727272727272725
VW,0.03,100,1.0,0.20899470899470893,17.555555555555557
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,100,1.0,0.05976430976430969,5.02020202020202
RDP,0.04,100,1.0,0.1084656084656084,9.11111111111111
BU,0.04,100,1.0,0.07828282828282816,6.575757575757576
VW,0.04,100,1.0,0.19119769119769114,16.060606060606062
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,100,1.0,0.06493506493506486,5.454545454545454
RDP,0.05,100,1.0,0.09632034632034628,8.090909090909092
BU,0.05,100,1.0,0.07142857142857133,6.0
VW,0.05,100,1.0,0.17532467532467522,14.727272727272727
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,100,1.0,0.06974506974506965,5.858585858585859
RDP,0.06,100,1.0,0.08682058682058671,7.292929292929293
BU,0.06,100,1.0,0.06794131794131786,5.707070707070707
VW,0.06,100,1.0,0.16558441558441556,13.909090909090908
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.07623857623857612,6.404040404040404
RDP,0.07,100,1.0,0.07852332852332841,6.595959595959596
BU,0.07,100,1.0,0.064093314093314,5.383838383838384
VW,0.07,100,1.0,0.15897065897065893,13.353535353535353
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.08140933140933129,6.838383838383838
RDP,0.08,100,1.0,0.07407407407407399,6.222222222222222
BU,0.08,100,1.0,0.0600048100048099,5.040404040404041
VW,0.08,100,1.0,0.151996151996152,12.767676767676768
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,100,1.0,0.08766233766233755,7.363636363636363
RDP,0.09,100,1.0,0.07010582010582,5.888888888888889
BU,0.09,100,1.0,0.05772005772005762,4.848484848484849
VW,0.09,100,1.0,0.14514189514189513,12.191919191919192
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,100,1.0,0.09271284271284261,7.787878787878788
RDP,0.1,100,1.0,0.06577681577681567,5.525252525252525
BU,0.1,100,1.0,0.054834054834054735,4.606060606060606
VW,0.1,100,1.0,0.14057239057239052,11.808080808080808
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,100,1.0,0.09836459836459828,8.262626262626263
RDP,0.11,100,1.0,0.06216931216931206,5.222222222222222
BU,0.11,100,1.0,0.0533910533910533,4.484848484848484
VW,0.11,100,1.0,0.13636363636363627,11.454545454545455
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,100,1.0,0.10281385281385273,8.636363636363637
RDP,0.12,100,1.0,0.05904280904280894,4.959595959595959
BU,0.12,100,1.0,0.05206830206830197,4.373737373737374
VW,0.12,100,1.0,0.13071188071188067,10.97979797979798
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,100,1.0,0.1055796055796055,8.868686868686869
RDP,0.13,100,1.0,0.05447330447330439,4.575757575757576
BU,0.13,100,1.0,0.05026455026455018,4.222222222222222
VW,0.13,100,1.0,0.12698412698412695,10.666666666666666
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,100,1.0,0.11014911014911008,9.252525252525253
RDP,0.14,100,1.0,0.049182299182299105,4.1313131313131315
BU,0.14,100,1.0,0.049302549302549216,4.141414141414141
VW,0.14,100,1.0,0.12373737373737372,10.393939393939394
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.11279461279461274,9.474747474747474
RDP,0.15,100,1.0,0.04689754689754684,3.9393939393939394
BU,0.15,100,1.0,0.04834054834054826,4.0606060606060606
VW,0.15,100,1.0,0.12073112073112068,10.141414141414142
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,100,1.0,0.11652236652236647,9.787878787878787
RDP,0.16,100,1.0,0.04401154401154395,3.696969696969697
BU,0.16,100,1.0,0.04737854737854731,3.9797979797979797
VW,0.16,100,1.0,0.1176046176046175,9.878787878787879
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,100,1.0,0.1197691197691197,10.06060606060606
RDP,0.17,100,1.0,0.043049543049543,3.6161616161616164
BU,0.17,100,1.0,0.04677729677729671,3.9292929292929295
VW,0.17,100,1.0,0.1138768638768638,9.565656565656566
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,100,1.0,0.12169312169312163,10.222222222222221
RDP,0.18,100,1.0,0.04232804232804228,3.5555555555555554
BU,0.18,100,1.0,0.0461760461760461,3.878787878787879
VW,0.18,100,1.0,0.11087061087061081,9.313131313131313
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,100,1.0,0.12518037518037514,10.515151515151516
RDP,0.19,100,1.0,0.04160654160654155,3.494949494949495
BU,0.19,100,1.0,0.04545454545454538,3.8181818181818183
VW,0.19,100,1.0,0.10750360750360745,9.030303030303031
LSF,0.19,0,0.0,0.0,0.0
