Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.36,-0.21028744326777615,0.012048192771084335,1.0
RDP,0.0,1.0,1.0,0.9951807228915663,82.6
BU,0.0,1.0,1.0,1.0120481927710847,84.0
VC,0.0,1.0,1.0,1.0,83.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.89,0.7745901639344263,0.08132530120481928,6.75
RDP,0.1,0.84,0.6768982229402262,0.060722891566265064,5.04
BU,0.1,0.83,0.6550324675324675,0.04578313253012047,3.8
VC,0.1,0.95,0.8944256756756757,0.1380722891566265,11.46
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.95,0.8954849498327759,0.1255421686746988,10.42
RDP,0.2,0.64,0.34306569343065685,0.028795180722891573,2.39
BU,0.2,0.77,0.5465299684542586,0.03313253012048193,2.75
VC,0.2,0.95,0.8944256756756757,0.10108433734939762,8.39
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.97,0.9366554054054054,0.15674698795180722,13.01
RDP,0.30000000000000004,0.63,0.3335734870317002,0.01783132530120482,1.48
BU,0.30000000000000004,0.71,0.4440184049079754,0.029397590361445784,2.44
VC,0.30000000000000004,0.94,0.8726655348047538,0.08060240963855422,6.69
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.97,0.9366554054054054,0.18518072289156629,15.37
RDP,0.4,0.64,0.3487698986975398,0.013012048192771082,1.08
BU,0.4,0.65,0.3470149253731343,0.026626506024096382,2.21
VC,0.4,0.92,0.8319327731092437,0.06759036144578313,5.61
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.97,0.9366554054054054,0.21686746987951808,18.0
RDP,0.5,0.62,0.31259044862518093,0.012048192771084335,1.0
BU,0.5,0.64,0.34306569343065685,0.024337349397590354,2.02
VC,0.5,0.89,0.770066889632107,0.059638554216867465,4.95
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.98,0.957983193277311,0.2534939759036145,21.04
RDP,0.6000000000000001,0.62,0.31259044862518093,0.012048192771084335,1.0
BU,0.6000000000000001,0.64,0.34306569343065685,0.02421686746987951,2.01
VC,0.6000000000000001,0.89,0.770066889632107,0.054578313253012045,4.53
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.97,0.9366554054054054,0.30349397590361454,25.19
RDP,0.7000000000000001,0.62,0.31259044862518093,0.012048192771084335,1.0
BU,0.7000000000000001,0.64,0.34306569343065685,0.02409638554216867,2.0
VC,0.7000000000000001,0.84,0.670510708401977,0.050361445783132536,4.18
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.3837349397590362,31.85
RDP,0.8,0.62,0.31259044862518093,0.012048192771084335,1.0
BU,0.8,0.64,0.34306569343065685,0.02409638554216867,2.0
VC,0.8,0.83,0.6516393442622951,0.04759036144578312,3.95
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,0.99,0.9788851351351351,0.529277108433735,43.93
RDP,0.9,0.62,0.31259044862518093,0.012048192771084335,1.0
BU,0.9,0.64,0.34306569343065685,0.02409638554216867,2.0
VC,0.9,0.83,0.6550324675324675,0.04469879518072289,3.71
LSF,0.9,0.0,0.0,0.0,0.0
