Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,66,0.3085714285714286,0.01204819277108434,1.0
RDP,0.0,100,1.0,0.9901423877327491,82.18181818181819
BU,0.0,100,1.0,1.0,83.0
BU,0.0,100,1.0,1.0,83.0
VW,0.0,100,1.0,1.0,83.0
OS,0.01,64,0.26944971537001894,0.023001095290251915,1.9090909090909092
RDP,0.01,96,0.9390018484288355,0.19715224534501646,16.363636363636363
BU,0.01,93,0.8786764705882353,0.21516368504320332,17.858585858585858
BU,0.01,93,0.8786764705882353,0.21516368504320332,17.858585858585858
VW,0.01,95,0.9188191881918819,0.1994645247657296,16.555555555555557
OS,0.02,84,0.6904315196998123,0.034075696726299134,2.8282828282828283
RDP,0.02,93,0.8786764705882353,0.13849336740903012,11.494949494949495
BU,0.02,95,0.9191176470588235,0.16161616161616166,13.414141414141413
BU,0.02,95,0.9191176470588235,0.16161616161616166,13.414141414141413
VW,0.02,95,0.9191176470588235,0.15553121577217965,12.909090909090908
OS,0.03,89,0.7955390334572491,0.040525739320920066,3.3636363636363638
RDP,0.03,93,0.8786764705882353,0.11366678836558354,9.434343434343434
BU,0.03,91,0.8388278388278388,0.13946695874406714,11.575757575757576
BU,0.03,91,0.8388278388278388,0.13946695874406714,11.575757575757576
VW,0.03,93,0.8786764705882353,0.1348423999026408,11.191919191919192
OS,0.04,89,0.7955390334572491,0.04502859924546674,3.7373737373737375
RDP,0.04,96,0.9390018484288355,0.09662894000243392,8.02020202020202
BU,0.04,92,0.8587155963302753,0.12145551904588035,10.080808080808081
BU,0.04,92,0.8587155963302753,0.12145551904588035,10.080808080808081
VW,0.04,94,0.8990825688073395,0.12023852987708401,9.97979797979798
OS,0.05,91,0.837037037037037,0.05196543750760614,4.313131313131313
RDP,0.05,91,0.837037037037037,0.08470244614822926,7.03030303030303
BU,0.05,93,0.8786764705882353,0.10855543385663856,9.01010101010101
BU,0.05,93,0.8786764705882353,0.10855543385663856,9.01010101010101
VW,0.05,94,0.8990825688073395,0.1101375197760739,9.141414141414142
OS,0.06,91,0.8376383763837638,0.05634659851527319,4.6767676767676765
RDP,0.06,89,0.7977941176470589,0.07484483388097841,6.212121212121212
BU,0.06,90,0.8190127970749543,0.10101010101010088,8.383838383838384
BU,0.06,90,0.8190127970749543,0.10101010101010088,8.383838383838384
VW,0.06,96,0.9392265193370166,0.10015820859194348,8.313131313131313
OS,0.07,94,0.8987108655616943,0.06243154435925517,5.181818181818182
RDP,0.07,81,0.6360294117647058,0.06681270536692219,5.545454545454546
BU,0.07,92,0.8592321755027422,0.09443835949860037,7.838383838383838
BU,0.07,92,0.8592321755027422,0.09443835949860037,7.838383838383838
VW,0.07,96,0.9392265193370166,0.0927345746622855,7.696969696969697
OS,0.08,94,0.8987108655616943,0.06863818912011684,5.696969696969697
RDP,0.08,80,0.6151012891344383,0.061701350857977344,5.121212121212121
BU,0.08,86,0.7385740402193784,0.08616283315078495,7.151515151515151
BU,0.08,86,0.7385740402193784,0.08616283315078495,7.151515151515151
VW,0.08,96,0.9392265193370166,0.08713642448582208,7.232323232323233
OS,0.09,94,0.8990825688073395,0.07447973713033956,6.181818181818182
RDP,0.09,79,0.5940959409594095,0.05756358768406957,4.777777777777778
