Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.35,-0.081170991350632,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.9998734177215189,78.99
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.74,0.4683026584867076,0.16746835443037977,13.23
RDP,0.1,0.74,0.4683026584867076,0.13037974683544307,10.3
BU,0.1,0.57,0.14,0.10949367088607596,8.65
VC,0.1,0.78,0.5501022494887525,0.2479746835443038,19.59
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.76,0.49558638083228246,0.23392405063291138,18.48
RDP,0.2,0.7,0.42285494420931136,0.0946835443037975,7.48
BU,0.2,0.49,0.09188034188034178,0.07924050632911393,6.26
VC,0.2,0.66,0.3169947770188831,0.18632911392405066,14.72
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.85,0.683277027027027,0.2940506329113924,23.23
RDP,0.30000000000000004,0.55,0.18596237337192478,0.06392405063291141,5.05
BU,0.30000000000000004,0.47,0.08494475138121549,0.06430379746835445,5.08
VC,0.30000000000000004,0.69,0.3854084060269627,0.16050632911392404,12.68
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.88,0.7477931904161412,0.35518987341772146,28.06
RDP,0.4,0.53,0.16961130742049457,0.04936708860759495,3.9
BU,0.4,0.45,0.05757368060315282,0.0627848101265823,4.96
VC,0.4,0.66,0.32297889287136594,0.14683544303797472,11.6
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.93,0.8535564853556485,0.4291139240506328,33.9
RDP,0.5,0.4,0.005634736493205228,0.020379746835443045,1.61
BU,0.5,0.44,0.04404233526800949,0.05835443037974685,4.61
VC,0.5,0.7,0.3973483326637204,0.13645569620253167,10.78
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.96,0.9167013744273219,0.5243037974683544,41.42
RDP,0.6000000000000001,0.39,0.0,0.01265822784810127,1.0
BU,0.6000000000000001,0.39,-0.014637391882900808,0.04835443037974684,3.82
VC,0.6000000000000001,0.7,0.3973483326637204,0.13037974683544307,10.3
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.99,0.9788851351351351,0.6373417721518987,50.35
RDP,0.7000000000000001,0.39,0.0,0.01265822784810127,1.0
BU,0.7000000000000001,0.4,0.012833168805528206,0.03848101265822785,3.04
VC,0.7000000000000001,0.68,0.3628036638789327,0.12455696202531648,9.84
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.7760759493670888,61.31
RDP,0.8,0.39,0.0,0.01265822784810127,1.0
BU,0.8,0.39,0.0,0.03734177215189874,2.95
VC,0.8,0.68,0.3628036638789327,0.12253164556962026,9.68
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8997468354430379,71.08
RDP,0.9,0.39,0.0,0.01265822784810127,1.0
BU,0.9,0.39,0.0,0.03569620253164557,2.82
VC,0.9,0.66,0.334637964774951,0.11822784810126585,9.34
LSF,0.9,0.0,0.0,0.0,0.0
