Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,73,0.10596026490066235,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.8753164556962031,69.15
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,32,0.019607843137255054,0.06101265822784817,4.82
RDP,0.01,100,1.0,0.38835443037974676,30.68
BU,0.01,95,0.8773307163886163,0.3227848101265823,25.5
BU,0.01,95,0.8773307163886163,0.3227848101265823,25.5
VW,0.01,95,0.8799231508165226,0.30683544303797466,24.24
OS,0.02,57,0.26367461430575045,0.08050632911392414,6.36
RDP,0.02,97,0.9279538904899135,0.26227848101265827,20.72
BU,0.02,87,0.7064137308039747,0.2567088607594934,20.28
BU,0.02,87,0.7064137308039747,0.2567088607594934,20.28
VW,0.02,94,0.8574144486692015,0.23987341772151893,18.95
OS,0.03,73,0.44535743631881686,0.09962025316455701,7.87
RDP,0.03,90,0.7718978102189782,0.20493670886075935,16.19
BU,0.03,85,0.6678476527900796,0.22734177215189838,17.96
BU,0.03,85,0.6678476527900796,0.22734177215189838,17.96
VW,0.03,95,0.8799231508165226,0.20835443037974677,16.46
OS,0.04,74,0.470684039087948,0.11037974683544313,8.72
RDP,0.04,82,0.6199324324324325,0.16898734177215186,13.35
BU,0.04,83,0.6235606731620903,0.21848101265822753,17.26
BU,0.04,83,0.6235606731620903,0.21848101265822753,17.26
VW,0.04,92,0.813780260707635,0.18544303797468342,14.65
OS,0.05,76,0.511400651465798,0.11645569620253177,9.2
RDP,0.05,80,0.5928338762214984,0.1483544303797469,11.72
BU,0.05,83,0.6160794941282746,0.21189873417721486,16.74
BU,0.05,83,0.6160794941282746,0.21189873417721486,16.74
VW,0.05,86,0.6987951807228916,0.1687341772151898,13.33
OS,0.06,78,0.5439469320066335,0.12202531645569634,9.64
RDP,0.06,85,0.6803069053708439,0.13405063291139252,10.59
BU,0.06,82,0.5974955277280858,0.2035443037974681,16.08
BU,0.06,82,0.5974955277280858,0.2035443037974681,16.08
VW,0.06,80,0.5854063018242122,0.15696202531645564,12.4
OS,0.07,82,0.6199324324324325,0.1255696202531647,9.92
RDP,0.07,86,0.6929824561403508,0.12556962025316468,9.92
BU,0.07,77,0.5098039215686274,0.19594936708860736,15.48
BU,0.07,77,0.5098039215686274,0.19594936708860736,15.48
VW,0.07,81,0.602510460251046,0.14784810126582282,11.68
OS,0.08,82,0.6199324324324325,0.12911392405063307,10.2
RDP,0.08,81,0.602510460251046,0.12037974683544317,9.51
BU,0.08,73,0.42455242966751916,0.18962025316455672,14.98
