Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,80,0.0,0.00694444444444443,1.0
RDP,0.0,100,1.0,1.0,144.0
BU,0.0,100,1.0,1.006944444444443,145.0
VW,0.0,100,1.0,1.0,144.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,80,0.0,0.07041666666666674,10.14
RDP,0.01,100,1.0,0.3216666666666667,46.32
BU,0.01,99,0.9681528662420382,0.17013888888888878,24.5
VW,0.01,100,1.0,0.40326388888888887,58.07
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,83,0.220183486238532,0.0828472222222222,11.93
RDP,0.02,100,1.0,0.22868055555555553,32.93
BU,0.02,95,0.8275862068965517,0.1337500000000001,19.26
VW,0.02,100,1.0,0.31819444444444445,45.82
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,86,0.4067796610169492,0.09451388888888887,13.61
RDP,0.03,97,0.9006622516556292,0.1775,25.56
BU,0.03,91,0.6616541353383458,0.1124305555555555,16.19
VW,0.03,100,1.0,0.2794444444444444,40.24
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,90,0.6153846153846154,0.10527777777777775,15.16
RDP,0.04,94,0.7887323943661971,0.14784722222222216,21.29
BU,0.04,91,0.6616541353383458,0.10354166666666659,14.91
VW,0.04,100,1.0,0.253125,36.45
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,90,0.6153846153846154,0.11444444444444443,16.48
RDP,0.05,92,0.7058823529411765,0.12666666666666665,18.24
BU,0.05,90,0.6153846153846154,0.09590277777777775,13.81
VW,0.05,100,1.0,0.23347222222222214,33.62
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,92,0.7058823529411765,0.12222222222222222,17.6
RDP,0.06,91,0.6616541353383458,0.11138888888888887,16.04
BU,0.06,89,0.5669291338582677,0.08972222222222223,12.92
VW,0.06,100,1.0,0.2195138888888889,31.61
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,94,0.7887323943661971,0.13208333333333336,19.02
RDP,0.07,90,0.6153846153846154,0.10291666666666666,14.82
BU,0.07,86,0.4067796610169492,0.08562500000000008,12.33
VW,0.07,99,0.9681528662420382,0.20916666666666667,30.12
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,97,0.9006622516556292,0.14125,20.34
RDP,0.08,89,0.5669291338582677,0.09569444444444443,13.78
BU,0.08,86,0.4067796610169492,0.08173611111111116,11.77
VW,0.08,97,0.9006622516556292,0.20138888888888895,29.0
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,98,0.935064935064935,0.15020833333333333,21.63
RDP,0.09,88,0.5161290322580645,0.0908333333333334,13.08
BU,0.09,85,0.34782608695652173,0.07895833333333341,11.37
VW,0.09,97,0.9006622516556292,0.19402777777777772,27.94
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,99,0.9681528662420382,0.15944444444444442,22.96
RDP,0.1,87,0.4628099173553719,0.08680555555555561,12.5
BU,0.1,84,0.2857142857142857,0.07729166666666676,11.13
VW,0.1,97,0.9006622516556292,0.1872916666666667,26.97
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,100,1.0,0.1653472222222222,23.81
RDP,0.11,86,0.4067796610169492,0.08256944444444449,11.89
BU,0.11,83,0.220183486238532,0.07576388888888898,10.91
VW,0.11,97,0.9006622516556292,0.1805555555555555,26.0
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,100,1.0,0.1721527777777777,24.79
RDP,0.12,84,0.2857142857142857,0.07791666666666668,11.22
BU,0.12,83,0.220183486238532,0.07437500000000011,10.71
VW,0.12,96,0.8648648648648649,0.17520833333333324,25.23
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,100,1.0,0.18041666666666661,25.98
RDP,0.13,84,0.2857142857142857,0.07458333333333336,10.74
BU,0.13,83,0.220183486238532,0.07305555555555567,10.52
VW,0.13,95,0.8275862068965517,0.170486111111111,24.55
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,100,1.0,0.1872916666666667,26.97
RDP,0.14,83,0.220183486238532,0.07201388888888888,10.37
BU,0.14,83,0.220183486238532,0.07180555555555565,10.34
VW,0.14,95,0.8275862068965517,0.1670138888888888,24.05
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.19381944444444446,27.91
RDP,0.15,83,0.220183486238532,0.06951388888888889,10.01
BU,0.15,83,0.220183486238532,0.07055555555555566,10.16
VW,0.15,95,0.8275862068965517,0.1640277777777776,23.62
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,100,1.0,0.2000694444444445,28.81
RDP,0.16,83,0.220183486238532,0.06819444444444442,9.82
BU,0.16,83,0.220183486238532,0.06944444444444453,10.0
VW,0.16,95,0.8275862068965517,0.15993055555555544,23.03
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,100,1.0,0.20722222222222222,29.84
RDP,0.17,82,0.15094339622641517,0.06694444444444443,9.64
BU,0.17,83,0.220183486238532,0.06840277777777785,9.85
VW,0.17,95,0.8275862068965517,0.15687499999999996,22.59
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,100,1.0,0.21319444444444446,30.7
RDP,0.18,82,0.15094339622641517,0.06611111111111109,9.52
BU,0.18,83,0.220183486238532,0.06722222222222228,9.68
VW,0.18,95,0.8275862068965517,0.15402777777777776,22.18
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,100,1.0,0.2179861111111111,31.39
RDP,0.19,82,0.15094339622641517,0.0648611111111111,9.34
BU,0.19,83,0.220183486238532,0.06590277777777781,9.49
VW,0.19,94,0.7887323943661971,0.15159722222222227,21.83
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,100,1.0,0.2222222222222222,32.0
RDP,0.2,81,0.07766990291262144,0.06284722222222222,9.05
BU,0.2,83,0.220183486238532,0.06527777777777781,9.4
VW,0.2,94,0.7887323943661971,0.14847222222222234,21.38
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,100,1.0,0.22902777777777783,32.98
RDP,0.21,81,0.07766990291262144,0.06041666666666667,8.7
BU,0.21,83,0.220183486238532,0.06458333333333335,9.3
VW,0.21,94,0.7887323943661971,0.14659722222222232,21.11
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,100,1.0,0.23506944444444436,33.85
RDP,0.22,81,0.07766990291262144,0.05854166666666666,8.43
BU,0.22,83,0.220183486238532,0.06395833333333335,9.21
VW,0.22,94,0.7887323943661971,0.1438194444444445,20.71
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,100,1.0,0.2403472222222222,34.61
RDP,0.23,80,0.0,0.05666666666666668,8.16
BU,0.23,83,0.220183486238532,0.0634027777777778,9.13
VW,0.23,94,0.7887323943661971,0.1410416666666667,20.31
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,100,1.0,0.24618055555555557,35.45
RDP,0.24,80,0.0,0.055347222222222235,7.97
BU,0.24,83,0.220183486238532,0.06312500000000001,9.09
VW,0.24,93,0.7482014388489209,0.1384722222222223,19.94
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,100,1.0,0.25201388888888887,36.29
RDP,0.25,80,0.0,0.05395833333333334,7.77
BU,0.25,83,0.220183486238532,0.06250000000000001,9.0
VW,0.25,93,0.7482014388489209,0.13562500000000008,19.53
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,100,1.0,0.25743055555555555,37.07
RDP,0.26,80,0.0,0.05250000000000001,7.56
BU,0.26,83,0.220183486238532,0.061597222222222234,8.87
VW,0.26,93,0.7482014388489209,0.1336111111111112,19.24
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,100,1.0,0.2618055555555555,37.7
RDP,0.27,80,0.0,0.050694444444444445,7.3
BU,0.27,83,0.220183486238532,0.061250000000000006,8.82
VW,0.27,93,0.7482014388489209,0.13111111111111118,18.88
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,100,1.0,0.2681944444444444,38.62
RDP,0.28,80,0.0,0.048888888888888885,7.04
BU,0.28,84,0.2857142857142857,0.060625,8.73
VW,0.28,93,0.7482014388489209,0.1289583333333334,18.57
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,100,1.0,0.2741666666666667,39.48
RDP,0.29,80,0.0,0.04743055555555555,6.83
BU,0.29,84,0.2857142857142857,0.059444444444444446,8.56
VW,0.29,91,0.6616541353383458,0.12659722222222225,18.23
LSF,0.29,0,0.0,0.0,0.0
OS,0.3,100,1.0,0.2797916666666667,40.29
RDP,0.3,80,0.0,0.04673611111111112,6.73
BU,0.3,81,0.07766990291262144,0.05874999999999999,8.46
VW,0.3,91,0.6616541353383458,0.12520833333333337,18.03
LSF,0.3,0,0.0,0.0,0.0
OS,0.31,100,1.0,0.285763888888889,41.15
RDP,0.31,80,0.0,0.04576388888888888,6.59
BU,0.31,81,0.07766990291262144,0.058263888888888865,8.39
VW,0.31,91,0.6616541353383458,0.12375000000000001,17.82
LSF,0.31,0,0.0,0.0,0.0
OS,0.32,100,1.0,0.29152777777777783,41.98
RDP,0.32,80,0.0,0.04423611111111111,6.37
BU,0.32,81,0.07766990291262144,0.057708333333333306,8.31
VW,0.32,90,0.6153846153846154,0.12222222222222227,17.6
LSF,0.32,0,0.0,0.0,0.0
OS,0.33,100,1.0,0.2979861111111111,42.91
RDP,0.33,80,0.0,0.04208333333333334,6.06
BU,0.33,81,0.07766990291262144,0.05694444444444441,8.2
VW,0.33,90,0.6153846153846154,0.12090277777777782,17.41
LSF,0.33,0,0.0,0.0,0.0
OS,0.34,100,1.0,0.3027083333333334,43.59
RDP,0.34,80,0.0,0.040763888888888884,5.87
BU,0.34,81,0.07766990291262144,0.05652777777777774,8.14
VW,0.34,90,0.6153846153846154,0.11958333333333333,17.22
LSF,0.34,0,0.0,0.0,0.0
OS,0.35000000000000003,100,1.0,0.309513888888889,44.57
RDP,0.35000000000000003,80,0.0,0.03930555555555555,5.66
BU,0.35000000000000003,80,0.0,0.055833333333333304,8.04
VW,0.35000000000000003,89,0.5669291338582677,0.11854166666666666,17.07
LSF,0.35000000000000003,0,0.0,0.0,0.0
OS,0.36,100,1.0,0.31465277777777784,45.31
RDP,0.36,80,0.0,0.03847222222222222,5.54
BU,0.36,80,0.0,0.054791666666666655,7.89
VW,0.36,89,0.5669291338582677,0.11736111111111108,16.9
LSF,0.36,0,0.0,0.0,0.0
OS,0.37,100,1.0,0.32020833333333326,46.11
RDP,0.37,80,0.0,0.038125,5.49
BU,0.37,80,0.0,0.054097222222222206,7.79
