Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.006993006993006986,1.0
RDP,0.0,100,1.0,1.0,143.0
BU,0.0,100,1.0,1.0,143.0
BU,0.0,100,1.0,1.0,143.0
VW,0.0,100,1.0,1.0,143.0
OS,0.01,100,1.0,0.06300699300699301,9.01
RDP,0.01,100,1.0,0.31517482517482515,45.07
BU,0.01,100,1.0,0.3205594405594406,45.84
BU,0.01,100,1.0,0.3205594405594406,45.84
VW,0.01,100,1.0,0.27321678321678333,39.07
OS,0.02,100,1.0,0.07496503496503501,10.72
RDP,0.02,100,1.0,0.2192307692307693,31.35
BU,0.02,100,1.0,0.24853146853146843,35.54
BU,0.02,100,1.0,0.24853146853146843,35.54
VW,0.02,100,1.0,0.21349650349650354,30.53
OS,0.03,100,1.0,0.08811188811188814,12.6
RDP,0.03,100,1.0,0.16804195804195807,24.03
BU,0.03,100,1.0,0.20615384615384605,29.48
BU,0.03,100,1.0,0.20615384615384605,29.48
VW,0.03,100,1.0,0.18769230769230766,26.84
OS,0.04,100,1.0,0.09909090909090906,14.17
RDP,0.04,100,1.0,0.13951048951048953,19.95
BU,0.04,99,0.9618320610687023,0.1890909090909091,27.04
BU,0.04,99,0.9618320610687023,0.1890909090909091,27.04
VW,0.04,100,1.0,0.16888111888111887,24.15
OS,0.05,100,1.0,0.109020979020979,15.59
RDP,0.05,100,1.0,0.11832167832167835,16.92
BU,0.05,99,0.9618320610687023,0.17300699300699296,24.74
BU,0.05,99,0.9618320610687023,0.17300699300699296,24.74
VW,0.05,100,1.0,0.15783216783216786,22.57
OS,0.06,100,1.0,0.11671328671328673,16.69
RDP,0.06,100,1.0,0.10419580419580422,14.9
BU,0.06,99,0.9618320610687023,0.16055944055944052,22.96
BU,0.06,99,0.9618320610687023,0.16055944055944052,22.96
VW,0.06,100,1.0,0.14748251748251742,21.09
OS,0.07,100,1.0,0.12587412587412591,18.0
RDP,0.07,98,0.9215686274509804,0.095034965034965,13.59
BU,0.07,99,0.9618320610687023,0.1517482517482518,21.7
BU,0.07,99,0.9618320610687023,0.1517482517482518,21.7
VW,0.07,100,1.0,0.14013986013986016,20.04
OS,0.08,100,1.0,0.1351048951048951,19.32
