Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,50,0.0,0.00694444444444443,1.0
RDP,0.0,100,1.0,0.931805555555555,134.18
BU_1,0.0,100,1.0,1.006944444444443,145.0
BU_2,0.0,100,1.0,1.0,144.0
VW,0.0,100,1.0,1.0,144.0
OS,0.01,74,0.48,0.04194444444444442,6.04
RDP,0.01,100,1.0,0.3052777777777777,43.96
BU_1,0.01,98,0.96,0.1719444444444444,24.76
BU_2,0.01,98,0.96,0.33027777777777767,47.56
VW,0.01,100,1.0,0.42340277777777785,60.97
OS,0.02,83,0.6599999999999999,0.06479166666666666,9.33
RDP,0.02,100,1.0,0.23569444444444443,33.94
BU_1,0.02,95,0.9,0.13402777777777777,19.3
BU_2,0.02,95,0.9,0.25486111111111104,36.7
VW,0.02,100,1.0,0.3457638888888889,49.79
OS,0.03,92,0.84,0.0840277777777778,12.1
RDP,0.03,100,1.0,0.20631944444444447,29.71
BU_1,0.03,95,0.9,0.11430555555555559,16.46
BU_2,0.03,95,0.9,0.21569444444444447,31.06
VW,0.03,100,1.0,0.3040277777777777,43.78
OS,0.04,94,0.88,0.10562500000000002,15.21
RDP,0.04,98,0.96,0.18500000000000014,26.64
BU_1,0.04,93,0.86,0.1022222222222222,14.72
BU_2,0.04,93,0.86,0.19173611111111102,27.61
VW,0.04,100,1.0,0.2756944444444445,39.7
OS,0.05,95,0.9,0.12368055555555557,17.81
RDP,0.05,95,0.9,0.16993055555555553,24.47
BU_1,0.05,93,0.86,0.09298611111111116,13.39
BU_2,0.05,93,0.86,0.17333333333333342,24.96
VW,0.05,100,1.0,0.2558333333333333,36.84
OS,0.06,95,0.9,0.13534722222222223,19.49
RDP,0.06,94,0.88,0.15875,22.86
BU_1,0.06,92,0.84,0.0855555555555556,12.32
BU_2,0.06,92,0.84,0.15847222222222226,22.82
VW,0.06,100,1.0,0.240138888888889,34.58
OS,0.07,96,0.92,0.14902777777777776,21.46
RDP,0.07,91,0.8200000000000001,0.14756944444444442,21.25
BU_1,0.07,90,0.8,0.07916666666666669,11.4
BU_2,0.07,90,0.8,0.14569444444444452,20.98
VW,0.07,100,1.0,0.22631944444444432,32.59
OS,0.08,98,0.96,0.16055555555555556,23.12
RDP,0.08,89,0.78,0.13784722222222215,19.85
BU_1,0.08,89,0.78,0.07340277777777782,10.57
BU_2,0.08,89,0.78,0.13416666666666668,19.32
VW,0.08,100,1.0,0.21479166666666663,30.93
OS,0.09,99,0.98,0.16826388888888894,24.23
RDP,0.09,91,0.8200000000000001,0.13055555555555548,18.8
BU_1,0.09,89,0.78,0.06916666666666668,9.96
BU_2,0.09,89,0.78,0.12576388888888887,18.11
VW,0.09,100,1.0,0.20701388888888886,29.81
OS,0.1,99,0.98,0.17590277777777785,25.33
RDP,0.1,87,0.74,0.12333333333333335,17.76
BU_1,0.1,85,0.7,0.06548611111111112,9.43
BU_2,0.1,85,0.7,0.11847222222222217,17.06
VW,0.1,100,1.0,0.19826388888888896,28.55
OS,0.11,99,0.98,0.18263888888888893,26.3
RDP,0.11,92,0.84,0.1154166666666667,16.62
BU_1,0.11,85,0.7,0.06291666666666669,9.06
BU_2,0.11,85,0.7,0.11340277777777777,16.33
VW,0.11,100,1.0,0.19152777777777782,27.58
OS,0.12,98,0.96,0.18958333333333335,27.3
RDP,0.12,87,0.74,0.10743055555555561,15.47
BU_1,0.12,86,0.72,0.060972222222222205,8.78
BU_2,0.12,86,0.72,0.10951388888888887,15.77
VW,0.12,99,0.98,0.18555555555555553,26.72
OS,0.13,98,0.96,0.19611111111111107,28.24
RDP,0.13,84,0.6799999999999999,0.09965277777777778,14.35
BU_1,0.13,86,0.72,0.05881944444444444,8.47
BU_2,0.13,86,0.72,0.10527777777777779,15.16
VW,0.13,97,0.94,0.18097222222222228,26.06
OS,0.14,100,1.0,0.20215277777777782,29.11
RDP,0.14,85,0.7,0.09055555555555554,13.04
BU_1,0.14,84,0.6799999999999999,0.0567361111111111,8.17
BU_2,0.14,84,0.6799999999999999,0.10118055555555555,14.57
VW,0.14,98,0.96,0.17673611111111115,25.45
OS,0.15,100,1.0,0.20826388888888886,29.99
RDP,0.15,86,0.72,0.0828472222222222,11.93
BU_1,0.15,85,0.7,0.05437499999999999,7.83
BU_2,0.15,85,0.7,0.09645833333333333,13.89
VW,0.15,97,0.94,0.17243055555555561,24.83
OS,0.16,100,1.0,0.2128472222222221,30.65
RDP,0.16,84,0.6799999999999999,0.07680555555555554,11.06
BU_1,0.16,85,0.7,0.053333333333333316,7.68
BU_2,0.16,85,0.7,0.09437499999999999,13.59
VW,0.16,96,0.92,0.1686805555555556,24.29
OS,0.17,99,0.98,0.21826388888888892,31.43
RDP,0.17,86,0.72,0.07222222222222223,10.4
BU_1,0.17,84,0.6799999999999999,0.0511111111111111,7.36
BU_2,0.17,84,0.6799999999999999,0.08993055555555554,12.95
VW,0.17,96,0.92,0.16631944444444455,23.95
OS,0.18,99,0.98,0.2244444444444445,32.32
RDP,0.18,85,0.7,0.06958333333333332,10.02
BU_1,0.18,82,0.64,0.04979166666666665,7.17
BU_2,0.18,82,0.64,0.08736111111111107,12.58
VW,0.18,96,0.92,0.16430555555555557,23.66
OS,0.19,99,0.98,0.22923611111111108,33.01
RDP,0.19,84,0.6799999999999999,0.06749999999999998,9.72
BU_1,0.19,80,0.6,0.04833333333333331,6.96
BU_2,0.19,80,0.6,0.0844444444444444,12.16
VW,0.19,97,0.94,0.1613888888888889,23.24
OS,0.2,99,0.98,0.23479166666666665,33.81
RDP,0.2,85,0.7,0.0639583333333333,9.21
BU_1,0.2,79,0.5800000000000001,0.047291666666666635,6.81
BU_2,0.2,79,0.5800000000000001,0.0823611111111111,11.86
VW,0.2,98,0.96,0.15750000000000003,22.68
OS,0.21,99,0.98,0.23881944444444447,34.39
RDP,0.21,84,0.6799999999999999,0.060347222222222205,8.69
BU_1,0.21,79,0.5800000000000001,0.04645833333333331,6.69
BU_2,0.21,79,0.5800000000000001,0.08069444444444442,11.62
VW,0.21,96,0.92,0.154375,22.23
OS,0.22,99,0.98,0.24402777777777782,35.14
RDP,0.22,81,0.62,0.05777777777777777,8.32
BU_1,0.22,78,0.56,0.04555555555555554,6.56
BU_2,0.22,78,0.56,0.07888888888888888,11.36
VW,0.22,97,0.94,0.15187499999999998,21.87
OS,0.23,99,0.98,0.24777777777777782,35.68
RDP,0.23,83,0.6599999999999999,0.055555555555555546,8.0
BU_1,0.23,78,0.56,0.044791666666666646,6.45
BU_2,0.23,78,0.56,0.07736111111111112,11.14
VW,0.23,96,0.92,0.1492361111111111,21.49
OS,0.24,99,0.98,0.25062500000000004,36.09
RDP,0.24,83,0.6599999999999999,0.05368055555555554,7.73
BU_1,0.24,77,0.54,0.04395833333333332,6.33
BU_2,0.24,77,0.54,0.07569444444444443,10.9
VW,0.24,96,0.92,0.1465277777777778,21.1
OS,0.25,99,0.98,0.2540277777777778,36.58
RDP,0.25,84,0.6799999999999999,0.051458333333333314,7.41
BU_1,0.25,77,0.54,0.04270833333333332,6.15
BU_2,0.25,77,0.54,0.07319444444444442,10.54
VW,0.25,95,0.9,0.14375000000000002,20.7
OS,0.26,99,0.98,0.25840277777777787,37.21
RDP,0.26,83,0.6599999999999999,0.049305555555555526,7.1
BU_1,0.26,75,0.5,0.04201388888888888,6.05
BU_2,0.26,75,0.5,0.071875,10.35
VW,0.26,95,0.9,0.14194444444444443,20.44
OS,0.27,100,1.0,0.26284722222222223,37.85
RDP,0.27,83,0.6599999999999999,0.04708333333333331,6.78
BU_1,0.27,75,0.5,0.04124999999999999,5.94
BU_2,0.27,75,0.5,0.07041666666666666,10.14
VW,0.27,92,0.84,0.13937500000000003,20.07
OS,0.28,100,1.0,0.2667361111111112,38.41
RDP,0.28,85,0.7,0.044166666666666646,6.36
BU_1,0.28,75,0.5,0.04076388888888888,5.87
BU_2,0.28,75,0.5,0.06944444444444443,10.0
VW,0.28,91,0.8200000000000001,0.13708333333333333,19.74
OS,0.29,100,1.0,0.27020833333333344,38.91
RDP,0.29,84,0.6799999999999999,0.04256944444444443,6.13
BU_1,0.29,75,0.5,0.03999999999999999,5.76
BU_2,0.29,75,0.5,0.06791666666666667,9.78
VW,0.29,90,0.8,0.13534722222222217,19.49
OS,0.3,100,1.0,0.27618055555555565,39.77
RDP,0.3,81,0.62,0.040347222222222215,5.81
BU_1,0.3,73,0.45999999999999996,0.03923611111111111,5.65
BU_2,0.3,73,0.45999999999999996,0.06638888888888887,9.56
VW,0.3,88,0.76,0.1334722222222222,19.22
OS,0.31,100,1.0,0.2797916666666668,40.29
RDP,0.31,83,0.6599999999999999,0.03874999999999999,5.58
BU_1,0.31,73,0.45999999999999996,0.03819444444444444,5.5
BU_2,0.31,73,0.45999999999999996,0.06430555555555555,9.26
VW,0.31,88,0.76,0.13243055555555552,19.07
OS,0.32,100,1.0,0.28326388888888904,40.79
RDP,0.32,85,0.7,0.037361111111111095,5.38
BU_1,0.32,73,0.45999999999999996,0.03763888888888889,5.42
BU_2,0.32,73,0.45999999999999996,0.06319444444444444,9.1
VW,0.32,88,0.76,0.13034722222222217,18.77
OS,0.33,100,1.0,0.28861111111111115,41.56
RDP,0.33,83,0.6599999999999999,0.03506944444444443,5.05
BU_1,0.33,74,0.48,0.03673611111111111,5.29
BU_2,0.33,74,0.48,0.06138888888888888,8.84
VW,0.33,88,0.76,0.12819444444444442,18.46
OS,0.34,100,1.0,0.291875,42.03
RDP,0.34,80,0.6,0.03416666666666666,4.92
BU_1,0.34,74,0.48,0.035902777777777777,5.17
BU_2,0.34,74,0.48,0.059722222222222204,8.6
VW,0.34,88,0.76,0.12631944444444437,18.19
OS,0.35000000000000003,100,1.0,0.29770833333333335,42.87
RDP,0.35000000000000003,79,0.5800000000000001,0.0323611111111111,4.66
BU_1,0.35000000000000003,73,0.45999999999999996,0.03555555555555555,5.12
BU_2,0.35000000000000003,73,0.45999999999999996,0.05902777777777777,8.5
VW,0.35000000000000003,89,0.78,0.12499999999999996,18.0
OS,0.36,100,1.0,0.30041666666666667,43.26
