Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.54,-0.032779524023349715,0.006993006993006993,1.0
RDP,0.0,1.0,1.0,0.9333566433566435,133.47
BU,0.0,1.0,1.0,1.006993006993007,144.0
VC,0.0,1.0,1.0,1.0,143.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.99,0.9784296807592753,0.16958041958041956,24.25
RDP,0.1,0.96,0.913232104121475,0.11433566433566433,16.35
BU,0.1,0.95,0.8921484037963762,0.05811188811188812,8.31
VC,0.1,0.98,0.9566160520607375,0.1956643356643357,27.98
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.99,0.9784296807592753,0.23069930069930067,32.99
RDP,0.2,0.91,0.8036649214659686,0.05279720279720281,7.55
BU,0.2,0.94,0.8698481561822126,0.03972027972027972,5.68
VC,0.2,0.96,0.913232104121475,0.15342657342657343,21.94
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.2748951048951049,39.31
RDP,0.30000000000000004,0.87,0.7287145242070117,0.02762237762237763,3.95
BU,0.30000000000000004,0.95,0.8921484037963762,0.032237762237762244,4.61
VC,0.30000000000000004,0.95,0.8909249563699826,0.12993006993006995,18.58
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.31559440559440566,45.13
RDP,0.4,0.81,0.5947098976109215,0.016083916083916086,2.3
BU,0.4,0.94,0.8683633172444054,0.026363636363636367,3.77
VC,0.4,0.94,0.8698481561822126,0.11244755244755247,16.08
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.3662937062937063,52.38
RDP,0.5,0.75,0.43541102077687444,0.011538461538461539,1.65
BU,0.5,0.91,0.7991071428571428,0.022937062937062942,3.28
VC,0.5,0.94,0.8698481561822126,0.09629370629370632,13.77
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.41608391608391615,59.5
RDP,0.6000000000000001,0.64,0.16240111679851088,0.00888111888111888,1.27
BU,0.6000000000000001,0.9,0.775482712168837,0.02027972027972028,2.9
VC,0.6000000000000001,0.95,0.8921484037963762,0.08580419580419583,12.27
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.47748251748251747,68.28
RDP,0.7000000000000001,0.68,0.21760391198044005,0.0079020979020979,1.13
BU,0.7000000000000001,0.87,0.6993524514338576,0.018601398601398603,2.66
VC,0.7000000000000001,0.96,0.913232104121475,0.07720279720279721,11.04
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.547972027972028,78.36
RDP,0.8,0.66,0.1579990094105992,0.007412587412587412,1.06
BU,0.8,0.83,0.5971563981042654,0.016783216783216787,2.4
VC,0.8,0.96,0.913232104121475,0.07230769230769231,10.34
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6273426573426574,89.71
RDP,0.9,0.63,0.05322415557830085,0.007062937062937063,1.01
BU,0.9,0.81,0.5441458733205374,0.016013986013986018,2.29
VC,0.9,0.96,0.913232104121475,0.06748251748251749,9.65
LSF,0.9,0.0,0.0,0.0,0.0
