Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.58,0.03448275862068961,0.006993006993006993,1.0
RDP,0.0,1.0,1.0,0.9333566433566435,133.47
BU,0.0,1.0,1.0,1.006993006993007,144.0
VC,0.0,1.0,1.0,1.0,143.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.95,0.8956594323873122,0.16958041958041956,24.25
RDP,0.1,0.95,0.8945147679324894,0.11433566433566433,16.35
BU,0.1,0.88,0.7336884154460719,0.05811188811188812,8.31
VC,0.1,0.96,0.9151463725074247,0.1956643356643357,27.98
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.98,0.9570999570999571,0.23069930069930067,32.99
RDP,0.2,0.81,0.62,0.05279720279720281,7.55
BU,0.2,0.82,0.5862068965517242,0.03972027972027972,5.68
VC,0.2,0.94,0.872719558761137,0.15342657342657343,21.94
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.98,0.9570999570999571,0.2748951048951049,39.31
RDP,0.30000000000000004,0.81,0.5991561181434599,0.02762237762237763,3.95
BU,0.30000000000000004,0.85,0.6530989824236818,0.032237762237762244,4.61
VC,0.30000000000000004,0.92,0.8283998283998284,0.12993006993006995,18.58
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9786689419795221,0.31559440559440566,45.13
RDP,0.4,0.79,0.53125,0.016083916083916086,2.3
BU,0.4,0.84,0.6231747527084315,0.026363636363636367,3.77
VC,0.4,0.92,0.8244844229925405,0.11244755244755247,16.08
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9786689419795221,0.3662937062937063,52.38
RDP,0.5,0.73,0.3522072936660269,0.011538461538461539,1.65
BU,0.5,0.81,0.5441458733205374,0.022937062937062942,3.28
VC,0.5,0.91,0.8058671268334772,0.09629370629370632,13.77
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.41608391608391615,59.5
RDP,0.6000000000000001,0.68,0.20752847944526986,0.00888111888111888,1.27
BU,0.6000000000000001,0.79,0.4897959183673469,0.02027972027972028,2.9
VC,0.6000000000000001,0.91,0.8058671268334772,0.08580419580419583,12.27
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.47748251748251747,68.28
RDP,0.7000000000000001,0.7,0.25705794947994043,0.0079020979020979,1.13
BU,0.7000000000000001,0.74,0.3477170095333668,0.018601398601398603,2.66
VC,0.7000000000000001,0.88,0.7425997425997426,0.07720279720279721,11.04
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.547972027972028,78.36
RDP,0.8,0.7,0.25705794947994043,0.007412587412587412,1.06
BU,0.8,0.7,0.2272024729520864,0.016783216783216787,2.4
VC,0.8,0.88,0.7425997425997426,0.07230769230769231,10.34
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6273426573426574,89.71
RDP,0.9,0.65,0.10440122824974407,0.007062937062937063,1.01
BU,0.9,0.68,0.1644908616187989,0.016013986013986018,2.29
VC,0.9,0.91,0.8058671268334772,0.06748251748251749,9.65
LSF,0.9,0.0,0.0,0.0,0.0
