Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,47,-0.05915267785771383,0.006993006993006986,1.0
RDP,0.0,100,1.0,0.931328671328672,133.18
BU,0.0,100,1.0,1.0,143.0
BU,0.0,100,1.0,1.0,143.0
VW,0.0,100,1.0,1.0,143.0
OS,0.01,77,0.5306122448979591,0.0344055944055944,4.92
RDP,0.01,99,0.9799518845228549,0.30048951048951045,42.97
BU,0.01,97,0.9397590361445783,0.32510489510489504,46.49
BU,0.01,97,0.9397590361445783,0.32510489510489504,46.49
VW,0.01,99,0.9799518845228549,0.29881118881118884,42.73
OS,0.02,79,0.5721271393643031,0.05769230769230771,8.25
RDP,0.02,97,0.9397590361445783,0.23055944055944053,32.97
BU,0.02,97,0.9397590361445783,0.24860139860139863,35.55
BU,0.02,97,0.9397590361445783,0.24860139860139863,35.55
VW,0.02,97,0.9397590361445783,0.23419580419580424,33.49
OS,0.03,86,0.7163695299837926,0.07671328671328674,10.97
RDP,0.03,98,0.9598715890850722,0.2007692307692308,28.71
BU,0.03,96,0.9196141479099679,0.20944055944055948,29.95
BU,0.03,96,0.9196141479099679,0.20944055944055948,29.95
VW,0.03,97,0.9397590361445783,0.2014685314685314,28.81
OS,0.04,94,0.8792270531400966,0.09727272727272729,13.91
RDP,0.04,98,0.9598715890850722,0.1790909090909091,25.61
BU,0.04,93,0.8589846897663175,0.18510489510489503,26.47
BU,0.04,93,0.8589846897663175,0.18510489510489503,26.47
VW,0.04,97,0.9397590361445783,0.17979020979020977,25.71
OS,0.05,94,0.8792270531400966,0.11510489510489513,16.46
RDP,0.05,96,0.9196141479099679,0.16419580419580423,23.48
BU,0.05,93,0.8589846897663175,0.16692307692307692,23.87
BU,0.05,93,0.8589846897663175,0.16692307692307692,23.87
VW,0.05,94,0.8792270531400966,0.16664335664335664,23.83
OS,0.06,94,0.8792270531400966,0.1276223776223777,18.25
RDP,0.06,96,0.9196141479099679,0.15300699300699308,21.88
BU,0.06,93,0.8589846897663175,0.15209790209790214,21.75
BU,0.06,93,0.8589846897663175,0.15209790209790214,21.75
VW,0.06,94,0.8792270531400966,0.15839160839160837,22.65
OS,0.07,95,0.8994368463395012,0.14090909090909093,20.15
RDP,0.07,96,0.9196141479099679,0.1416083916083917,20.25
BU,0.07,91,0.8184019370460048,0.13923076923076919,19.91
BU,0.07,91,0.8184019370460048,0.13923076923076919,19.91
VW,0.07,95,0.8994368463395012,0.14839160839160834,21.22
OS,0.08,96,0.9196141479099679,0.15286713286713285,21.86
RDP,0.08,96,0.9196141479099679,0.13174825174825178,18.84
BU,0.08,86,0.7163695299837926,0.12720279720279717,18.19
BU,0.08,86,0.7163695299837926,0.12720279720279717,18.19
VW,0.08,95,0.8994368463395012,0.1404195804195804,20.08
OS,0.09,97,0.9397590361445783,0.16146853146853146,23.09
RDP,0.09,96,0.9196141479099679,0.12426573426573428,17.77
BU,0.09,88,0.7572815533980582,0.1185314685314685,16.95
BU,0.09,88,0.7572815533980582,0.1185314685314685,16.95
VW,0.09,95,0.8994368463395012,0.13314685314685318,19.04
OS,0.1,97,0.9397590361445783,0.16902097902097904,24.17
RDP,0.1,95,0.8994368463395012,0.11685314685314681,16.71
BU,0.1,85,0.6958637469586375,0.11132867132867133,15.92
BU,0.1,85,0.6958637469586375,0.11132867132867133,15.92
VW,0.1,94,0.8792270531400966,0.12727272727272732,18.2
OS,0.11,97,0.9397590361445783,0.17538461538461533,25.08
RDP,0.11,91,0.8184019370460048,0.10902097902097894,15.59
BU,0.11,86,0.7163695299837926,0.10615384615384613,15.18
BU,0.11,86,0.7163695299837926,0.10615384615384613,15.18
VW,0.11,92,0.8387096774193549,0.12202797202797201,17.45
OS,0.12,97,0.9397590361445783,0.1821678321678322,26.05
RDP,0.12,93,0.8592115848753017,0.10048951048951045,14.37
BU,0.12,86,0.7163695299837926,0.10237762237762241,14.64
BU,0.12,86,0.7163695299837926,0.10237762237762241,14.64
VW,0.12,92,0.8387096774193549,0.11776223776223776,16.84
OS,0.13,97,0.9397590361445783,0.18804195804195806,26.89
RDP,0.13,88,0.7576736672051696,0.09181818181818185,13.13
BU,0.13,86,0.7163695299837926,0.09804195804195805,14.02
BU,0.13,86,0.7163695299837926,0.09804195804195805,14.02
VW,0.13,92,0.8387096774193549,0.11363636363636363,16.25
OS,0.14,97,0.9397590361445783,0.1945454545454546,27.82
RDP,0.14,83,0.6547522339561331,0.08272727272727275,11.83
BU,0.14,86,0.7163695299837926,0.093986013986014,13.44
BU,0.14,86,0.7163695299837926,0.093986013986014,13.44
VW,0.14,92,0.8387096774193549,0.1103496503496504,15.78
OS,0.15,97,0.9397590361445783,0.200979020979021,28.74
RDP,0.15,86,0.7163695299837926,0.07461538461538464,10.67
BU,0.15,84,0.6753246753246753,0.0893706293706294,12.78
BU,0.15,84,0.6753246753246753,0.0893706293706294,12.78
VW,0.15,89,0.7776879547291835,0.10643356643356647,15.22
OS,0.16,97,0.9397590361445783,0.20552447552447556,29.39
RDP,0.16,91,0.8184019370460048,0.0686013986013986,9.81
BU,0.16,84,0.6753246753246753,0.08727272727272728,12.48
BU,0.16,84,0.6753246753246753,0.08727272727272728,12.48
VW,0.16,91,0.8184019370460048,0.10174825174825175,14.55
OS,0.17,97,0.9397590361445783,0.21069930069930073,30.13
RDP,0.17,89,0.7776879547291835,0.06412587412587413,9.17
BU,0.17,84,0.6753246753246753,0.0827972027972028,11.84
BU,0.17,84,0.6753246753246753,0.0827972027972028,11.84
VW,0.17,91,0.8184019370460048,0.09615384615384613,13.75
OS,0.18,97,0.9397590361445783,0.2162237762237762,30.92
RDP,0.18,86,0.7168284789644013,0.06132867132867134,8.77
BU,0.18,85,0.6958637469586375,0.08027972027972029,11.48
BU,0.18,85,0.6958637469586375,0.08027972027972029,11.48
VW,0.18,91,0.8184019370460048,0.09370629370629366,13.4
OS,0.19,98,0.9598715890850722,0.22139860139860143,31.66
RDP,0.19,86,0.7168284789644013,0.05909090909090909,8.45
BU,0.19,84,0.6758508914100486,0.07734265734265736,11.06
BU,0.19,84,0.6758508914100486,0.07734265734265736,11.06
VW,0.19,90,0.7980613893376414,0.089020979020979,12.73
OS,0.2,98,0.9598715890850722,0.22678321678321678,32.43
RDP,0.2,84,0.6758508914100486,0.055874125874125886,7.99
BU,0.2,83,0.6553122465531225,0.07524475524475525,10.76
BU,0.2,83,0.6553122465531225,0.07524475524475525,10.76
VW,0.2,89,0.7776879547291835,0.08678321678321678,12.41
OS,0.21,98,0.9598715890850722,0.23132867132867133,33.08
RDP,0.21,85,0.6963562753036436,0.05223776223776226,7.47
BU,0.21,82,0.6347402597402598,0.07356643356643357,10.52
BU,0.21,82,0.6347402597402598,0.07356643356643357,10.52
VW,0.21,89,0.7776879547291835,0.0851048951048951,12.17
OS,0.22,98,0.9598715890850722,0.235034965034965,33.61
RDP,0.22,86,0.7168284789644013,0.049370629370629374,7.06
BU,0.22,81,0.6141348497156782,0.07160839160839162,10.24
BU,0.22,81,0.6141348497156782,0.07160839160839162,10.24
VW,0.22,89,0.7776879547291835,0.08174825174825175,11.69
OS,0.23,98,0.9598715890850722,0.2392307692307692,34.21
RDP,0.23,85,0.6958637469586375,0.045874125874125884,6.56
BU,0.23,80,0.5934959349593496,0.07062937062937065,10.1
BU,0.23,80,0.5934959349593496,0.07062937062937065,10.1
VW,0.23,87,0.736842105263158,0.07930069930069931,11.34
OS,0.24,98,0.9598715890850722,0.24188811188811188,34.59
RDP,0.24,83,0.6547522339561331,0.04384615384615384,6.27
BU,0.24,81,0.613506916192026,0.06881118881118883,9.84
BU,0.24,81,0.613506916192026,0.06881118881118883,9.84
VW,0.24,86,0.7163695299837926,0.07748251748251751,11.08
OS,0.25,98,0.9598715890850722,0.24678321678321669,35.29
RDP,0.25,83,0.6547522339561331,0.04139860139860139,5.92
BU,0.25,82,0.6341463414634146,0.06643356643356646,9.5
BU,0.25,82,0.6341463414634146,0.06643356643356646,9.5
VW,0.25,86,0.7163695299837926,0.07601398601398605,10.87
OS,0.26,98,0.9598715890850722,0.2509790209790209,35.89
RDP,0.26,84,0.6753246753246753,0.0395104895104895,5.65
BU,0.26,81,0.6141348497156782,0.06503496503496504,9.3
BU,0.26,81,0.6141348497156782,0.06503496503496504,9.3
VW,0.26,86,0.7163695299837926,0.07482517482517487,10.7
OS,0.27,98,0.9598715890850722,0.25461538461538463,36.41
RDP,0.27,83,0.6558704453441295,0.03734265734265735,5.34
BU,0.27,82,0.6347402597402598,0.06363636363636364,9.1
BU,0.27,82,0.6347402597402598,0.06363636363636364,9.1
VW,0.27,84,0.6753246753246753,0.07349650349650352,10.51
OS,0.28,98,0.9598715890850722,0.25881118881118875,37.01
RDP,0.28,81,0.6147607461476075,0.03433566433566434,4.91
BU,0.28,82,0.6347402597402598,0.06251748251748251,8.94
BU,0.28,82,0.6347402597402598,0.06251748251748251,8.94
VW,0.28,85,0.6958637469586375,0.07188811188811191,10.28
OS,0.29,98,0.9598715890850722,0.2625874125874126,37.55
RDP,0.29,81,0.6153846153846154,0.03272727272727273,4.68
BU,0.29,81,0.6141348497156782,0.060839160839160834,8.7
BU,0.29,81,0.6141348497156782,0.060839160839160834,8.7
VW,0.29,86,0.7163695299837926,0.07013986013986014,10.03
OS,0.3,98,0.9598715890850722,0.26762237762237767,38.27
RDP,0.3,80,0.5948136142625609,0.03027972027972029,4.33
BU,0.3,81,0.6141348497156782,0.059580419580419576,8.52
BU,0.3,81,0.6141348497156782,0.059580419580419576,8.52
VW,0.3,86,0.7163695299837926,0.06874125874125875,9.83
OS,0.31,98,0.9598715890850722,0.27265734265734276,38.99
RDP,0.31,77,0.534412955465587,0.028601398601398605,4.09
BU,0.31,78,0.5535714285714286,0.057482517482517495,8.22
BU,0.31,78,0.5535714285714286,0.057482517482517495,8.22
VW,0.31,86,0.7163695299837926,0.0679020979020979,9.71
OS,0.32,98,0.9598715890850722,0.2760139860139861,39.47
RDP,0.32,77,0.5336577453365774,0.02713286713286713,3.88
BU,0.32,78,0.5535714285714286,0.056363636363636366,8.06
BU,0.32,78,0.5535714285714286,0.056363636363636366,8.06
VW,0.32,85,0.6958637469586375,0.06657342657342659,9.52
OS,0.33,98,0.9598715890850722,0.28160839160839174,40.27
RDP,0.33,76,0.5145631067961165,0.02517482517482517,3.6
BU,0.33,76,0.513776337115073,0.054685314685314686,7.82
BU,0.33,76,0.513776337115073,0.054685314685314686,7.82
VW,0.33,85,0.6958637469586375,0.06482517482517484,9.27
OS,0.34,98,0.9598715890850722,0.28419580419580426,40.64
RDP,0.34,75,0.4947453516572352,0.024335664335664337,3.48
BU,0.34,77,0.5336577453365774,0.05328671328671328,7.62
BU,0.34,77,0.5336577453365774,0.05328671328671328,7.62
VW,0.34,85,0.6958637469586375,0.06412587412587413,9.17
OS,0.35000000000000003,98,0.9598715890850722,0.29013986013986015,41.49
RDP,0.35000000000000003,73,0.4552058111380145,0.022727272727272728,3.25
BU,0.35000000000000003,78,0.5535714285714286,0.05258741258741256,7.52
BU,0.35000000000000003,78,0.5535714285714286,0.05258741258741256,7.52
VW,0.35000000000000003,81,0.613506916192026,0.06293706293706296,9.0
OS,0.36,98,0.9598715890850722,0.2927272727272728,41.86
RDP,0.36,72,0.4345718901453959,0.021748251748251762,3.11
BU,0.36,78,0.5535714285714286,0.05188811188811186,7.42
BU,0.36,78,0.5535714285714286,0.05188811188811186,7.42
VW,0.36,81,0.613506916192026,0.06181818181818183,8.84
OS,0.37,98,0.9598715890850722,0.2954545454545454,42.25
RDP,0.37,69,0.3724696356275303,0.0204895104895105,2.93
BU,0.37,78,0.5535714285714286,0.05076923076923076,7.26
BU,0.37,78,0.5535714285714286,0.05076923076923076,7.26
VW,0.37,80,0.5928338762214984,0.0611888111888112,8.75
OS,0.38,98,0.9598715890850722,0.30013986013986005,42.92
RDP,0.38,71,0.4139046079223928,0.01958041958041959,2.8
BU,0.38,77,0.5336577453365774,0.05020979020979021,7.18
BU,0.38,77,0.5336577453365774,0.05020979020979021,7.18
VW,0.38,80,0.5928338762214984,0.06055944055944057,8.66
OS,0.39,98,0.9598715890850722,0.3055944055944054,43.7
RDP,0.39,71,0.4139046079223928,0.018951048951048956,2.71
BU,0.39,79,0.5748987854251012,0.049370629370629374,7.06
BU,0.39,79,0.5748987854251012,0.049370629370629374,7.06
VW,0.39,78,0.5513866231647635,0.059440559440559454,8.5
OS,0.4,98,0.9598715890850722,0.30909090909090897,44.2
RDP,0.4,71,0.41295546558704455,0.017902097902097916,2.56
BU,0.4,79,0.5748987854251012,0.0483916083916084,6.92
BU,0.4,79,0.5748987854251012,0.0483916083916084,6.92
VW,0.4,78,0.5513866231647635,0.05860139860139861,8.38
OS,0.41000000000000003,99,0.9799518845228549,0.31524475524475515,45.08
RDP,0.41000000000000003,69,0.3734842360549717,0.017132867132867147,2.45
BU,0.41000000000000003,78,0.5542949756888169,0.047132867132867136,6.74
BU,0.41000000000000003,78,0.5542949756888169,0.047132867132867136,6.74
VW,0.41000000000000003,78,0.5513866231647635,0.057062937062937066,8.16
OS,0.42,99,0.9799518845228549,0.3205594405594406,45.84
RDP,0.42,67,0.3330638641875505,0.016363636363636375,2.34
BU,0.42,77,0.5336577453365774,0.04559440559440557,6.52
BU,0.42,77,0.5336577453365774,0.04559440559440557,6.52
VW,0.42,77,0.5306122448979591,0.05615384615384616,8.03
OS,0.43,99,0.9799518845228549,0.32433566433566424,46.38
RDP,0.43,66,0.3134087237479807,0.015804195804195814,2.26
BU,0.43,76,0.512987012987013,0.04405594405594402,6.3
BU,0.43,76,0.512987012987013,0.04405594405594402,6.3
VW,0.43,75,0.48896156991005724,0.05510489510489511,7.88
OS,0.44,99,0.9799518845228549,0.3286713286713286,47.0
RDP,0.44,65,0.29378531073446335,0.015314685314685328,2.19
BU,0.44,76,0.512987012987013,0.04321678321678318,6.18
BU,0.44,76,0.512987012987013,0.04321678321678318,6.18
