Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,52,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.8278750000000002,66.23
BU_1,0.0,100,1.0,1.0125000000000017,81.0
BU_2,0.0,100,1.0,1.0,80.0
VW,0.0,100,1.0,1.0,80.0
OS,0.01,67,0.49494949494949503,0.08200000000000013,6.56
RDP,0.01,99,0.9835634451019066,0.4010000000000001,32.08
BU_1,0.01,87,0.7919334186939821,0.17162499999999986,13.73
BU_2,0.01,87,0.7919334186939821,0.31899999999999995,25.52
VW,0.01,99,0.9835634451019066,0.4673749999999999,37.39
OS,0.02,66,0.4796449341903888,0.09400000000000007,7.52
RDP,0.02,90,0.8387616897774911,0.28450000000000003,22.76
BU_1,0.02,84,0.7453851050286442,0.14350000000000007,11.48
BU_2,0.02,84,0.7453851050286442,0.26287499999999997,21.03
VW,0.02,95,0.918460534898891,0.36037499999999995,28.83
OS,0.03,67,0.49572127139364297,0.11662499999999994,9.33
RDP,0.03,83,0.7295577473751194,0.22562499999999996,18.05
BU_1,0.03,84,0.7453851050286442,0.13124999999999992,10.5
BU_2,0.03,84,0.7453851050286442,0.23837500000000017,19.07
VW,0.03,92,0.8702983138780804,0.312625,25.01
OS,0.04,68,0.5117485505035093,0.125125,10.01
RDP,0.04,79,0.6689785624211854,0.19362499999999996,15.49
BU_1,0.04,82,0.7146480659480026,0.12512499999999996,10.01
BU_2,0.04,82,0.7146480659480026,0.22612500000000008,18.09
VW,0.04,89,0.8229803669134212,0.2880000000000001,23.04
OS,0.05,69,0.5261387954753898,0.129,10.32
RDP,0.05,79,0.6684559520050521,0.17037500000000003,13.63
BU_1,0.05,78,0.6538703587161737,0.12312499999999994,9.85
BU_2,0.05,78,0.6538703587161737,0.2222500000000001,17.78
VW,0.05,88,0.8072598779312561,0.26524999999999993,21.22
OS,0.06,70,0.540581929555896,0.13250000000000006,10.6
RDP,0.06,79,0.6684559520050521,0.15312500000000007,12.25
BU_1,0.06,78,0.6538703587161737,0.12187499999999993,9.75
BU_2,0.06,78,0.6538703587161737,0.21975000000000008,17.58
VW,0.06,87,0.7915998717537672,0.24962499999999987,19.97
OS,0.07,70,0.540581929555896,0.1375000000000001,11.0
RDP,0.07,77,0.6382510223340674,0.14012500000000006,11.21
BU_1,0.07,78,0.6538703587161737,0.12124999999999991,9.7
BU_2,0.07,78,0.6538703587161737,0.21850000000000008,17.48
VW,0.07,85,0.7604599169594379,0.23837500000000003,19.07
OS,0.08,70,0.540581929555896,0.1400000000000001,11.2
RDP,0.08,74,0.5933687832342821,0.13112499999999996,10.49
BU_1,0.08,78,0.6538703587161737,0.11924999999999995,9.54
BU_2,0.08,78,0.6538703587161737,0.21450000000000005,17.16
VW,0.08,83,0.7295577473751194,0.22774999999999998,18.22
OS,0.09,72,0.5696280356593914,0.14362500000000009,11.49
RDP,0.09,75,0.609008445417579,0.12599999999999992,10.08
BU_1,0.09,79,0.6689785624211854,0.11512500000000005,9.21
BU_2,0.09,79,0.6689785624211854,0.20624999999999993,16.5
VW,0.09,81,0.6988906497622821,0.21975000000000006,17.58
OS,0.1,72,0.5696280356593914,0.14637500000000006,11.71
RDP,0.1,77,0.6389324960753533,0.12212499999999986,9.77
BU_1,0.1,77,0.6394984326018809,0.1096250000000001,8.77
BU_2,0.1,77,0.6394984326018809,0.19524999999999995,15.62
VW,0.1,79,0.6689785624211854,0.21125000000000008,16.9
OS,0.11,74,0.5967741935483871,0.15112500000000006,12.09
RDP,0.11,76,0.6239423378251332,0.12074999999999989,9.66
BU_1,0.11,72,0.5644057249533292,0.10675000000000007,8.54
BU_2,0.11,72,0.5644057249533292,0.1895,15.16
VW,0.11,78,0.6544140747722275,0.20362500000000014,16.29
OS,0.12,74,0.5967741935483871,0.1543750000000001,12.35
RDP,0.12,75,0.6096189881324172,0.11849999999999997,9.48
BU_1,0.12,69,0.5204207920792079,0.1052500000000001,8.42
BU_2,0.12,69,0.5204207920792079,0.18649999999999994,14.92
VW,0.12,78,0.6544140747722275,0.19750000000000015,15.8
OS,0.13,76,0.62640099626401,0.15812500000000004,12.65
RDP,0.13,76,0.6245306633291614,0.11724999999999994,9.38
BU_1,0.13,69,0.5204207920792079,0.10325000000000008,8.26
BU_2,0.13,69,0.5204207920792079,0.1825,14.6
VW,0.13,78,0.6544140747722275,0.191875,15.35
OS,0.14,77,0.6400625978090766,0.16474999999999998,13.18
RDP,0.14,79,0.6679316888045541,0.11474999999999992,9.18
BU_1,0.14,69,0.515322076297686,0.10087500000000008,8.07
BU_2,0.14,69,0.515322076297686,0.1777500000000001,14.22
VW,0.14,78,0.6544140747722275,0.18587499999999998,14.87
OS,0.15,81,0.6988906497622821,0.16987499999999997,13.59
RDP,0.15,78,0.6527777777777778,0.11149999999999999,8.92
BU_1,0.15,68,0.4925467808436409,0.09812500000000009,7.85
BU_2,0.15,68,0.4925467808436409,0.17225000000000001,13.78
VW,0.15,78,0.6544140747722275,0.18062499999999995,14.45
OS,0.16,81,0.6988906497622821,0.17612499999999998,14.09
RDP,0.16,82,0.7137404580152672,0.10875000000000001,8.7
BU_1,0.16,70,0.5242626070409133,0.09325000000000003,7.46
BU_2,0.16,70,0.5242626070409133,0.16250000000000006,13.0
VW,0.16,76,0.6244131455399061,0.1781249999999999,14.25
OS,0.17,82,0.7141949825341378,0.18249999999999988,14.6
RDP,0.17,80,0.6796925048046124,0.10612500000000004,8.49
BU_1,0.17,71,0.5299837925445705,0.08887500000000001,7.11
BU_2,0.17,71,0.5299837925445705,0.15375000000000008,12.3
VW,0.17,75,0.6094970321774444,0.17424999999999993,13.94
OS,0.18,83,0.7295577473751194,0.187875,15.03
RDP,0.18,75,0.6034263959390863,0.10187500000000005,8.15
BU_1,0.18,71,0.5283018867924528,0.086,6.88
BU_2,0.18,71,0.5283018867924528,0.14800000000000008,11.84
VW,0.18,75,0.6094970321774444,0.16899999999999998,13.52
OS,0.19,84,0.7449792795664647,0.19374999999999992,15.5
RDP,0.19,72,0.5511381853158064,0.09925000000000007,7.94
BU_1,0.19,70,0.506578947368421,0.08387500000000006,6.71
BU_2,0.19,70,0.506578947368421,0.14375000000000007,11.5
VW,0.19,74,0.5946367321484254,0.16549999999999998,13.24
OS,0.2,85,0.7604599169594379,0.19899999999999998,15.92
RDP,0.2,71,0.536,0.09600000000000007,7.68
BU_1,0.2,68,0.46470391435262626,0.08200000000000009,6.56
BU_2,0.2,68,0.46470391435262626,0.14000000000000004,11.2
VW,0.2,74,0.5946367321484254,0.162875,13.03
OS,0.21,86,0.776,0.20587499999999992,16.47
RDP,0.21,70,0.5260663507109005,0.09362500000000006,7.49
BU_1,0.21,67,0.4427558257345492,0.08012500000000011,6.41
BU_2,0.21,67,0.4427558257345492,0.13625000000000004,10.9
VW,0.21,73,0.5798319327731093,0.160625,12.85
OS,0.22,86,0.776,0.21112499999999998,16.89
RDP,0.22,71,0.536,0.09162500000000007,7.33
BU_1,0.22,67,0.43953804347826086,0.07900000000000013,6.32
BU_2,0.22,67,0.43953804347826086,0.134,10.72
VW,0.22,73,0.5806150978564771,0.158125,12.65
OS,0.23,86,0.776,0.215875,17.27
RDP,0.23,71,0.536,0.08937500000000011,7.15
BU_1,0.23,66,0.42255434782608703,0.07837500000000013,6.27
BU_2,0.23,66,0.42255434782608703,0.13275000000000003,10.62
VW,0.23,73,0.5806150978564771,0.15537499999999999,12.43
OS,0.24,86,0.776,0.2208750000000001,17.67
RDP,0.24,70,0.5225970719287079,0.0860000000000001,6.88
BU_1,0.24,66,0.42255434782608703,0.07787500000000012,6.23
BU_2,0.24,66,0.42255434782608703,0.13175000000000003,10.54
VW,0.24,72,0.5658914728682171,0.15262499999999998,12.21
OS,0.25,87,0.7915998717537672,0.22649999999999998,18.12
RDP,0.25,67,0.48145820238843495,0.08362500000000013,6.69
BU_1,0.25,66,0.42255434782608703,0.07750000000000014,6.2
BU_2,0.25,66,0.42255434782608703,0.131,10.48
VW,0.25,72,0.5658914728682171,0.15025000000000005,12.02
OS,0.26,88,0.8072598779312561,0.2322499999999999,18.58
RDP,0.26,65,0.4470774091627172,0.08125000000000013,6.5
BU_1,0.26,66,0.42255434782608703,0.07725000000000012,6.18
BU_2,0.26,66,0.42255434782608703,0.13050000000000003,10.44
VW,0.26,72,0.5658914728682171,0.14812500000000003,11.85
OS,0.27,88,0.8072598779312561,0.23687499999999992,18.95
RDP,0.27,64,0.42510380070265086,0.07925000000000013,6.34
BU_1,0.27,66,0.42255434782608703,0.07712500000000012,6.17
BU_2,0.27,66,0.42255434782608703,0.13025000000000003,10.42
VW,0.27,72,0.5658914728682171,0.14675000000000002,11.74
OS,0.28,88,0.8072598779312561,0.24199999999999997,19.36
RDP,0.28,63,0.40913446183328006,0.07762500000000011,6.21
BU_1,0.28,66,0.42255434782608703,0.07675000000000012,6.14
BU_2,0.28,66,0.42255434782608703,0.1295,10.36
VW,0.28,72,0.5658914728682171,0.14525000000000002,11.62
OS,0.29,89,0.822695035460993,0.24624999999999994,19.7
