Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.73,0.2312072892938496,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.9816455696202532,77.55
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.83,0.5526315789473684,0.14936708860759496,11.8
RDP,0.1,0.64,0.1493383742911153,0.13113924050632914,10.36
BU,0.1,0.58,0.16000000000000003,0.11797468354430382,9.32
VC,0.1,0.8,0.504950495049505,0.2348101265822785,18.55
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.81,0.48704103671706267,0.22025316455696203,17.4
RDP,0.2,0.74,0.3992606284658041,0.09341772151898736,7.38
BU,0.2,0.4,0.009247027741083214,0.07417721518987343,5.86
VC,0.2,0.75,0.4158878504672897,0.17544303797468352,13.86
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.86,0.6361746361746361,0.2836708860759493,22.41
RDP,0.30000000000000004,0.35,-0.0324015247776368,0.06481012658227851,5.12
BU,0.30000000000000004,0.41,0.03342070773263439,0.06670886075949368,5.27
VC,0.30000000000000004,0.73,0.3691588785046729,0.15316455696202533,12.1
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.94,0.844074844074844,0.3410126582278481,26.94
RDP,0.4,0.33,-0.08064516129032251,0.06329113924050635,5.0
BU,0.4,0.41,0.03342070773263439,0.06392405063291141,5.05
VC,0.4,0.66,0.24778761061946908,0.1415189873417722,11.18
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.98,0.9480249480249481,0.4097468354430379,32.37
RDP,0.5,0.3,-0.1558784676354028,0.059240506329113936,4.68
BU,0.5,0.41,0.03342070773263439,0.06329113924050635,5.0
VC,0.5,0.76,0.43289224952741023,0.13430379746835447,10.61
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.99,0.9736842105263158,0.48772151898734173,38.53
RDP,0.6000000000000001,0.4,-0.2234910277324631,0.044936708860759504,3.55
BU,0.6000000000000001,0.41,0.03342070773263439,0.06329113924050635,5.0
VC,0.6000000000000001,0.8,0.504950495049505,0.1315189873417722,10.39
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5777215189873418,45.64
RDP,0.7000000000000001,0.39,-0.36404293381037567,0.025063291139240516,1.98
BU,0.7000000000000001,0.41,0.03342070773263439,0.06215189873417724,4.91
VC,0.7000000000000001,0.83,0.5636550308008214,0.129493670886076,10.23
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6975949367088609,55.11
RDP,0.8,0.5,-0.10619469026548667,0.01265822784810127,1.0
BU,0.8,0.38,-0.05729877216916779,0.05569620253164559,4.4
VC,0.8,0.83,0.5636550308008214,0.12848101265822787,10.15
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8427848101265824,66.58
RDP,0.9,0.5,-0.10619469026548667,0.01265822784810127,1.0
BU,0.9,0.54,0.0237691001697794,0.04468354430379748,3.53
VC,0.9,0.83,0.5636550308008214,0.12658227848101267,10.0
LSF,0.9,0.0,0.0,0.0,0.0
