Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.83,-0.03658536585365857,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.9816455696202532,77.55
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.94,0.7769516728624535,0.14936708860759496,11.8
RDP,0.1,0.8,0.45504087193460496,0.13113924050632914,10.36
BU,0.1,0.81,0.4508670520231214,0.11797468354430382,9.32
VC,0.1,0.95,0.8275862068965517,0.2348101265822785,18.55
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.94,0.797979797979798,0.22025316455696203,17.4
RDP,0.2,0.43,0.12844036697247718,0.09341772151898736,7.38
BU,0.2,0.45,0.140625,0.07417721518987343,5.86
VC,0.2,0.91,0.7039473684210527,0.17544303797468352,13.86
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.96,0.8586572438162544,0.2836708860759493,22.41
RDP,0.30000000000000004,0.31,0.0650406504065042,0.06481012658227851,5.12
BU,0.30000000000000004,0.45,0.140625,0.06670886075949368,5.27
VC,0.30000000000000004,0.86,0.603399433427762,0.15316455696202533,12.1
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9618320610687023,0.3410126582278481,26.94
RDP,0.4,0.32,0.06976744186046502,0.06329113924050635,5.0
BU,0.4,0.51,0.1806020066889632,0.06392405063291141,5.05
VC,0.4,0.87,0.6242774566473989,0.1415189873417722,11.18
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9618320610687023,0.4097468354430379,32.37
RDP,0.5,0.29,-0.08562691131498457,0.059240506329113936,4.68
BU,0.5,0.53,0.1952054794520549,0.06329113924050635,5.0
VC,0.5,0.83,0.5454545454545454,0.13430379746835447,10.61
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.99,0.9618320610687023,0.48772151898734173,38.53
RDP,0.6000000000000001,0.52,-0.21518987341772156,0.044936708860759504,3.55
BU,0.6000000000000001,0.53,0.1952054794520549,0.06329113924050635,5.0
VC,0.6000000000000001,0.81,0.4919786096256684,0.1315189873417722,10.39
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,0.98,0.9215686274509804,0.5777215189873418,45.64
RDP,0.7000000000000001,0.74,-0.14537444933920707,0.025063291139240516,1.98
BU,0.7000000000000001,0.52,0.16811091854419413,0.06215189873417724,4.91
VC,0.7000000000000001,0.81,0.4919786096256684,0.129493670886076,10.23
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,0.99,0.9618320610687023,0.6975949367088609,55.11
RDP,0.8,0.83,0.2735042735042734,0.01265822784810127,1.0
BU,0.8,0.51,-0.2189054726368158,0.05569620253164559,4.4
VC,0.8,0.81,0.4919786096256684,0.12848101265822787,10.15
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8427848101265824,66.58
RDP,0.9,0.83,0.2735042735042734,0.01265822784810127,1.0
BU,0.9,0.45,-0.2790697674418605,0.04468354430379748,3.53
VC,0.9,0.79,0.45876288659793807,0.12658227848101267,10.0
LSF,0.9,0.0,0.0,0.0,0.0
