Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,9,0.0030674846625766694,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.8256962025316461,65.23
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,5,0.0247407863669028,0.07113924050632925,5.62
RDP,0.01,98,0.864314789687924,0.39341772151898735,31.08
BU,0.01,95,0.7113163972286374,0.3093670886075948,24.44
BU,0.01,95,0.7113163972286374,0.3093670886075948,24.44
VW,0.01,96,0.7569866342648846,0.30392405063291134,24.01
OS,0.02,83,0.3849493487698987,0.08443037974683547,6.67
RDP,0.02,95,0.7113163972286374,0.2754430379746836,21.76
BU,0.02,92,0.5979899497487438,0.252658227848101,19.96
BU,0.02,92,0.5979899497487438,0.252658227848101,19.96
VW,0.02,94,0.66996699669967,0.24012658227848085,18.97
OS,0.03,80,0.33818663136995364,0.10746835443037979,8.49
RDP,0.03,93,0.6323529411764706,0.2158227848101265,17.05
BU,0.03,91,0.5664739884393064,0.22708860759493632,17.94
BU,0.03,91,0.5664739884393064,0.22708860759493632,17.94
VW,0.03,93,0.6323529411764706,0.20987341772151882,16.58
OS,0.04,87,0.4628099173553719,0.11329113924050642,8.95
RDP,0.04,91,0.5664739884393064,0.1834177215189873,14.49
BU,0.04,93,0.6323529411764706,0.21544303797468317,17.02
BU,0.04,93,0.6323529411764706,0.21544303797468317,17.02
VW,0.04,91,0.5664739884393064,0.18734177215189876,14.8
OS,0.05,88,0.48586118251928023,0.11620253164556972,9.18
RDP,0.05,89,0.5106761565836297,0.15987341772151903,12.63
BU,0.05,93,0.6323529411764706,0.21139240506329074,16.7
BU,0.05,93,0.6323529411764706,0.21139240506329074,16.7
VW,0.05,89,0.5106761565836297,0.17025316455696202,13.45
OS,0.06,88,0.48586118251928023,0.11822784810126594,9.34
RDP,0.06,87,0.4628099173553719,0.1424050632911393,11.25
BU,0.06,92,0.5979899497487438,0.20936708860759456,16.54
BU,0.06,92,0.5979899497487438,0.20936708860759456,16.54
VW,0.06,89,0.5106761565836297,0.15848101265822787,12.52
OS,0.07,89,0.5106761565836297,0.12025316455696217,9.5
RDP,0.07,85,0.4212962962962963,0.12924050632911402,10.21
BU,0.07,91,0.5273109243697478,0.20835443037974646,16.46
BU,0.07,91,0.5273109243697478,0.20835443037974646,16.46
VW,0.07,88,0.48586118251928023,0.15000000000000008,11.85
OS,0.08,91,0.5664739884393064,0.12189873417721532,9.63
RDP,0.08,85,0.4212962962962963,0.12012658227848115,9.49
BU,0.08,90,0.4974874371859296,0.2043037974683541,16.14
BU,0.08,90,0.4974874371859296,0.2043037974683541,16.14
VW,0.08,88,0.48586118251928023,0.14189873417721535,11.21
OS,0.09,91,0.5664739884393064,0.12405063291139257,9.8
RDP,0.09,83,0.3849493487698987,0.11493670886075959,9.08
BU,0.09,87,0.4217081850533807,0.19544303797468335,15.44
BU,0.09,87,0.4217081850533807,0.19544303797468335,15.44
VW,0.09,85,0.4212962962962963,0.13594936708860778,10.74
OS,0.1,90,0.5374653098982424,0.1256962025316457,9.93
RDP,0.1,78,0.3112085159674389,0.11101265822784817,8.77
BU,0.1,79,0.284741144414169,0.18430379746835432,14.56
BU,0.1,79,0.284741144414169,0.18430379746835432,14.56
VW,0.1,86,0.44134078212290506,0.1316455696202533,10.4
OS,0.11,91,0.5664739884393064,0.1297468354430381,10.25
RDP,0.11,79,0.32432432432432434,0.10962025316455704,8.66
BU,0.11,72,0.24528301886792436,0.1787341772151898,14.12
BU,0.11,72,0.24528301886792436,0.1787341772151898,14.12
VW,0.11,87,0.4628099173553719,0.1273417721518989,10.06
OS,0.12,91,0.5664739884393064,0.13354430379746846,10.55
RDP,0.12,79,0.32432432432432434,0.10734177215189879,8.48
BU,0.12,69,0.2187500000000001,0.1754430379746835,13.86
BU,0.12,69,0.2187500000000001,0.1754430379746835,13.86
VW,0.12,84,0.4025392083644511,0.12417721518987354,9.81
OS,0.13,90,0.5374653098982424,0.13772151898734183,10.88
RDP,0.13,77,0.298780487804878,0.10607594936708868,8.38
BU,0.13,66,0.16132215096201297,0.17113924050632912,13.52
BU,0.13,66,0.16132215096201297,0.17113924050632912,13.52
VW,0.13,82,0.368421052631579,0.12215189873417735,9.65
OS,0.14,90,0.5374653098982424,0.14405063291139242,11.38
