Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,100,1.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.8032500000000005,64.26
BU,0.0,100,1.0,1.0125000000000017,81.0
VW,0.0,100,1.0,1.0,80.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,100,1.0,0.07062500000000008,5.65
RDP,0.01,100,1.0,0.3868750000000001,30.95
BU,0.01,100,1.0,0.16887499999999991,13.51
VW,0.01,100,1.0,0.4501249999999997,36.01
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,100,1.0,0.08962500000000005,7.17
RDP,0.02,100,1.0,0.2765000000000001,22.12
BU,0.02,100,1.0,0.1401250000000001,11.21
VW,0.02,100,1.0,0.35224999999999995,28.18
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,100,1.0,0.10975,8.78
RDP,0.03,100,1.0,0.22074999999999992,17.66
BU,0.03,100,1.0,0.127875,10.23
VW,0.03,100,1.0,0.30075,24.06
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,100,1.0,0.11750000000000003,9.4
RDP,0.04,100,1.0,0.18874999999999997,15.1
BU,0.04,100,1.0,0.12199999999999997,9.76
VW,0.04,100,1.0,0.2773750000000001,22.19
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,100,1.0,0.12050000000000004,9.64
RDP,0.05,100,1.0,0.16624999999999993,13.3
BU,0.05,100,1.0,0.11999999999999998,9.6
VW,0.05,100,1.0,0.25549999999999995,20.44
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,100,1.0,0.12475,9.98
RDP,0.06,100,1.0,0.14975000000000002,11.98
BU,0.06,100,1.0,0.11674999999999999,9.34
VW,0.06,100,1.0,0.24124999999999988,19.3
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.12900000000000003,10.32
RDP,0.07,100,1.0,0.13562500000000008,10.85
BU,0.07,100,1.0,0.115,9.2
VW,0.07,100,1.0,0.2301249999999999,18.41
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.13287500000000002,10.63
RDP,0.08,100,1.0,0.128,10.24
BU,0.08,100,1.0,0.11200000000000004,8.96
VW,0.08,100,1.0,0.21950000000000003,17.56
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,100,1.0,0.136,10.88
RDP,0.09,100,1.0,0.12224999999999991,9.78
BU,0.09,100,1.0,0.10775000000000004,8.62
VW,0.09,100,1.0,0.21187500000000004,16.95
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,100,1.0,0.13837500000000003,11.07
RDP,0.1,100,1.0,0.1192499999999999,9.54
BU,0.1,100,1.0,0.10437500000000006,8.35
VW,0.1,100,1.0,0.20500000000000007,16.4
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,100,1.0,0.14450000000000007,11.56
RDP,0.11,100,1.0,0.11724999999999991,9.38
BU,0.11,100,1.0,0.10175000000000008,8.14
VW,0.11,100,1.0,0.198625,15.89
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,100,1.0,0.15175,12.14
RDP,0.12,100,1.0,0.1154999999999999,9.24
BU,0.12,100,1.0,0.09925000000000006,7.94
VW,0.12,100,1.0,0.19275000000000006,15.42
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,100,1.0,0.15675,12.54
RDP,0.13,100,1.0,0.11237499999999993,8.99
BU,0.13,100,1.0,0.09712500000000007,7.77
VW,0.13,100,1.0,0.18725000000000008,14.98
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,100,1.0,0.16112500000000002,12.89
RDP,0.14,100,1.0,0.10949999999999996,8.76
BU,0.14,100,1.0,0.09450000000000003,7.56
VW,0.14,100,1.0,0.18275000000000002,14.62
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.16687499999999994,13.35
RDP,0.15,100,1.0,0.10675000000000001,8.54
BU,0.15,100,1.0,0.09187500000000001,7.35
VW,0.15,100,1.0,0.17662499999999995,14.13
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,100,1.0,0.1737499999999999,13.9
RDP,0.16,100,1.0,0.10462500000000004,8.37
BU,0.16,100,1.0,0.08887500000000002,7.11
VW,0.16,100,1.0,0.17337499999999995,13.87
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,100,1.0,0.17987499999999992,14.39
RDP,0.17,100,1.0,0.10137500000000005,8.11
BU,0.17,100,1.0,0.0855,6.84
VW,0.17,100,1.0,0.17,13.6
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,100,1.0,0.1841249999999999,14.73
RDP,0.18,100,1.0,0.09775000000000006,7.82
BU,0.18,100,1.0,0.08237500000000006,6.59
VW,0.18,100,1.0,0.166125,13.29
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,100,1.0,0.19100000000000006,15.28
RDP,0.19,100,1.0,0.09450000000000001,7.56
BU,0.19,100,1.0,0.0802500000000001,6.42
VW,0.19,100,1.0,0.16412499999999997,13.13
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,100,1.0,0.19612500000000008,15.69
RDP,0.2,100,1.0,0.09187499999999998,7.35
BU,0.2,100,1.0,0.07750000000000007,6.2
VW,0.2,100,1.0,0.16049999999999998,12.84
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,100,1.0,0.20125000000000007,16.1
RDP,0.21,100,1.0,0.08825000000000005,7.06
BU,0.21,100,1.0,0.07650000000000007,6.12
VW,0.21,100,1.0,0.15774999999999995,12.62
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,100,1.0,0.206125,16.49
RDP,0.22,100,1.0,0.08700000000000006,6.96
BU,0.22,100,1.0,0.07500000000000007,6.0
VW,0.22,100,1.0,0.155375,12.43
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,100,1.0,0.21037499999999998,16.83
RDP,0.23,100,1.0,0.08512500000000008,6.81
BU,0.23,100,1.0,0.07425000000000008,5.94
VW,0.23,100,1.0,0.1525,12.2
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,100,1.0,0.216625,17.33
RDP,0.24,100,1.0,0.08325000000000009,6.66
BU,0.24,100,1.0,0.07375000000000008,5.9
VW,0.24,100,1.0,0.1495,11.96
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,100,1.0,0.22037499999999993,17.63
RDP,0.25,100,1.0,0.08000000000000011,6.4
BU,0.25,100,1.0,0.07350000000000008,5.88
VW,0.25,100,1.0,0.14737500000000003,11.79
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,100,1.0,0.22400000000000003,17.92
RDP,0.26,100,1.0,0.0770000000000001,6.16
BU,0.26,100,1.0,0.07312500000000008,5.85
VW,0.26,100,1.0,0.14600000000000002,11.68
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,100,1.0,0.22987499999999997,18.39
RDP,0.27,100,1.0,0.0751250000000001,6.01
BU,0.27,100,1.0,0.07312500000000008,5.85
VW,0.27,100,1.0,0.14450000000000005,11.56
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,100,1.0,0.2345,18.76
RDP,0.28,100,1.0,0.07387500000000008,5.91
BU,0.28,100,1.0,0.07312500000000008,5.85
VW,0.28,100,1.0,0.14287500000000003,11.43
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,100,1.0,0.23912499999999995,19.13
RDP,0.29,100,1.0,0.07237500000000008,5.79
BU,0.29,100,1.0,0.07287500000000008,5.83
