Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,25,0.0,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.8007594936708865,63.26
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,25,0.0,0.0715189873417723,5.65
RDP,0.01,96,0.8933333333333333,0.3788607594936708,29.93
BU,0.01,88,0.7037037037037037,0.30303797468354415,23.94
BU,0.01,88,0.7037037037037037,0.30303797468354415,23.94
VW,0.01,92,0.8024691358024691,0.29189873417721524,23.06
OS,0.02,31,0.04166666666666663,0.08354430379746837,6.6
RDP,0.02,91,0.7631578947368421,0.2670886075949367,21.1
BU,0.02,80,0.550561797752809,0.2501265822784807,19.76
BU,0.02,80,0.550561797752809,0.2501265822784807,19.76
VW,0.02,88,0.7176470588235294,0.23164556962025315,18.3
OS,0.03,53,0.2295081967213115,0.10278481012658229,8.12
RDP,0.03,83,0.6136363636363636,0.21050632911392392,16.63
BU,0.03,76,0.43529411764705883,0.21898734177215146,17.3
BU,0.03,76,0.43529411764705883,0.21898734177215146,17.3
VW,0.03,86,0.6853932584269663,0.2018987341772151,15.95
OS,0.04,52,0.2195121951219512,0.10962025316455701,8.66
RDP,0.04,79,0.5434782608695652,0.17898734177215192,14.14
BU,0.04,74,0.388235294117647,0.2086075949367084,16.48
BU,0.04,74,0.388235294117647,0.2086075949367084,16.48
VW,0.04,79,0.5531914893617021,0.18291139240506327,14.45
OS,0.05,51,0.20967741935483875,0.11177215189873424,8.83
RDP,0.05,76,0.4838709677419355,0.15594936708860768,12.32
BU,0.05,75,0.40476190476190477,0.20506329113924004,16.2
BU,0.05,75,0.40476190476190477,0.20506329113924004,16.2
VW,0.05,71,0.43137254901960786,0.1668354430379747,13.18
OS,0.06,51,0.20967741935483875,0.11481012658227856,9.07
RDP,0.06,70,0.3939393939393939,0.13886075949367097,10.97
BU,0.06,74,0.388235294117647,0.2030379746835439,16.04
BU,0.06,74,0.388235294117647,0.2030379746835439,16.04
VW,0.06,65,0.35185185185185186,0.15620253164556974,12.34
OS,0.07,53,0.2295081967213115,0.1179746835443039,9.32
RDP,0.07,72,0.4226804123711341,0.12531645569620262,9.9
BU,0.07,71,0.32558139534883723,0.20126582278480976,15.9
BU,0.07,71,0.32558139534883723,0.20126582278480976,15.9
VW,0.07,66,0.36448598130841126,0.14784810126582296,11.68
OS,0.08,54,0.23966942148760328,0.12050632911392417,9.52
RDP,0.08,72,0.3978494623655914,0.11721518987341784,9.26
BU,0.08,70,0.3548387096774194,0.19544303797468338,15.44
BU,0.08,70,0.3548387096774194,0.19544303797468338,15.44
VW,0.08,62,0.3153153153153153,0.14025316455696216,11.08
OS,0.09,53,0.2295081967213115,0.12316455696202543,9.73
RDP,0.09,71,0.3695652173913043,0.11126582278481019,8.79
BU,0.09,59,0.2678571428571429,0.1850632911392405,14.62
BU,0.09,59,0.2678571428571429,0.1850632911392405,14.62
VW,0.09,56,0.24786324786324787,0.13468354430379756,10.64
OS,0.1,53,0.21666666666666667,0.1249367088607596,9.87
RDP,0.1,71,0.3555555555555555,0.10822784810126587,8.55
BU,0.1,50,0.19999999999999996,0.17746835443037978,14.02
BU,0.1,50,0.19999999999999996,0.17746835443037978,14.02
VW,0.1,54,0.22689075630252098,0.12987341772151914,10.26
OS,0.11,56,0.2586206896551724,0.1297468354430381,10.25
RDP,0.11,70,0.34065934065934067,0.10620253164556967,8.39
BU,0.11,45,0.15384615384615385,0.17063291139240516,13.48
BU,0.11,45,0.15384615384615385,0.17063291139240516,13.48
VW,0.11,53,0.21666666666666667,0.12569620253164573,9.93
OS,0.12,60,0.30434782608695654,0.13392405063291152,10.58
RDP,0.12,70,0.34065934065934067,0.1045569620253165,8.26
BU,0.12,43,0.13636363636363635,0.16759493670886086,13.24
BU,0.12,43,0.13636363636363635,0.16759493670886086,13.24
VW,0.12,54,0.2136752136752137,0.12278481012658242,9.7
