Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,1,0.0,0.012499999999999976,1.0
RDP,0.0,100,1.0,0.859375,68.75
BU,0.0,100,1.0,1.0125000000000017,81.0
VW,0.0,100,1.0,1.0,80.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,40,0.10992434356920333,0.08137500000000011,6.51
RDP,0.01,100,1.0,0.41687500000000005,33.35
BU,0.01,86,0.7932663910218547,0.17624999999999993,14.1
VW,0.01,99,0.9850567842199641,0.48037499999999994,38.43
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,41,0.24571720787522366,0.0940000000000001,7.52
RDP,0.02,93,0.8957712924359738,0.29124999999999995,23.3
BU,0.02,89,0.8369887374036752,0.14762499999999995,11.81
VW,0.02,97,0.9550089982003599,0.373375,29.87
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,45,0.26144756277695724,0.11974999999999993,9.58
RDP,0.03,87,0.807806031933767,0.23062499999999997,18.45
BU,0.03,87,0.808259587020649,0.13587499999999994,10.87
VW,0.03,95,0.9251944943147816,0.32587499999999997,26.07
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,60,0.43733295822197216,0.129125,10.33
RDP,0.04,82,0.7373029772329247,0.19662500000000008,15.73
BU,0.04,82,0.7373029772329247,0.13024999999999995,10.42
VW,0.04,93,0.8957712924359738,0.29700000000000004,23.76
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,67,0.5310501634219127,0.13424999999999998,10.74
RDP,0.05,80,0.7094712376525276,0.17637499999999992,14.11
BU,0.05,80,0.7108573080815384,0.127875,10.23
VW,0.05,91,0.8663101604278075,0.27574999999999994,22.06
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,70,0.5741056218057923,0.138,11.04
RDP,0.06,72,0.6006845407872219,0.15712499999999996,12.57
BU,0.06,77,0.6701563172235767,0.12687499999999996,10.15
VW,0.06,87,0.807806031933767,0.25762499999999994,20.61
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,72,0.6006845407872219,0.14162500000000006,11.33
RDP,0.07,66,0.5238095238095238,0.14375000000000004,11.5
BU,0.07,70,0.5761514552133371,0.12512499999999993,10.01
VW,0.07,86,0.7932663910218547,0.24424999999999997,19.54
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,72,0.6006845407872219,0.14525000000000007,11.62
RDP,0.08,62,0.4731003882418192,0.13537500000000002,10.83
BU,0.08,68,0.5524475524475525,0.12212499999999998,9.77
VW,0.08,84,0.7642899233942251,0.23287500000000003,18.63
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,75,0.6414228341939185,0.14900000000000005,11.92
RDP,0.09,57,0.4177180091501457,0.12987499999999996,10.39
BU,0.09,63,0.48880906327714835,0.11850000000000001,9.48
VW,0.09,84,0.7642899233942251,0.22237500000000016,17.79
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,77,0.6678220681686886,0.15225000000000002,12.18
RDP,0.1,55,0.3837304847986852,0.12637499999999996,10.11
BU,0.1,54,0.3857657898250768,0.11375000000000007,9.1
VW,0.1,83,0.7498528546203649,0.21462500000000018,17.17
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,77,0.6678220681686886,0.1565,12.52
RDP,0.11,54,0.37414965986394555,0.12412499999999996,9.93
BU,0.11,50,0.34314240672622165,0.11000000000000007,8.8
