Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.99,0.0,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.8184810126582278,64.66
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.99,0.0,0.1256962025316456,9.93
RDP,0.1,0.99,0.6621621621621622,0.11088607594936711,8.76
BU,0.1,0.98,0.4923857868020305,0.09734177215189874,7.69
VC,0.1,0.98,0.4923857868020305,0.19772151898734172,15.62
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.1844303797468354,14.57
RDP,0.2,0.98,-0.010101010101010166,0.08594936708860759,6.79
BU,0.2,0.99,0.0,0.06860759493670887,5.42
VC,0.2,0.98,0.4923857868020305,0.1511392405063291,11.94
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.23987341772151904,18.95
RDP,0.30000000000000004,0.98,-0.010101010101010166,0.06367088607594938,5.03
BU,0.30000000000000004,0.99,0.0,0.06531645569620254,5.16
VC,0.30000000000000004,0.98,0.4923857868020305,0.1307594936708861,10.33
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.28734177215189877,22.7
RDP,0.4,0.98,-0.010101010101010166,0.06329113924050635,5.0
BU,0.4,0.99,0.0,0.06367088607594938,5.03
VC,0.4,0.98,0.4923857868020305,0.12075949367088609,9.54
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.3431645569620253,27.11
RDP,0.5,0.98,-0.010101010101010166,0.04810126582278482,3.8
BU,0.5,0.99,0.0,0.06329113924050635,5.0
VC,0.5,0.98,0.4923857868020305,0.11531645569620258,9.11
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.4062025316455696,32.09
RDP,0.6000000000000001,0.99,0.0,0.03518987341772153,2.78
BU,0.6000000000000001,0.99,0.0,0.06253164556962026,4.94
VC,0.6000000000000001,0.98,0.4923857868020305,0.11240506329113926,8.88
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.4768354430379747,37.67
RDP,0.7000000000000001,0.99,0.0,0.024683544303797475,1.95
BU,0.7000000000000001,0.99,0.0,0.05721518987341774,4.52
VC,0.7000000000000001,0.98,0.4923857868020305,0.109620253164557,8.66
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.5659493670886075,44.71
RDP,0.8,0.99,0.0,0.01265822784810127,1.0
BU,0.8,0.99,0.0,0.04974683544303799,3.93
VC,0.8,0.98,0.4923857868020305,0.10936708860759498,8.64
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6879746835443039,54.35
RDP,0.9,0.99,0.0,0.01265822784810127,1.0
BU,0.9,0.99,0.0,0.04126582278481013,3.26
VC,0.9,0.98,0.4923857868020305,0.10721518987341774,8.47
LSF,0.9,0.0,0.0,0.0,0.0
