Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,100,1.0,0.012658227848101267,1.0
RDP,0.0,100,1.0,0.8575949367088609,67.75
BU,0.0,100,1.0,1.0,79.0
BU,0.0,100,1.0,1.0,79.0
VW,0.0,100,1.0,1.0,79.0
OS,0.01,100,1.0,0.06962025316455708,5.5
RDP,0.01,99,0.0,0.409493670886076,32.35
BU,0.01,99,0.0,0.3192405063291139,25.22
BU,0.01,99,0.0,0.3192405063291139,25.22
VW,0.01,99,0.0,0.31734177215189857,25.07
OS,0.02,99,0.0,0.08405063291139245,6.64
RDP,0.02,99,0.0,0.2822784810126583,22.3
BU,0.02,97,0.0,0.26025316455696174,20.56
BU,0.02,97,0.0,0.26025316455696174,20.56
VW,0.02,99,0.0,0.24822784810126586,19.61
OS,0.03,100,1.0,0.11037974683544309,8.72
RDP,0.03,99,0.0,0.22088607594936702,17.45
BU,0.03,98,0.0,0.2374683544303794,18.76
BU,0.03,98,0.0,0.2374683544303794,18.76
VW,0.03,97,0.0,0.2125316455696202,16.79
OS,0.04,100,1.0,0.1179746835443039,9.32
RDP,0.04,97,0.0,0.18645569620253166,14.73
BU,0.04,99,0.0,0.22607594936708825,17.86
BU,0.04,99,0.0,0.22607594936708825,17.86
VW,0.04,96,0.0,0.18999999999999997,15.01
OS,0.05,100,1.0,0.1207594936708862,9.54
RDP,0.05,98,0.0,0.1659493670886076,13.11
BU,0.05,99,0.0,0.22177215189873378,17.52
BU,0.05,99,0.0,0.22177215189873378,17.52
VW,0.05,94,0.0,0.17316455696202532,13.68
OS,0.06,100,1.0,0.12341772151898747,9.75
RDP,0.06,98,0.0,0.1464556962025317,11.57
BU,0.06,99,0.0,0.22025316455696164,17.4
BU,0.06,99,0.0,0.22025316455696164,17.4
VW,0.06,97,0.0,0.1615189873417722,12.76
OS,0.07,100,1.0,0.12531645569620267,9.9
RDP,0.07,97,0.0,0.1329113924050634,10.5
BU,0.07,100,1.0,0.21696202531645534,17.14
BU,0.07,100,1.0,0.21696202531645534,17.14
VW,0.07,97,0.0,0.15405063291139245,12.17
OS,0.08,100,1.0,0.12696202531645584,10.03
RDP,0.08,97,0.0,0.12443037974683556,9.83
BU,0.08,100,1.0,0.21113924050632893,16.68
BU,0.08,100,1.0,0.21113924050632893,16.68
VW,0.08,96,0.0,0.1459493670886077,11.53
OS,0.09,99,0.0,0.12873417721519,10.17
RDP,0.09,99,0.0,0.118860759493671,9.39
BU,0.09,98,0.0,0.20253164556962017,16.0
BU,0.09,98,0.0,0.20253164556962017,16.0
VW,0.09,96,0.0,0.14037974683544316,11.09
OS,0.1,99,0.0,0.13075949367088616,10.33
RDP,0.1,99,0.0,0.11531645569620261,9.11
BU,0.1,95,0.0,0.19215189873417715,15.18
BU,0.1,95,0.0,0.19215189873417715,15.18
VW,0.1,95,0.0,0.1364556962025318,10.78
OS,0.11,100,1.0,0.13443037974683558,10.62
RDP,0.11,100,1.0,0.11303797468354437,8.93
BU,0.11,95,0.0,0.18430379746835437,14.56
BU,0.11,95,0.0,0.18430379746835437,14.56
VW,0.11,95,0.0,0.13265822784810144,10.48
OS,0.12,100,1.0,0.1396202531645571,11.03
RDP,0.12,99,0.0,0.1113924050632912,8.8
BU,0.12,95,0.0,0.18075949367088603,14.28
BU,0.12,95,0.0,0.18075949367088603,14.28
VW,0.12,97,0.0,0.1293670886075951,10.22
OS,0.13,100,1.0,0.1441772151898735,11.39
RDP,0.13,98,0.0,0.10974683544303804,8.67
BU,0.13,94,0.0,0.17443037974683548,13.78
BU,0.13,94,0.0,0.17443037974683548,13.78
VW,0.13,98,0.0,0.12708860759493687,10.04
OS,0.14,99,0.0,0.15113924050632913,11.94
RDP,0.14,98,0.0,0.1067088607594937,8.43
BU,0.14,95,0.0,0.1688607594936709,13.34
BU,0.14,95,0.0,0.1688607594936709,13.34
VW,0.14,98,0.0,0.12392405063291154,9.79
OS,0.15,99,0.0,0.15835443037974684,12.51
RDP,0.15,97,0.0,0.1034177215189874,8.17
BU,0.15,95,0.0,0.16151898734177228,12.76
BU,0.15,95,0.0,0.16151898734177228,12.76
VW,0.15,98,0.0,0.12215189873417735,9.65
OS,0.16,99,0.0,0.1632911392405064,12.9
RDP,0.16,97,0.0,0.09949367088607604,7.86
BU,0.16,94,0.0,0.1511392405063293,11.94
