Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,54,0.0,0.06666666666666662,1.0
RDP,0.0,100,1.0,1.0,15.0
BU,0.0,100,1.0,1.066666666666666,16.0
VW,0.0,100,1.0,1.0,15.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,85,0.7033227848101267,0.10133333333333333,1.52
RDP,0.01,100,1.0,0.9686666666666668,14.53
BU,0.01,99,0.9798387096774194,0.5266666666666668,7.9
VW,0.01,100,1.0,0.97,14.55
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,81,0.6181672025723473,0.11133333333333333,1.67
RDP,0.02,100,1.0,0.9359999999999996,14.04
BU,0.02,100,1.0,0.4793333333333331,7.19
VW,0.02,100,1.0,0.941333333333333,14.12
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,81,0.6181672025723473,0.11133333333333333,1.67
RDP,0.03,100,1.0,0.9133333333333329,13.7
BU,0.03,95,0.8995176848874598,0.43333333333333307,6.5
VW,0.03,100,1.0,0.9146666666666661,13.72
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,79,0.5766129032258065,0.11733333333333329,1.76
RDP,0.04,99,0.979903536977492,0.8886666666666659,13.33
BU,0.04,95,0.8991935483870968,0.39266666666666644,5.89
VW,0.04,99,0.979903536977492,0.8946666666666657,13.42
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,80,0.5961227786752827,0.12199999999999994,1.83
RDP,0.05,99,0.979903536977492,0.8666666666666661,13.0
BU,0.05,93,0.8588709677419355,0.3666666666666662,5.5
VW,0.05,99,0.979903536977492,0.8713333333333325,13.07
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,81,0.6156957928802589,0.1306666666666666,1.96
RDP,0.06,99,0.979903536977492,0.8439999999999992,12.66
BU,0.06,91,0.8185483870967742,0.3386666666666662,5.08
VW,0.06,99,0.979903536977492,0.8519999999999992,12.78
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,81,0.614448051948052,0.1359999999999999,2.04
RDP,0.07,99,0.979903536977492,0.8159999999999993,12.24
BU,0.07,90,0.7974068071312804,0.3173333333333329,4.76
VW,0.07,99,0.979903536977492,0.8339999999999993,12.51
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,83,0.6550324675324675,0.14466666666666658,2.17
RDP,0.08,97,0.9395161290322581,0.7906666666666661,11.86
BU,0.08,90,0.7980613893376414,0.29999999999999966,4.5
VW,0.08,97,0.9395161290322581,0.8153333333333328,12.23
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,82,0.6341463414634146,0.15266666666666656,2.29
RDP,0.09,98,0.9597423510466989,0.7706666666666662,11.56
BU,0.09,91,0.8191318327974276,0.2806666666666664,4.21
VW,0.09,98,0.9597423510466989,0.8053333333333329,12.08
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,82,0.6353322528363047,0.15999999999999986,2.4
RDP,0.1,97,0.9397106109324759,0.7459999999999997,11.19
BU,0.1,90,0.7987117552334944,0.2693333333333331,4.04
VW,0.1,98,0.9597423510466989,0.7886666666666663,11.83
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,86,0.7163695299837926,0.16733333333333317,2.51
RDP,0.11,97,0.9397106109324759,0.728,10.92
BU,0.11,90,0.7987117552334944,0.2593333333333331,3.89
VW,0.11,97,0.9397106109324759,0.7713333333333331,11.57
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,85,0.6966019417475728,0.18599999999999986,2.79
RDP,0.12,96,0.9194847020933977,0.7113333333333333,10.67
BU,0.12,88,0.7584541062801933,0.24866666666666642,3.73
VW,0.12,96,0.9194847020933977,0.7579999999999998,11.37
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,84,0.6758508914100486,0.19533333333333316,2.93
RDP,0.13,95,0.8995176848874598,0.6886666666666668,10.33
BU,0.13,84,0.6799999999999999,0.23133333333333309,3.47
VW,0.13,96,0.9194847020933977,0.7466666666666665,11.2
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,85,0.6956168831168832,0.2019999999999998,3.03
RDP,0.14,96,0.9194847020933977,0.6653333333333333,9.98
BU,0.14,81,0.6218152866242038,0.22066666666666643,3.31
VW,0.14,96,0.9194847020933977,0.7273333333333332,10.91
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,85,0.6956168831168832,0.22466666666666646,3.37
RDP,0.15,94,0.8792270531400966,0.6486666666666666,9.73
BU,0.15,81,0.6218152866242038,0.21199999999999972,3.18
VW,0.15,96,0.9194847020933977,0.7153333333333333,10.73
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,87,0.7370550161812297,0.2479999999999998,3.72
RDP,0.16,92,0.8394863563402889,0.6339999999999999,9.51
BU,0.16,81,0.6218152866242038,0.2039999999999997,3.06
VW,0.16,97,0.9397106109324759,0.7006666666666667,10.51
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,85,0.6985530546623795,0.2726666666666664,4.09
RDP,0.17,91,0.8197115384615384,0.618,9.27
BU,0.17,80,0.6025437201907791,0.19799999999999968,2.97
VW,0.17,96,0.9197431781701445,0.6893333333333332,10.34
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,85,0.6995192307692308,0.30066666666666625,4.51
RDP,0.18,91,0.8197115384615384,0.6073333333333335,9.11
BU,0.18,81,0.6218152866242038,0.1959999999999997,2.94
VW,0.18,96,0.9197431781701445,0.6766666666666665,10.15
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,86,0.7191011235955056,0.3326666666666662,4.99
RDP,0.19,91,0.8197115384615384,0.5953333333333335,8.93
BU,0.19,81,0.6218152866242038,0.19133333333333305,2.87
VW,0.19,96,0.9197431781701445,0.6693333333333336,10.04
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,88,0.7592295345104334,0.357333333333333,5.36
RDP,0.2,90,0.8,0.5853333333333335,8.78
BU,0.2,82,0.6411483253588517,0.18533333333333307,2.78
VW,0.2,96,0.9197431781701445,0.6553333333333333,9.83
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,89,0.7789389067524115,0.38533333333333303,5.78
RDP,0.21,89,0.7796474358974359,0.5726666666666668,8.59
BU,0.21,82,0.6411483253588517,0.17999999999999974,2.7
VW,0.21,96,0.9197431781701445,0.6439999999999999,9.66
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,88,0.7584541062801933,0.41133333333333333,6.17
RDP,0.22,88,0.7592295345104334,0.5613333333333336,8.42
BU,0.22,83,0.6605431309904153,0.17399999999999974,2.61
VW,0.22,95,0.8995176848874598,0.6386666666666666,9.58
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,87,0.7387459807073955,0.43133333333333335,6.47
RDP,0.23,88,0.7592295345104334,0.5460000000000003,8.19
BU,0.23,83,0.6605431309904153,0.1693333333333331,2.54
VW,0.23,94,0.8792270531400966,0.626,9.39
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,89,0.7789389067524115,0.45733333333333326,6.86
RDP,0.24,88,0.7584541062801933,0.5386666666666668,8.08
BU,0.24,82,0.6411483253588517,0.16733333333333308,2.51
VW,0.24,93,0.8593247588424437,0.6186666666666666,9.28
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,90,0.7987117552334944,0.47133333333333316,7.07
RDP,0.25,88,0.7592295345104334,0.528,7.92
BU,0.25,82,0.6411483253588517,0.16466666666666643,2.47
VW,0.25,93,0.8593247588424437,0.6113333333333333,9.17
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,92,0.8394863563402889,0.4893333333333334,7.34
RDP,0.26,88,0.7592295345104334,0.518,7.77
BU,0.26,80,0.6012759170653907,0.1613333333333331,2.42
VW,0.26,93,0.8593247588424437,0.6040000000000001,9.06
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,93,0.8593247588424437,0.5053333333333334,7.58
RDP,0.27,89,0.7782258064516129,0.5073333333333334,7.61
BU,0.27,81,0.6206070287539935,0.15933333333333313,2.39
VW,0.27,93,0.8593247588424437,0.596,8.94
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,97,0.9399038461538461,0.526,7.89
RDP,0.28,88,0.7576736672051696,0.4960000000000001,7.44
BU,0.28,81,0.6206070287539935,0.15733333333333316,2.36
VW,0.28,93,0.8593247588424437,0.5893333333333334,8.84
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,97,0.9399038461538461,0.5466666666666669,8.2
RDP,0.29,89,0.7782258064516129,0.4873333333333335,7.31
BU,0.29,81,0.6206070287539935,0.1559999999999998,2.34
VW,0.29,93,0.8593247588424437,0.5820000000000001,8.73
LSF,0.29,0,0.0,0.0,0.0
OS,0.3,97,0.9399038461538461,0.5680000000000001,8.52
RDP,0.3,87,0.7379032258064516,0.4773333333333334,7.16
BU,0.3,81,0.6206070287539935,0.1559999999999998,2.34
VW,0.3,92,0.8394863563402889,0.5673333333333334,8.51
LSF,0.3,0,0.0,0.0,0.0
OS,0.31,98,0.9598715890850722,0.5813333333333334,8.72
RDP,0.31,88,0.7576736672051696,0.4680000000000002,7.02
BU,0.31,81,0.6206070287539935,0.1539999999999998,2.31
VW,0.31,92,0.8394863563402889,0.566,8.49
LSF,0.31,0,0.0,0.0,0.0
OS,0.32,97,0.9399038461538461,0.5966666666666667,8.95
RDP,0.32,89,0.7782258064516129,0.4553333333333333,6.83
BU,0.32,82,0.64,0.15199999999999983,2.28
VW,0.32,92,0.8394863563402889,0.5633333333333332,8.45
LSF,0.32,0,0.0,0.0,0.0
OS,0.33,97,0.9399038461538461,0.6066666666666666,9.1
RDP,0.33,88,0.7584541062801933,0.4506666666666666,6.76
BU,0.33,82,0.64,0.1506666666666665,2.26
VW,0.33,89,0.7796474358974359,0.5559999999999999,8.34
LSF,0.33,0,0.0,0.0,0.0
OS,0.34,97,0.9399038461538461,0.6146666666666666,9.22
RDP,0.34,88,0.7584541062801933,0.44266666666666665,6.64
BU,0.34,84,0.6799999999999999,0.1486666666666665,2.23
VW,0.34,89,0.7796474358974359,0.5513333333333333,8.27
LSF,0.34,0,0.0,0.0,0.0
OS,0.35000000000000003,97,0.9399038461538461,0.6293333333333332,9.44
RDP,0.35000000000000003,87,0.7395833333333333,0.42933333333333334,6.44
BU,0.35000000000000003,85,0.700479233226837,0.1453333333333332,2.18
VW,0.35000000000000003,90,0.7993579454253612,0.5473333333333333,8.21
LSF,0.35000000000000003,0,0.0,0.0,0.0
OS,0.36,98,0.9598715890850722,0.6419999999999998,9.63
RDP,0.36,87,0.7387459807073955,0.42066666666666663,6.31
BU,0.36,85,0.700479233226837,0.14399999999999985,2.16
VW,0.36,89,0.7789389067524115,0.54,8.1
LSF,0.36,0,0.0,0.0,0.0
OS,0.37,98,0.9598715890850722,0.6499999999999997,9.75
RDP,0.37,87,0.7387459807073955,0.4099999999999999,6.15
BU,0.37,85,0.700479233226837,0.1433333333333332,2.15
VW,0.37,89,0.7789389067524115,0.536,8.04
LSF,0.37,0,0.0,0.0,0.0
OS,0.38,98,0.9598715890850722,0.6639999999999998,9.96
RDP,0.38,86,0.7191011235955056,0.3999999999999998,6.0
BU,0.38,84,0.6810207336523126,0.14133333333333323,2.12
VW,0.38,89,0.7789389067524115,0.5319999999999999,7.98
LSF,0.38,0,0.0,0.0,0.0
OS,0.39,97,0.9399038461538461,0.6726666666666664,10.09
RDP,0.39,86,0.7181964573268922,0.3919999999999998,5.88
BU,0.39,84,0.6810207336523126,0.14133333333333323,2.12
VW,0.39,88,0.7592295345104334,0.5266666666666666,7.9
LSF,0.39,0,0.0,0.0,0.0
OS,0.4,97,0.9397106109324759,0.6846666666666665,10.27
RDP,0.4,85,0.6975806451612903,0.38199999999999973,5.73
BU,0.4,85,0.700479233226837,0.14066666666666655,2.11
VW,0.4,88,0.7592295345104334,0.5253333333333332,7.88
LSF,0.4,0,0.0,0.0,0.0
OS,0.41000000000000003,98,0.9597423510466989,0.6966666666666664,10.45
RDP,0.41000000000000003,85,0.6975806451612903,0.3746666666666663,5.62
BU,0.41000000000000003,85,0.700479233226837,0.13933333333333323,2.09
