Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.39,0.012305699481865329,0.0714285714285714,1.0
RDP,0.0,1.0,1.0,1.0,14.0
BU,0.0,1.0,1.0,1.0,14.0
VC,0.0,1.0,1.0,1.0,14.0
OS,0.01,0.29,-0.24648876404494402,0.0714285714285714,1.0
RDP,0.01,1.0,1.0,0.9642857142857144,13.5
BU,0.01,1.0,1.0,0.9285714285714287,13.0
VC,0.01,1.0,1.0,0.9671428571428574,13.54
OS,0.02,0.29,-0.24648876404494402,0.0714285714285714,1.0
RDP,0.02,1.0,1.0,0.9321428571428573,13.05
BU,0.02,0.95,0.8965231788079471,0.832142857142857,11.65
VC,0.02,1.0,1.0,0.9364285714285714,13.11
OS,0.03,0.29,-0.24648876404494402,0.07214285714285712,1.01
RDP,0.03,1.0,1.0,0.9064285714285716,12.69
BU,0.03,0.86,0.722662440570523,0.7421428571428571,10.39
VC,0.03,1.0,1.0,0.9057142857142858,12.68
OS,0.04,0.35,-0.11301369863013688,0.0764285714285714,1.07
RDP,0.04,1.0,1.0,0.88,12.32
BU,0.04,0.73,0.49626865671641784,0.6621428571428569,9.27
VC,0.04,1.0,1.0,0.8814285714285716,12.34
OS,0.05,0.35,-0.10394021739130443,0.07785714285714283,1.09
RDP,0.05,0.99,0.9788851351351351,0.8507142857142856,11.91
BU,0.05,0.65,0.3695965417867435,0.6064285714285713,8.49
VC,0.05,0.99,0.9788851351351351,0.8521428571428571,11.93
OS,0.06,0.36,-0.08254397834912042,0.08285714285714282,1.16
RDP,0.06,0.99,0.9788851351351351,0.8235714285714285,11.53
BU,0.06,0.66,0.3849493487698987,0.5435714285714286,7.61
VC,0.06,0.99,0.9788851351351351,0.8321428571428571,11.65
OS,0.07,0.37,-0.061320754716981174,0.08428571428571426,1.18
RDP,0.07,0.97,0.9372909698996655,0.7999999999999998,11.2
BU,0.07,0.67,0.3951612903225806,0.5035714285714286,7.05
VC,0.07,0.99,0.9788851351351351,0.8149999999999998,11.41
OS,0.08,0.4,-0.023192360163710735,0.0921428571428571,1.29
RDP,0.08,0.97,0.9372909698996655,0.7714285714285712,10.8
BU,0.08,0.65,0.3585043988269795,0.46857142857142847,6.56
VC,0.08,0.99,0.9788851351351351,0.7964285714285714,11.15
OS,0.09,0.41,-0.010273972602739656,0.09928571428571425,1.39
RDP,0.09,0.97,0.9372909698996655,0.7521428571428571,10.53
BU,0.09,0.64,0.34306569343065685,0.437142857142857,6.12
VC,0.09,0.99,0.9788851351351351,0.7807142857142856,10.93
OS,0.1,0.42,0.0027510316368637433,0.10785714285714282,1.51
RDP,0.1,0.95,0.8965231788079471,0.7207142857142856,10.09
BU,0.1,0.61,0.297550432276657,0.4099999999999999,5.74
VC,0.1,0.98,0.957983193277311,0.7599999999999999,10.64
OS,0.11,0.47,0.0695224719101123,0.11857142857142852,1.66
RDP,0.11,0.95,0.8965231788079471,0.7049999999999998,9.87
BU,0.11,0.58,0.24677187948350077,0.3814285714285714,5.34
VC,0.11,0.98,0.957983193277311,0.7435714285714284,10.41
OS,0.12,0.51,0.125,0.1285714285714285,1.8
RDP,0.12,0.95,0.8965231788079471,0.687857142857143,9.63
BU,0.12,0.58,0.24677187948350077,0.36,5.04
VC,0.12,0.98,0.957983193277311,0.7307142857142855,10.23
OS,0.13,0.56,0.20405209840810423,0.14714285714285708,2.06
RDP,0.13,0.94,0.8764415156507414,0.6678571428571428,9.35
BU,0.13,0.56,0.20405209840810423,0.33785714285714286,4.73
VC,0.13,0.98,0.957983193277311,0.7185714285714284,10.06
OS,0.14,0.57,0.2187500000000001,0.1578571428571428,2.21
RDP,0.14,0.92,0.836867862969005,0.6428571428571429,9.0
BU,0.14,0.53,0.15345821325648412,0.31500000000000006,4.41
VC,0.14,0.98,0.957983193277311,0.6978571428571426,9.77
OS,0.15,0.61,0.2851906158357772,0.17214285714285713,2.41
RDP,0.15,0.9,0.7980613893376414,0.6235714285714286,8.73
BU,0.15,0.52,0.13916786226685807,0.2978571428571429,4.17
VC,0.15,0.98,0.957983193277311,0.6857142857142855,9.6
OS,0.16,0.66,0.3684992570579495,0.18714285714285717,2.62
RDP,0.16,0.88,0.76,0.6042857142857142,8.46
BU,0.16,0.52,0.13916786226685807,0.27928571428571436,3.91
VC,0.16,0.98,0.957983193277311,0.6707142857142856,9.39
OS,0.17,0.68,0.4002998500749625,0.20285714285714285,2.84
RDP,0.17,0.85,0.7014331210191083,0.5885714285714285,8.24
BU,0.17,0.53,0.15345821325648412,0.2721428571428572,3.81
VC,0.17,0.96,0.9159663865546218,0.6649999999999998,9.31
OS,0.18,0.69,0.41109422492401215,0.2321428571428571,3.25
RDP,0.18,0.82,0.6467817896389325,0.5749999999999998,8.05
BU,0.18,0.5,0.11095305832147928,0.26428571428571435,3.7
VC,0.18,0.96,0.9159663865546218,0.6542857142857141,9.16
OS,0.19,0.71,0.4440184049079754,0.2614285714285714,3.66
RDP,0.19,0.79,0.5936532507739938,0.5635714285714284,7.89
BU,0.19,0.49,0.09702549575070829,0.25000000000000006,3.5
VC,0.19,0.95,0.8954849498327759,0.6464285714285714,9.05
OS,0.2,0.72,0.460708782742681,0.2964285714285714,4.15
RDP,0.2,0.77,0.5590490797546013,0.5521428571428569,7.73
BU,0.2,0.48,0.07539118065433847,0.24428571428571433,3.42
VC,0.2,0.94,0.8752079866888519,0.6378571428571429,8.93
OS,0.21,0.76,0.5334370139968896,0.3214285714285714,4.5
RDP,0.21,0.74,0.5083207261724659,0.5335714285714284,7.47
BU,0.21,0.48,0.07539118065433847,0.2428571428571429,3.4
VC,0.21,0.94,0.8752079866888519,0.6228571428571429,8.72
OS,0.22,0.73,0.482361963190184,0.35071428571428565,4.91
RDP,0.22,0.74,0.5083207261724659,0.5185714285714285,7.26
BU,0.22,0.47,0.0535714285714286,0.23571428571428577,3.3
VC,0.22,0.94,0.8752079866888519,0.615,8.61
OS,0.23,0.75,0.5250759878419453,0.3792857142857142,5.31
RDP,0.23,0.73,0.4917168674698795,0.507142857142857,7.1
BU,0.23,0.47,0.0535714285714286,0.23285714285714293,3.26
VC,0.23,0.94,0.8752079866888519,0.6028571428571428,8.44
OS,0.24,0.78,0.5801526717557253,0.4014285714285714,5.62
RDP,0.24,0.74,0.5083207261724659,0.4978571428571427,6.97
BU,0.24,0.47,0.0535714285714286,0.23142857142857146,3.24
VC,0.24,0.93,0.8551324503311258,0.5928571428571429,8.3
OS,0.25,0.79,0.5973926380368098,0.41428571428571415,5.8
RDP,0.25,0.76,0.5419847328244276,0.48499999999999993,6.79
BU,0.25,0.46,0.03982930298719767,0.22857142857142862,3.2
VC,0.25,0.93,0.8551324503311258,0.5842857142857142,8.18
OS,0.26,0.8,0.6147919876733436,0.43499999999999994,6.09
RDP,0.26,0.75,0.5250759878419453,0.47071428571428564,6.59
BU,0.26,0.46,0.03982930298719767,0.22571428571428576,3.16
VC,0.26,0.92,0.8352553542009885,0.5778571428571428,8.09
OS,0.27,0.81,0.6323529411764706,0.45214285714285707,6.33
RDP,0.27,0.73,0.49626865671641784,0.4564285714285714,6.39
BU,0.27,0.46,0.03982930298719767,0.2242857142857143,3.14
VC,0.27,0.9,0.7960848287112561,0.5678571428571428,7.95
OS,0.28,0.82,0.6500777604976672,0.4707142857142857,6.59
RDP,0.28,0.72,0.47994056463595847,0.4407142857142856,6.17
BU,0.28,0.44,0.012693935119887145,0.22142857142857145,3.1
VC,0.28,0.89,0.7767857142857143,0.5607142857142857,7.85
OS,0.29,0.84,0.6860282574568288,0.4821428571428571,6.75
RDP,0.29,0.73,0.49626865671641784,0.43357142857142855,6.07
BU,0.29,0.44,0.012693935119887145,0.21857142857142858,3.06
VC,0.29,0.89,0.7767857142857143,0.5549999999999999,7.77
OS,0.3,0.86,0.722662440570523,0.5078571428571429,7.11
RDP,0.3,0.71,0.45895522388059695,0.422142857142857,5.91
BU,0.3,0.43,-0.009206798866855381,0.21714285714285717,3.04
VC,0.3,0.87,0.7387459807073955,0.5407142857142857,7.57
OS,0.31,0.86,0.722662440570523,0.5228571428571428,7.32
