Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.32,-0.3843648208469055,0.0714285714285714,1.0
RDP,0.0,1.0,1.0,1.0,14.0
BU,0.0,1.0,1.0,1.0714285714285712,15.0
VC,0.0,1.0,1.0,1.0,14.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.74,0.47916666666666663,0.10785714285714282,1.51
RDP,0.1,0.94,0.8798076923076923,0.7207142857142856,10.09
BU,0.1,0.83,0.6591820368885325,0.24357142857142858,3.41
VC,0.1,0.97,0.9398556535685646,0.7599999999999999,10.64
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.75,0.5003996802557953,0.2964285714285714,4.15
RDP,0.2,0.86,0.72,0.5521428571428569,7.73
BU,0.2,0.71,0.41767068273092367,0.1585714285714285,2.22
VC,0.2,0.9,0.8003194888178914,0.6378571428571429,8.93
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.84,0.6794871794871795,0.5078571428571429,7.11
RDP,0.30000000000000004,0.81,0.6184738955823292,0.422142857142857,5.91
BU,0.30000000000000004,0.67,0.3384121892542101,0.14499999999999993,2.03
VC,0.30000000000000004,0.85,0.7007182761372706,0.5407142857142857,7.57
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.94,0.8796147672552167,0.6299999999999999,8.82
RDP,0.4,0.67,0.33414043583535114,0.3257142857142858,4.56
BU,0.4,0.67,0.3384121892542101,0.1428571428571428,2.0
VC,0.4,0.82,0.6405750798722045,0.48499999999999993,6.79
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9799518845228549,0.7485714285714287,10.48
RDP,0.5,0.66,0.3156199677938808,0.23999999999999996,3.36
BU,0.5,0.67,0.3384121892542101,0.1428571428571428,2.0
VC,0.5,0.85,0.7002398081534772,0.44214285714285706,6.19
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.99,0.9799839871897518,0.8264285714285714,11.57
RDP,0.6000000000000001,0.57,0.14068745003996797,0.1614285714285714,2.26
BU,0.6000000000000001,0.67,0.3384121892542101,0.1428571428571428,2.0
VC,0.6000000000000001,0.83,0.6613545816733069,0.39357142857142846,5.51
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.8914285714285717,12.48
RDP,0.7000000000000001,0.61,0.21937550040032028,0.10999999999999995,1.54
BU,0.7000000000000001,0.67,0.3384121892542101,0.1428571428571428,2.0
VC,0.7000000000000001,0.82,0.6422893481717011,0.3535714285714285,4.95
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.9357142857142857,13.1
RDP,0.8,0.62,0.2375601926163724,0.08285714285714282,1.16
BU,0.8,0.67,0.3384121892542101,0.1428571428571428,2.0
VC,0.8,0.78,0.5621019108280255,0.3207142857142857,4.49
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.9728571428571429,13.62
RDP,0.9,0.6,0.1974317817014447,0.0714285714285714,1.0
BU,0.9,0.67,0.3384121892542101,0.1428571428571428,2.0
VC,0.9,0.79,0.5816733067729084,0.28642857142857137,4.01
LSF,0.9,0.0,0.0,0.0,0.0
