Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.33,-0.050815558343789036,0.0714285714285714,1.0
RDP,0.0,1.0,1.0,1.0,14.0
BU,0.0,1.0,1.0,1.0,14.0
VC,0.0,1.0,1.0,1.0,14.0
OS,0.01,0.67,0.23752310536044363,0.0714285714285714,1.0
RDP,0.01,1.0,1.0,0.9642857142857144,13.5
BU,0.01,0.99,0.9775583482944344,0.9285714285714287,13.0
VC,0.01,1.0,1.0,0.9671428571428574,13.54
OS,0.02,0.67,0.23752310536044363,0.0714285714285714,1.0
RDP,0.02,1.0,1.0,0.9321428571428573,13.05
BU,0.02,0.96,0.9095840867992767,0.832142857142857,11.65
VC,0.02,1.0,1.0,0.9364285714285714,13.11
OS,0.03,0.68,0.2660550458715597,0.07214285714285712,1.01
RDP,0.03,1.0,1.0,0.9064285714285716,12.69
BU,0.03,0.93,0.8429084380610413,0.7421428571428571,10.39
VC,0.03,1.0,1.0,0.9057142857142858,12.68
OS,0.04,0.71,0.3584070796460177,0.0764285714285714,1.07
RDP,0.04,1.0,1.0,0.88,12.32
BU,0.04,0.93,0.8451327433628318,0.6621428571428569,9.27
VC,0.04,1.0,1.0,0.8814285714285716,12.34
OS,0.05,0.71,0.3673647469458988,0.07785714285714283,1.09
RDP,0.05,0.99,0.9775583482944344,0.8507142857142856,11.91
BU,0.05,0.88,0.7363796133567663,0.6064285714285713,8.49
VC,0.05,1.0,1.0,0.8521428571428571,11.93
OS,0.06,0.74,0.4444444444444444,0.08285714285714282,1.16
RDP,0.06,0.98,0.9554367201426025,0.8235714285714285,11.53
BU,0.06,0.86,0.7008547008547008,0.5435714285714286,7.61
VC,0.06,1.0,1.0,0.8321428571428571,11.65
OS,0.07,0.74,0.4519392917369308,0.08428571428571426,1.18
RDP,0.07,0.98,0.9560632688927944,0.7999999999999998,11.2
BU,0.07,0.84,0.6581196581196581,0.5035714285714286,7.05
VC,0.07,0.98,0.9554367201426025,0.8149999999999998,11.41
OS,0.08,0.77,0.49825479930191974,0.0921428571428571,1.29
RDP,0.08,0.98,0.9560632688927944,0.7714285714285712,10.8
BU,0.08,0.81,0.596774193548387,0.46857142857142847,6.56
VC,0.08,0.98,0.9554367201426025,0.7964285714285714,11.15
OS,0.09,0.8,0.5667244367417678,0.09928571428571425,1.39
RDP,0.09,0.97,0.9336283185840708,0.7521428571428571,10.53
BU,0.09,0.76,0.4871794871794871,0.437142857142857,6.12
VC,0.09,0.97,0.9336283185840708,0.7807142857142856,10.93
OS,0.1,0.83,0.6342512908777969,0.10785714285714282,1.51
RDP,0.1,0.96,0.9121265377855887,0.7207142857142856,10.09
BU,0.1,0.72,0.4097807757166947,0.4099999999999999,5.74
VC,0.1,0.98,0.9560632688927944,0.7599999999999999,10.64
OS,0.11,0.84,0.6581196581196581,0.11857142857142852,1.66
RDP,0.11,0.95,0.8893805309734514,0.7049999999999998,9.87
BU,0.11,0.72,0.4252873563218391,0.3814285714285714,5.34
VC,0.11,0.98,0.9560632688927944,0.7435714285714284,10.41
OS,0.12,0.84,0.6581196581196581,0.1285714285714285,1.8
RDP,0.12,0.94,0.8681898066783831,0.687857142857143,9.63
BU,0.12,0.67,0.3090452261306532,0.36,5.04
VC,0.12,0.96,0.910873440285205,0.7307142857142855,10.23
OS,0.13,0.84,0.6581196581196581,0.14714285714285708,2.06
RDP,0.13,0.94,0.8681898066783831,0.6678571428571428,9.35
BU,0.13,0.64,0.2512479201331115,0.33785714285714286,4.73
VC,0.13,0.96,0.910873440285205,0.7185714285714284,10.06
OS,0.14,0.81,0.602177554438861,0.1578571428571428,2.21
RDP,0.14,0.93,0.8472949389179756,0.6428571428571429,9.0
BU,0.14,0.62,0.2096505823627287,0.31500000000000006,4.41
VC,0.14,0.94,0.8663101604278075,0.6978571428571426,9.77
