Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,34,0.11587407903549907,0.07142857142857136,1.0
RDP,0.0,100,1.0,1.0,14.0
BU,0.0,100,1.0,1.0,14.0
BU,0.0,100,1.0,1.0,14.0
VW,0.0,100,1.0,1.0,14.0
OS,0.01,26,-0.017881705639614776,0.07142857142857136,1.0
RDP,0.01,100,1.0,0.9664285714285716,13.53
BU,0.01,100,1.0,0.9114285714285719,12.76
BU,0.01,100,1.0,0.9114285714285719,12.76
VW,0.01,100,1.0,0.9085714285714291,12.72
OS,0.02,26,-0.017881705639614776,0.07142857142857136,1.0
RDP,0.02,100,1.0,0.931428571428572,13.04
BU,0.02,98,0.9560439560439561,0.8228571428571432,11.52
BU,0.02,98,0.9560439560439561,0.8228571428571432,11.52
VW,0.02,99,0.9781659388646288,0.8414285714285716,11.78
OS,0.03,26,-0.017881705639614776,0.0728571428571428,1.02
RDP,0.03,100,1.0,0.9071428571428577,12.7
BU,0.03,97,0.9344978165938864,0.7378571428571431,10.33
BU,0.03,97,0.9344978165938864,0.7378571428571431,10.33
VW,0.03,100,1.0,0.7914285714285714,11.08
OS,0.04,25,-0.02249488752556239,0.0771428571428571,1.08
RDP,0.04,100,1.0,0.8807142857142864,12.33
BU,0.04,97,0.9336283185840708,0.6435714285714285,9.01
BU,0.04,97,0.9336283185840708,0.6435714285714285,9.01
VW,0.04,98,0.9560439560439561,0.7414285714285714,10.38
OS,0.05,23,-0.03148024112525105,0.07928571428571425,1.11
RDP,0.05,100,1.0,0.8571428571428575,12.0
BU,0.05,92,0.8264642082429501,0.5850000000000002,8.19
BU,0.05,92,0.8264642082429501,0.5850000000000002,8.19
VW,0.05,98,0.9560439560439561,0.6957142857142858,9.74
OS,0.06,23,-0.03148024112525105,0.0835714285714285,1.17
RDP,0.06,99,0.9781659388646288,0.8328571428571432,11.66
BU,0.06,93,0.8471615720524017,0.5350000000000001,7.49
BU,0.06,93,0.8471615720524017,0.5350000000000001,7.49
VW,0.06,98,0.9560439560439561,0.6550000000000001,9.17
OS,0.07,23,-0.03148024112525105,0.08714285714285708,1.22
RDP,0.07,100,1.0,0.8035714285714285,11.25
BU,0.07,91,0.8008849557522124,0.49428571428571416,6.92
BU,0.07,91,0.8008849557522124,0.49428571428571416,6.92
VW,0.07,97,0.9336283185840708,0.620714285714286,8.69
OS,0.08,27,-0.022408963585434094,0.09142857142857139,1.28
RDP,0.08,100,1.0,0.7771428571428568,10.88
BU,0.08,91,0.7982062780269058,0.46071428571428563,6.45
BU,0.08,91,0.7982062780269058,0.46071428571428563,6.45
VW,0.08,96,0.910913140311804,0.5942857142857148,8.32
OS,0.09,66,0.03682719546742197,0.09714285714285709,1.36
RDP,0.09,99,0.9781659388646288,0.7535714285714283,10.55
BU,0.09,88,0.732739420935412,0.4328571428571426,6.06
BU,0.09,88,0.732739420935412,0.4328571428571426,6.06
VW,0.09,96,0.910913140311804,0.570714285714286,7.99
OS,0.1,69,0.14364640883977908,0.10571428571428562,1.48
RDP,0.1,99,0.9781659388646288,0.7264285714285715,10.17
BU,0.1,87,0.7045454545454546,0.4071428571428569,5.7
BU,0.1,87,0.7045454545454546,0.4071428571428569,5.7
VW,0.1,96,0.9120879120879121,0.5407142857142858,7.57
OS,0.11,70,0.17808219178082196,0.1157142857142856,1.62
RDP,0.11,98,0.9560439560439561,0.7085714285714286,9.92
