Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.65,0.0,0.01449275362318841,1.0
RDP,0.0,1.0,1.0,0.87231884057971,60.19
BU,0.0,1.0,1.0,1.0144927536231882,70.0
VC,0.0,1.0,1.0,1.0,69.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.87,0.6875,0.19536231884057972,13.48
RDP,0.1,0.89,0.7393364928909953,0.2034782608695652,14.04
BU,0.1,0.69,0.14364640883977908,0.11260869565217395,7.77
VC,0.1,0.9,0.7647058823529411,0.33608695652173914,23.19
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.91,0.7897196261682242,0.29985507246376814,20.69
RDP,0.2,0.79,0.4642857142857143,0.11869565217391304,8.19
BU,0.2,0.65,0.0,0.07347826086956523,5.07
VC,0.2,0.88,0.7176470588235294,0.24681159420289855,17.03
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.95,0.8863636363636364,0.4001449275362319,27.61
RDP,0.30000000000000004,0.69,0.14364640883977908,0.07115942028985507,4.91
BU,0.30000000000000004,0.65,0.0,0.05594202898550726,3.86
VC,0.30000000000000004,0.85,0.6495327102803738,0.21449275362318843,14.8
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9778761061946902,0.5166666666666666,35.65
RDP,0.4,0.65,0.0,0.02492753623188406,1.72
BU,0.4,0.65,0.0,0.0427536231884058,2.95
VC,0.4,0.85,0.6445497630331753,0.19275362318840583,13.3
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.6242028985507246,43.07
RDP,0.5,0.65,0.0,0.01594202898550725,1.1
BU,0.5,0.65,0.0,0.03318840579710145,2.29
VC,0.5,0.87,0.6875,0.17811594202898548,12.29
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.7379710144927537,50.92
RDP,0.6000000000000001,0.65,0.0,0.014637681159420293,1.01
BU,0.6000000000000001,0.65,0.0,0.03130434782608696,2.16
VC,0.6000000000000001,0.8,0.49367088607594933,0.1643478260869565,11.34
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.7766666666666666,53.59
RDP,0.7000000000000001,0.65,0.0,0.01449275362318841,1.0
BU,0.7000000000000001,0.65,0.0,0.03000000000000001,2.07
VC,0.7000000000000001,0.76,0.3733681462140992,0.15304347826086956,10.56
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.7766666666666666,53.59
RDP,0.8,0.65,0.0,0.01449275362318841,1.0
BU,0.8,0.65,0.0,0.029275362318840585,2.02
VC,0.8,0.72,0.24528301886792436,0.1443478260869565,9.96
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7766666666666666,53.59
RDP,0.9,0.65,0.0,0.01449275362318841,1.0
BU,0.9,0.65,0.0,0.02898550724637682,2.0
VC,0.9,0.71,0.21195652173913038,0.13144927536231885,9.07
LSF,0.9,0.0,0.0,0.0,0.0
