Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,53,0.0,0.01449275362318841,1.0
RDP,0.0,100,1.0,0.8792753623188403,60.67
BU,0.0,100,1.0,1.0,69.0
BU,0.0,100,1.0,1.0,69.0
VW,0.0,100,1.0,1.0,69.0
OS,0.01,53,0.0,0.02304347826086958,1.59
RDP,0.01,100,1.0,0.7533333333333334,51.98
BU,0.01,97,0.9395648670427075,0.5494202898550729,37.91
BU,0.01,97,0.9395648670427075,0.5494202898550729,37.91
VW,0.01,100,1.0,0.5466666666666667,37.72
OS,0.02,54,0.022524436889077792,0.046666666666666703,3.22
RDP,0.02,98,0.9598554797270172,0.5644927536231884,38.95
BU,0.02,90,0.7973246858532631,0.4231884057971016,29.2
BU,0.02,90,0.7973246858532631,0.4231884057971016,29.2
VW,0.02,99,0.979903536977492,0.41391304347826086,28.56
OS,0.03,62,0.2006731173748424,0.07231884057971025,4.99
RDP,0.03,100,1.0,0.4540579710144928,31.33
BU,0.03,88,0.7556008146639511,0.3669565217391304,25.32
BU,0.03,88,0.7556008146639511,0.3669565217391304,25.32
VW,0.03,98,0.959758551307847,0.3502898550724638,24.17
OS,0.04,71,0.3968386023294509,0.09971014492753623,6.88
RDP,0.04,99,0.979903536977492,0.38101449275362304,26.29
BU,0.04,82,0.6306934755847353,0.32724637681159413,22.58
BU,0.04,82,0.6306934755847353,0.32724637681159413,22.58
VW,0.04,97,0.9395648670427075,0.30898550724637674,21.32
OS,0.05,77,0.5251857968620974,0.12289855072463766,8.48
RDP,0.05,99,0.979903536977492,0.3279710144927536,22.63
BU,0.05,75,0.48261589403973504,0.29855072463768095,20.6
BU,0.05,75,0.48261589403973504,0.29855072463768095,20.6
VW,0.05,95,0.8990306946688207,0.2807246376811593,19.37
OS,0.06,83,0.6516393442622951,0.14347826086956528,9.9
RDP,0.06,96,0.9193223073820089,0.2831884057971013,19.54
BU,0.06,72,0.41836310760282513,0.2762318840579708,19.06
