Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,70,0.0,0.015384615384615347,1.0
RDP,0.0,100,1.0,0.9150769230769222,59.48
BU,0.0,100,1.0,1.0153846153846178,66.0
VW,0.0,100,1.0,1.0,65.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,62,-0.14457831325301185,0.030769230769230695,2.0
RDP,0.01,100,1.0,0.7893846153846149,51.31
BU,0.01,100,1.0,0.31815384615384573,20.68
VW,0.01,100,1.0,0.8087692307692302,52.57
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,62,-0.14457831325301185,0.031384615384615316,2.04
RDP,0.02,99,0.9764150943396226,0.6270769230769232,40.76
BU,0.02,99,0.9759615384615384,0.2510769230769227,16.32
VW,0.02,99,0.9764150943396226,0.681230769230769,44.28
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,63,-0.128048780487805,0.040307692307692246,2.62
RDP,0.03,99,0.9764150943396226,0.5287692307692308,34.37
BU,0.03,91,0.765625,0.21938461538461496,14.26
VW,0.03,99,0.9764150943396226,0.6053846153846155,39.35
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,69,0.03125,0.08661538461538454,5.63
RDP,0.04,98,0.9523809523809523,0.45923076923076933,29.85
BU,0.04,85,0.5833333333333333,0.1969230769230766,12.8
VW,0.04,99,0.9764150943396226,0.5438461538461538,35.35
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,78,0.33734939759036153,0.1319999999999998,8.58
RDP,0.05,98,0.9514563106796117,0.40553846153846124,26.36
BU,0.05,82,0.48275862068965514,0.17923076923076894,11.65
VW,0.05,98,0.9523809523809523,0.5004615384615383,32.53
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,87,0.6467391304347826,0.15599999999999978,10.14
RDP,0.06,95,0.875,0.3626153846153843,23.57
BU,0.06,79,0.375,0.1675384615384613,10.89
VW,0.06,98,0.9523809523809523,0.46846153846153854,30.45
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,90,0.736842105263158,0.17307692307692282,11.25
RDP,0.07,95,0.875,0.3301538461538457,21.46
BU,0.07,76,0.2592592592592592,0.15892307692307672,10.33
VW,0.07,98,0.9514563106796117,0.4453846153846151,28.95
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,91,0.765625,0.184307692307692,11.98
RDP,0.08,96,0.900990099009901,0.30015384615384577,19.51
BU,0.08,72,0.11392405063291144,0.15153846153846134,9.85
VW,0.08,98,0.9514563106796117,0.4193846153846152,27.26
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,91,0.765625,0.19830769230769196,12.89
RDP,0.09,92,0.7938144329896907,0.27384615384615346,17.8
BU,0.09,74,0.17721518987341778,0.1435384615384614,9.33
VW,0.09,98,0.9514563106796117,0.40261538461538426,26.17
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,92,0.7938144329896907,0.21230769230769195,13.8
RDP,0.1,92,0.7938144329896907,0.25307692307692276,16.45
BU,0.1,73,0.1346153846153847,0.13661538461538444,8.88
