Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.47,-0.04166666666666674,0.015625,1.0
RDP,0.0,1.0,1.0,0.9215625,58.98
BU,0.0,1.0,1.0,1.015625,65.0
VC,0.0,1.0,1.0,1.0,64.0
LSF,0.0,0.46,0.0,0.015625,1.0
OS,0.1,0.95,0.8998397435897436,0.19828125,12.69
RDP,0.1,0.97,0.9397106109324759,0.23140625,14.81
BU,0.1,0.88,0.7607655502392344,0.12734375,8.15
VC,0.1,0.97,0.9399038461538461,0.36453125,23.33
LSF,0.1,0.8,0.6062992125984252,0.09375,6.0
OS,0.2,0.99,0.979903536977492,0.3240625,20.74
RDP,0.2,0.93,0.859775641025641,0.1475,9.44
BU,0.2,0.69,0.39641744548286606,0.0784375,5.02
VC,0.2,0.93,0.860223642172524,0.2778125,17.78
LSF,0.2,1.0,1.0,0.203125,13.0
OS,0.30000000000000004,0.99,0.979903536977492,0.4309375,27.58
RDP,0.30000000000000004,0.75,0.5086477987421383,0.08984375,5.75
BU,0.30000000000000004,0.46,-0.02427921092564489,0.04515625,2.89
VC,0.30000000000000004,0.9,0.8012718600953895,0.23640625,15.13
LSF,0.30000000000000004,1.0,1.0,0.3125,20.0
OS,0.4,0.99,0.979903536977492,0.54671875,34.99
RDP,0.4,0.48,0.0284005979073243,0.0275,1.76
BU,0.4,0.47,0.017062314540059353,0.0334375,2.14
VC,0.4,0.88,0.7622820919175911,0.208125,13.32
LSF,0.4,1.0,1.0,0.40625,26.0
OS,0.5,1.0,1.0,0.63,40.32
RDP,0.5,0.46,0.0,0.0165625,1.06
BU,0.5,0.46,0.0,0.0315625,2.02
VC,0.5,0.88,0.7622820919175911,0.19109375,12.23
LSF,0.5,1.0,1.0,0.5,32.0
OS,0.6000000000000001,1.0,1.0,0.76390625,48.89
RDP,0.6000000000000001,0.46,0.0,0.015625,1.0
BU,0.6000000000000001,0.46,0.0,0.03125,2.0
VC,0.6000000000000001,0.86,0.7217806041335453,0.178125,11.4
LSF,0.6000000000000001,1.0,1.0,0.49953125,31.97
OS,0.7000000000000001,1.0,1.0,0.8184375,52.38
RDP,0.7000000000000001,0.46,0.0,0.015625,1.0
BU,0.7000000000000001,0.46,0.0,0.03125,2.0
VC,0.7000000000000001,0.83,0.6605431309904153,0.165,10.56
LSF,0.7000000000000001,1.0,1.0,0.49953125,31.97
OS,0.8,1.0,1.0,0.82265625,52.65
RDP,0.8,0.46,0.0,0.015625,1.0
BU,0.8,0.46,0.0,0.03125,2.0
VC,0.8,0.82,0.64,0.15390625,9.85
LSF,0.8,1.0,1.0,0.49953125,31.97
OS,0.9,1.0,1.0,0.82265625,52.65
RDP,0.9,0.46,0.0,0.015625,1.0
BU,0.9,0.46,0.0,0.03125,2.0
VC,0.9,0.84,0.6799999999999999,0.14859375,9.51
LSF,0.9,1.0,1.0,0.49953125,31.97
