Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
OS,0.0,0.542016806722689,-0.026491245424868914,0.015625
RDP,0.0,1.0,1.0,0.913734243697479
BU,0.0,1.0,1.0,1.0
VC,0.0,1.0,1.0,1.0
OS,0.01,0.6197478991596639,0.0,0.015739889705882353
RDP,0.01,1.0,1.0,0.7912454044117647
BU,0.01,0.9957983193277311,0.9910757808691739,0.5960477941176471
VC,0.01,1.0,1.0,0.8120404411764706
OS,0.02,0.6218487394957983,0.006838993856497222,0.016494879201680673
RDP,0.02,0.9978991596638656,0.995537890434587,0.6187303046218487
BU,0.02,0.9915966386554622,0.982151561738348,0.46346507352941174
VC,0.02,0.9989495798319328,0.997770136696242,0.6724494485294118
OS,0.03,0.6953781512605042,0.23532018612896088,0.02658876050420168
RDP,0.03,0.9968487394957983,0.9933175475212219,0.5148371848739496
BU,0.03,0.9894957983193278,0.977665584354648,0.3977481617647059
VC,0.03,0.9968487394957983,0.9933032573931475,0.5982635241596639
OS,0.04,0.8644957983193278,0.6933510452352654,0.0722984506302521
RDP,0.04,0.9978991596638656,0.9955474070193818,0.44135701155462187
BU,0.04,0.9800420168067226,0.9575418994413408,0.3534171481092437
VC,0.04,0.9936974789915967,0.9866136713037609,0.5347295168067226
OS,0.05,0.9495798319327731,0.8915182132411593,0.11720391281512606
RDP,0.05,0.9957983193277311,0.9910948140387638,0.3876378676470588
BU,0.05,0.9758403361344538,0.9485482794597287,0.31863839285714285
VC,0.05,0.990546218487395,0.9799526425636658,0.48842896533613445
OS,0.06,0.9758403361344538,0.948658306680798,0.13877035189075632
RDP,0.06,0.9936974789915967,0.9866422210581456,0.3458344275210084
BU,0.06,0.9747899159663865,0.9462824684484736,0.2941504726890756
VC,0.06,0.9947478991596639,0.9888625792020366,0.4545200892857143
OS,0.07,0.9831932773109243,0.9643031234766958,0.15560990021008403
RDP,0.07,0.9947478991596639,0.9888744495657296,0.31126903886554624
BU,0.07,0.9737394957983193,0.944074216804053,0.2757352941176471
VC,0.07,0.9926470588235294,0.9844242293920213,0.42674960609243695
OS,0.08,0.9831932773109243,0.9642649349674368,0.16995470063025211
RDP,0.08,0.990546218487395,0.9799312302661782,0.28106945903361347
BU,0.08,0.9747899159663865,0.9462824684484736,0.2608488707983193
VC,0.08,0.9947478991596639,0.9888744495657296,0.40528164390756305
OS,0.09,0.9842436974789915,0.9665162869657378,0.18310136554621848
RDP,0.09,0.9894957983193278,0.9777370350969093,0.25643382352941174
BU,0.09,0.9695378151260504,0.9349168780469406,0.2466189600840336
VC,0.09,0.9936974789915967,0.9866564503167692,0.38583245798319327
OS,0.1,0.9852941176470589,0.9687318180965072,0.1967404149159664
RDP,0.1,0.9894957983193278,0.9776894521729349,0.23506433823529413
BU,0.1,0.9527310924369747,0.8987913552130484,0.23375131302521007
VC,0.1,0.9926470588235294,0.9844242293920213,0.36932116596638653
OS,0.11,0.9842436974789915,0.9664804469273743,0.21001838235294118
RDP,0.11,0.9873949579831933,0.9731412342242368,0.21840533088235295
BU,0.11,0.9485294117647058,0.8899136262802663,0.2221310399159664
VC,0.11,0.9947478991596639,0.9888625792020366,0.35645351890756305
OS,0.12,0.9852941176470589,0.9687318180965072,0.22410057773109243
RDP,0.12,0.9821428571428571,0.9620111731843576,0.2031906512605042
BU,0.12,0.9348739495798319,0.8598776921031641,0.21024816176470587
VC,0.12,0.9936974789915967,0.9866279614196086,0.34347098214285715
OS,0.13,0.9884453781512605,0.9754452771082077,0.23793658088235295
RDP,0.13,0.9810924369747899,0.959754997745378,0.19124212184873948
BU,0.13,0.9254201680672269,0.8389270701274438,0.1994157037815126
VC,0.13,0.9936974789915967,0.9866279614196086,0.3318671218487395
OS,0.14,0.9915966386554622,0.9821706152261448,0.25144432773109243
RDP,0.14,0.9779411764705882,0.9531728706210825,0.18219866071428573
BU,0.14,0.9117647058823529,0.8087073007367716,0.18900997899159663
VC,0.14,0.9936974789915967,0.9866279614196086,0.32244616596638653
OS,0.15,0.9915966386554622,0.9821706152261448,0.26386882878151263
RDP,0.15,0.9789915966386554,0.9554740701938188,0.17410714285714285
BU,0.15,0.9096638655462185,0.8032944432698407,0.179359243697479
VC,0.15,0.9926470588235294,0.9843909568736942,0.31330422794117646
OS,0.16,0.9915966386554622,0.9821896280775275,0.27727809873949577
RDP,0.16,0.9758403361344538,0.9487678643293682,0.16721376050420167
BU,0.16,0.8949579831932774,0.7700127555950678,0.17023371848739496
VC,0.16,0.9926470588235294,0.9843909568736942,0.3054753151260504
OS,0.17,0.9936974789915967,0.9866422210581456,0.28939075630252103
RDP,0.17,0.9779411764705882,0.9531728706210825,0.16097689075630253
BU,0.17,0.8813025210084033,0.738530192403045,0.16173188025210083
VC,0.17,0.9926470588235294,0.9843909568736942,0.29810596113445376
OS,0.18,0.9947478991596639,0.9888625792020366,0.30184808298319327
RDP,0.18,0.976890756302521,0.9509691918718981,0.15633206407563024
BU,0.18,0.8571428571428571,0.6844362984050227,0.15411633403361344
VC,0.18,0.9926470588235294,0.9843909568736942,0.2913602941176471
OS,0.19,0.9947478991596639,0.9888625792020366,0.31268054096638653
RDP,0.19,0.976890756302521,0.9509167947804567,0.15149028361344538
BU,0.19,0.8434873949579832,0.6529220048349368,0.14623818277310924
VC,0.19,0.990546218487395,0.9799312302661782,0.2853203781512605
OS,0.2,0.9947478991596639,0.9888625792020366,0.3239233193277311
RDP,0.2,0.9747899159663865,0.9463399969938373,0.14702599789915966
BU,0.2,0.8277310924369747,0.6181942678274479,0.13852415966386555
VC,0.2,0.990546218487395,0.9799526425636658,0.2791327468487395
OS,0.21,0.9968487394957983,0.9933104100887261,0.3347229516806723
RDP,0.21,0.9716386554621849,0.9396001541483772,0.14229910714285715
BU,0.21,0.8025210084033614,0.5583805444244854,0.13120404411764705
VC,0.21,0.9915966386554622,0.9821706152261448,0.2734703256302521
OS,0.22,0.9978991596638656,0.9955426538065362,0.3458016018907563
RDP,0.22,0.9653361344537815,0.9260194229628025,0.13794971113445378
BU,0.22,0.7857142857142857,0.5197151053516669,0.12398240546218488
VC,0.22,0.990546218487395,0.9799312302661782,0.26828387605042014
OS,0.23,0.9978991596638656,0.9955426538065362,0.3559447216386555
RDP,0.23,0.9600840336134454,0.9145809327716806,0.1332064075630252
BU,0.23,0.7573529411764706,0.45088442983989363,0.11607142857142858
VC,0.23,0.990546218487395,0.9799526425636658,0.26372111344537813
OS,0.24,0.9968487394957983,0.9933104100887261,0.3660221901260504
RDP,0.24,0.9569327731092437,0.9076882325673796,0.12856158088235295
BU,0.24,0.7447478991596639,0.4203790376732579,0.1093093487394958
VC,0.24,0.9884453781512605,0.9754976742444804,0.25851825105042014
OS,0.25,0.9968487394957983,0.9933104100887261,0.3770844275210084
RDP,0.25,0.9558823529411765,0.9051810817476428,0.12316176470588236
BU,0.25,0.7226890756302521,0.3648457401641664,0.10320378151260504
VC,0.25,0.9873949579831933,0.9732559228392171,0.25461200105042014
OS,0.26,0.9968487394957983,0.9933104100887261,0.3883107930672269
RDP,0.26,0.9516806722689075,0.8960382876894443,0.11779477415966387
BU,0.26,0.7111344537815126,0.3310575321184369,0.09663865546218488
VC,0.26,0.9884453781512605,0.9754715036586623,0.25032825630252103
OS,0.27,0.9957983193277311,0.9910853076130723,0.39802717962184875
RDP,0.27,0.9485294117647058,0.8889576568942041,0.11295299369747899
BU,0.27,0.7058823529411765,0.3120819225369559,0.0900735294117647
VC,0.27,0.9884453781512605,0.9754715036586623,0.24637276785714285
OS,0.28,0.9968487394957983,0.9933104100887261,0.40984440651260506
RDP,0.28,0.9411764705882353,0.8728874985694122,0.10737263655462184
BU,0.28,0.7027310924369747,0.2985200537404835,0.08354122899159663
VC,0.28,0.9884453781512605,0.9754715036586623,0.24263064600840337
OS,0.29,0.9968487394957983,0.9933104100887261,0.4209230567226891
RDP,0.29,0.9317226890756303,0.8518951107196538,0.0998063287815126
BU,0.29,0.6838235294117647,0.2467483307922821,0.0780265231092437
VC,0.29,0.9873949579831933,0.9732559228392171,0.2383469012605042
OS,0.3,0.9978991596638656,0.9955426538065362,0.43188681722689076
RDP,0.3,0.9138655462184874,0.8114104595879557,0.09220719537815127
BU,0.3,0.6701680672268907,0.20612730517549072,0.07316832983193278
VC,0.3,0.9863445378151261,0.9710117770511463,0.23445706407563024
OS,0.31,0.9978991596638656,0.9955426538065362,0.4418822216386555
