Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.007874015748031484,1.0
RDP,0.0,100,1.0,0.9999212598425197,126.99
BU,0.0,100,1.0,1.0,127.0
BU,0.0,100,1.0,1.0,127.0
VW,0.0,100,1.0,1.0,127.0
OS,0.01,91,0.14448669201520914,0.043779527559055065,5.56
RDP,0.01,100,1.0,0.33929133858267724,43.09
BU,0.01,97,0.8071979434447301,0.28251968503937047,35.88
BU,0.01,97,0.8071979434447301,0.28251968503937047,35.88
VW,0.01,99,0.9279538904899135,0.2794488188976378,35.49
OS,0.02,94,0.4718309859154929,0.06149606299212591,7.81
RDP,0.02,97,0.7838616714697406,0.20472440944881887,26.0
BU,0.02,96,0.6932515337423313,0.21952755905511837,27.88
BU,0.02,96,0.6932515337423313,0.21952755905511837,27.88
VW,0.02,97,0.7838616714697406,0.2015748031496063,25.6
OS,0.03,94,0.5398773006134969,0.07291338582677157,9.26
RDP,0.03,97,0.7540983606557377,0.14929133858267699,18.96
BU,0.03,96,0.6932515337423313,0.19086614173228353,24.24
BU,0.03,96,0.6932515337423313,0.19086614173228353,24.24
VW,0.03,96,0.6932515337423313,0.16716535433070848,21.23
OS,0.04,95,0.6397694524495677,0.08291338582677156,10.53
RDP,0.04,96,0.6932515337423313,0.11999999999999987,15.24
BU,0.04,95,0.5901639344262295,0.174015748031496,22.1
BU,0.04,95,0.5901639344262295,0.174015748031496,22.1
VW,0.04,98,0.8466257668711656,0.14850393700787384,18.86
OS,0.05,94,0.5923913043478262,0.09141732283464556,11.61
RDP,0.05,94,0.4718309859154929,0.10370078740157469,13.17
BU,0.05,94,0.3801652892561983,0.15921259842519667,20.22
BU,0.05,94,0.3801652892561983,0.15921259842519667,20.22
VW,0.05,98,0.8466257668711656,0.13582677165354315,17.25
OS,0.06,94,0.5923913043478262,0.09866141732283454,12.53
RDP,0.06,93,0.33460076045627374,0.09433070866141721,11.98
BU,0.06,92,0.17355371900826444,0.14960629921259824,19.0
BU,0.06,92,0.17355371900826444,0.14960629921259824,19.0
VW,0.06,98,0.8466257668711656,0.12732283464566915,16.17
OS,0.07,94,0.5923913043478262,0.10464566929133845,13.29
RDP,0.07,95,0.5901639344262295,0.08708661417322824,11.06
BU,0.07,91,0.14448669201520914,0.1418897637795274,18.02
BU,0.07,91,0.14448669201520914,0.1418897637795274,18.02
VW,0.07,98,0.8466257668711656,0.11960629921259829,15.19
OS,0.08,95,0.6397694524495677,0.11133858267716523,14.14
RDP,0.08,95,0.5901639344262295,0.08118110236220463,10.31
BU,0.08,90,0.11971830985915488,0.13433070866141716,17.06
BU,0.08,90,0.11971830985915488,0.13433070866141716,17.06
VW,0.08,95,0.6786632390745502,0.11409448818897625,14.49
OS,0.09,96,0.7282608695652174,0.11629921259842506,14.77
RDP,0.09,94,0.4718309859154929,0.0757480314960629,9.62
BU,0.09,92,0.38650306748466257,0.1297637795275589,16.48
BU,0.09,92,0.38650306748466257,0.1297637795275589,16.48
VW,0.09,96,0.7282608695652174,0.11007874015748019,13.98
OS,0.1,97,0.8071979434447301,0.1217322834645668,15.46
RDP,0.1,94,0.4718309859154929,0.07251968503937,9.21
BU,0.1,92,0.38650306748466257,0.12346456692913373,15.68
BU,0.1,92,0.38650306748466257,0.12346456692913373,15.68
VW,0.1,96,0.7282608695652174,0.10519685039370065,13.36
OS,0.11,97,0.8071979434447301,0.12685039370078727,16.11
RDP,0.11,94,0.4718309859154929,0.06740157480314952,8.56
BU,0.11,91,0.2622950819672131,0.1181102362204723,15.0
BU,0.11,91,0.2622950819672131,0.1181102362204723,15.0
VW,0.11,95,0.6397694524495677,0.10149606299212588,12.89
OS,0.12,97,0.8071979434447301,0.132283464566929,16.8
RDP,0.12,94,0.4718309859154929,0.06259842519685033,7.95
BU,0.12,91,0.2622950819672131,0.11417322834645655,14.5
BU,0.12,91,0.2622950819672131,0.11417322834645655,14.5
VW,0.12,96,0.6932515337423313,0.0984251968503936,12.5
OS,0.13,97,0.8071979434447301,0.1375590551181101,17.47
RDP,0.13,94,0.4718309859154929,0.05937007874015743,7.54
BU,0.13,92,0.2957746478873239,0.11039370078740143,14.02
BU,0.13,92,0.2957746478873239,0.11039370078740143,14.02
VW,0.13,96,0.6932515337423313,0.0957480314960629,12.16
OS,0.14,97,0.8071979434447301,0.14275590551181086,18.13
RDP,0.14,94,0.4718309859154929,0.0570866141732283,7.25
BU,0.14,92,0.38650306748466257,0.10740157480314946,13.64
BU,0.14,92,0.38650306748466257,0.10740157480314946,13.64
VW,0.14,96,0.6932515337423313,0.09299212598425186,11.81
OS,0.15,97,0.8071979434447301,0.14661417322834627,18.62
RDP,0.15,93,0.33460076045627374,0.05385826771653538,6.84
BU,0.15,93,0.42622950819672123,0.10440944881889751,13.26
BU,0.15,93,0.42622950819672123,0.10440944881889751,13.26
VW,0.15,96,0.6932515337423313,0.09094488188976367,11.55
OS,0.16,97,0.8071979434447301,0.15062992125984231,19.13
RDP,0.16,91,-0.018099547511312153,0.05141732283464561,6.53
BU,0.16,93,0.42622950819672123,0.10015748031496051,12.72
BU,0.16,93,0.42622950819672123,0.10015748031496051,12.72
VW,0.16,96,0.6932515337423313,0.08905511811023611,11.31
OS,0.17,97,0.8071979434447301,0.15543307086614153,19.74
RDP,0.17,92,0.0,0.04937007874015742,6.27
BU,0.17,93,0.42622950819672123,0.09732283464566917,12.36
BU,0.17,93,0.42622950819672123,0.09732283464566917,12.36
VW,0.17,97,0.7540983606557377,0.08645669291338573,10.98
OS,0.18,96,0.7282608695652174,0.15929133858267697,20.23
RDP,0.18,91,-0.018099547511312153,0.04740157480314955,6.02
BU,0.18,93,0.42622950819672123,0.09496062992125973,12.06
BU,0.18,93,0.42622950819672123,0.09496062992125973,12.06
VW,0.18,97,0.7540983606557377,0.0847244094488188,10.76
OS,0.19,96,0.7282608695652174,0.1645669291338581,20.9
RDP,0.19,91,-0.018099547511312153,0.045196850393700735,5.74
BU,0.19,93,0.42622950819672123,0.09307086614173217,11.82
BU,0.19,93,0.42622950819672123,0.09307086614173217,11.82
VW,0.19,96,0.6932515337423313,0.08354330708661407,10.61
OS,0.2,96,0.7282608695652174,0.1692125984251967,21.49
RDP,0.2,91,-0.018099547511312153,0.04425196850393696,5.62
BU,0.2,93,0.42622950819672123,0.09070866141732271,11.52
BU,0.2,93,0.42622950819672123,0.09070866141732271,11.52
VW,0.2,96,0.6932515337423313,0.08220472440944873,10.44
OS,0.21,96,0.7282608695652174,0.17448818897637783,22.16
RDP,0.21,91,-0.018099547511312153,0.04228346456692908,5.37
BU,0.21,93,0.33460076045627374,0.08866141732283453,11.26
BU,0.21,93,0.33460076045627374,0.08866141732283453,11.26
VW,0.21,97,0.7838616714697406,0.08078740157480306,10.26
OS,0.22,96,0.7282608695652174,0.1792125984251967,22.76
RDP,0.22,90,-0.03305785123966953,0.04149606299212593,5.27
