Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,53,0.06000000000000005,0.016666666666666656,1.0
RDP,0.0,100,1.0,1.0,60.0
BU,0.0,100,1.0,1.016666666666666,61.0
VW,0.0,100,1.0,1.0,60.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,40,-0.19999999999999996,0.027833333333333325,1.67
RDP,0.01,100,1.0,1.0,60.0
BU,0.01,100,1.0,0.5768333333333342,34.61
VW,0.01,100,1.0,1.0,60.0
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,28,-0.43999999999999995,0.03166666666666665,1.9
RDP,0.02,100,1.0,1.0,60.0
BU,0.02,100,1.0,0.5766666666666675,34.6
VW,0.02,100,1.0,1.0,60.0
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,27,-0.45999999999999996,0.035333333333333314,2.12
RDP,0.03,100,1.0,1.0,60.0
BU,0.03,100,1.0,0.576333333333334,34.58
VW,0.03,100,1.0,1.0,60.0
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,39,-0.21999999999999997,0.11133333333333326,6.68
RDP,0.04,100,1.0,0.9996666666666667,59.98
BU,0.04,100,1.0,0.5741666666666674,34.45
VW,0.04,100,1.0,0.9998333333333334,59.99
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,83,0.6599999999999999,0.7556666666666668,45.34
RDP,0.05,100,1.0,0.9996666666666667,59.98
BU,0.05,96,0.92,0.5603333333333337,33.62
VW,0.05,100,1.0,0.9996666666666667,59.98
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,97,0.94,0.9428333333333334,56.57
RDP,0.06,100,1.0,0.9995,59.97
BU,0.06,86,0.72,0.5221666666666667,31.33
VW,0.06,100,1.0,0.9995,59.97
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,100,1.0,0.9938333333333333,59.63
RDP,0.07,100,1.0,0.9993333333333334,59.96
BU,0.07,83,0.6599999999999999,0.46766666666666656,28.06
VW,0.07,100,1.0,0.9995,59.97
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,100,1.0,0.9975000000000002,59.85
RDP,0.08,100,1.0,0.9993333333333334,59.96
BU,0.08,79,0.5800000000000001,0.419,25.14
