Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,4,0.0,0.024999999999999953,1.0
RDP,0.0,100,1.0,1.0,40.0
BU,0.0,100,1.0,1.0250000000000015,41.0
VW,0.0,100,1.0,1.0,40.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,9,0.00010987803538076157,0.052249999999999915,2.09
RDP,0.01,100,1.0,0.9849999999999994,39.4
BU,0.01,100,1.0,0.53475,21.39
VW,0.01,100,1.0,0.9854999999999996,39.42
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,9,-0.009092925260590023,0.05999999999999995,2.4
RDP,0.02,100,1.0,0.9639999999999996,38.56
BU,0.02,100,1.0,0.47900000000000015,19.16
VW,0.02,100,1.0,0.9655,38.62
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,12,0.024065653765110384,0.07574999999999997,3.03
RDP,0.03,100,1.0,0.9484999999999997,37.94
BU,0.03,100,1.0,0.43724999999999986,17.49
VW,0.03,100,1.0,0.9497499999999998,37.99
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,15,0.05492550589281742,0.1005,4.02
RDP,0.04,100,1.0,0.9282499999999995,37.13
BU,0.04,100,1.0,0.3987499999999999,15.95
VW,0.04,100,1.0,0.9317499999999993,37.27
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,18,0.08858508391686115,0.14274999999999996,5.71
RDP,0.05,100,1.0,0.9125000000000001,36.5
BU,0.05,97,0.9670112161864965,0.3682500000000001,14.73
VW,0.05,100,1.0,0.9157500000000001,36.63
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,25,0.16536835076786094,0.21249999999999997,8.5
RDP,0.06,100,1.0,0.8947499999999998,35.79
BU,0.06,91,0.9008919722497523,0.34150000000000014,13.66
VW,0.06,100,1.0,0.9007499999999999,36.03
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,38,0.3134758055586314,0.2905,11.62
RDP,0.07,100,1.0,0.8757499999999999,35.03
BU,0.07,80,0.778614124418862,0.31725,12.69
VW,0.07,100,1.0,0.883,35.32
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,62,0.5788540396763826,0.3844999999999999,15.38
RDP,0.08,100,1.0,0.857,34.28
BU,0.08,70,0.6677372909513789,0.3022499999999999,12.09
VW,0.08,100,1.0,0.8682499999999999,34.73
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,78,0.7561516293504766,0.4544999999999999,18.18
RDP,0.09,100,1.0,0.8400000000000002,33.6
BU,0.09,60,0.555506167351928,0.28224999999999995,11.29
VW,0.09,100,1.0,0.857,34.28
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,89,0.8785335689045937,0.5145000000000001,20.58
RDP,0.1,100,1.0,0.8252499999999999,33.01
BU,0.1,46,0.39799331103678937,0.2657499999999999,10.63
VW,0.1,100,1.0,0.8442500000000002,33.77
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,95,0.9450005499945,0.567,22.68
RDP,0.11,100,1.0,0.8109999999999999,32.44
BU,0.11,31,0.22930861163855687,0.2507499999999999,10.03
VW,0.11,100,1.0,0.8327500000000001,33.31
