model_type,train_acc,val_acc,test_acc
cnn,0.9653000235557556,0.9745000004768372,1.0
cnn,0.9298999905586244,0.9394999742507936,1.0
cnn,0.9352999925613404,0.9451000094413756,1.0
cnn,0.9358000159263612,0.9449999928474426,1.0
cnn,0.9373999834060668,0.9333999752998352,1.0
cnn,0.9605000019073486,0.9689000248908995,1.0
cnn,0.948300004005432,0.9573000073432922,1.0
cnn,0.945800006389618,0.9541000127792358,1.0
cnn,0.9513000249862672,0.96069997549057,1.0
cnn,0.9506000280380248,0.958899974822998,1.0
cnn,0.9527999758720398,0.9610999822616576,1.0
cnn,0.9449999928474426,0.9544000029563904,1.0
cnn,0.9280999898910522,0.9373999834060668,1.0
cnn,0.8885999917984009,0.8978999853134155,1.0
