Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,54,0.0,0.016666666666666656,1.0
RDP,0.0,100,1.0,1.0,60.0
BU,0.0,100,1.0,1.016666666666666,61.0
VW,0.0,100,1.0,1.0,60.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,65,0.2988782051282052,0.03449999999999998,2.07
RDP,0.01,100,1.0,0.9411666666666675,56.47
BU,0.01,99,0.979903536977492,0.4483333333333331,26.9
VW,0.01,100,1.0,0.9428333333333339,56.57
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,73,0.4556451612903226,0.04566666666666665,2.74
RDP,0.02,100,1.0,0.8885000000000001,53.31
BU,0.02,95,0.8995176848874598,0.3515000000000002,21.09
VW,0.02,100,1.0,0.8920000000000003,53.52
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,84,0.6799999999999999,0.07333333333333329,4.4
RDP,0.03,100,1.0,0.8384999999999997,50.31
BU,0.03,97,0.9399038461538461,0.29183333333333333,17.51
VW,0.03,100,1.0,0.8498333333333329,50.99
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,86,0.72,0.08433333333333329,5.06
RDP,0.04,100,1.0,0.7915000000000001,47.49
BU,0.04,97,0.9399038461538461,0.25500000000000006,15.3
VW,0.04,100,1.0,0.8128333333333331,48.77
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,88,0.7592295345104334,0.09683333333333334,5.81
RDP,0.05,100,1.0,0.7425000000000004,44.55
BU,0.05,94,0.8792270531400966,0.22349999999999995,13.41
VW,0.05,98,0.9598715890850722,0.7725000000000002,46.35
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,89,0.7796474358974359,0.11649999999999999,6.99
RDP,0.06,100,1.0,0.6928333333333333,41.57
BU,0.06,94,0.8792270531400966,0.20199999999999987,12.12
VW,0.06,99,0.979903536977492,0.735,44.1
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,92,0.84,0.14350000000000004,8.61
RDP,0.07,100,1.0,0.6515,39.09
BU,0.07,90,0.7974068071312804,0.18666666666666662,11.2
VW,0.07,99,0.979903536977492,0.7066666666666669,42.4
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,93,0.860223642172524,0.1678333333333334,10.07
RDP,0.08,99,0.979903536977492,0.6168333333333333,37.01
BU,0.08,90,0.7974068071312804,0.17316666666666664,10.39
VW,0.08,99,0.979903536977492,0.6798333333333332,40.79
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,94,0.88,0.1991666666666667,11.95
RDP,0.09,97,0.9397106109324759,0.5760000000000001,34.56
BU,0.09,90,0.7974068071312804,0.16283333333333336,9.77
VW,0.09,97,0.9397106109324759,0.6551666666666666,39.31
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,96,0.92,0.22983333333333328,13.79
RDP,0.1,98,0.9598715890850722,0.5318333333333333,31.91
BU,0.1,88,0.7560975609756098,0.15233333333333332,9.14
VW,0.1,98,0.9598715890850722,0.6343333333333335,38.06
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,96,0.92,0.26716666666666666,16.03
RDP,0.11,97,0.9397106109324759,0.4969999999999999,29.82
BU,0.11,88,0.7560975609756098,0.14466666666666667,8.68
VW,0.11,98,0.9598715890850722,0.6118333333333336,36.71
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,96,0.92,0.30200000000000005,18.12
RDP,0.12,98,0.9597423510466989,0.4646666666666664,27.88
BU,0.12,87,0.7353420195439739,0.13849999999999998,8.31
VW,0.12,98,0.9598715890850722,0.5901666666666668,35.41
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,97,0.9399038461538461,0.3358333333333334,20.15
RDP,0.13,98,0.9597423510466989,0.4274999999999999,25.65
BU,0.13,87,0.7353420195439739,0.13166666666666665,7.9
