Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.79,0.0,0.01694915254237288,1.0
RDP,0.0,1.0,1.0,1.0,59.0
BU,0.0,1.0,1.0,1.0169491525423728,60.0
VC,0.0,1.0,1.0,1.0,59.0
LSF,0.0,0.45,0.07219973009446701,0.01694915254237288,1.0
OS,0.1,0.92,0.7817785051827605,0.34728813559322036,20.49
RDP,0.1,0.98,0.9397227245328511,0.5577966101694916,32.91
BU,0.1,0.83,0.5435016111707841,0.1794915254237288,10.59
VC,0.1,0.97,0.9111374407582938,0.6437288135593221,37.98
LSF,0.1,0.71,0.2878192534381139,0.10169491525423725,6.0
OS,0.2,0.99,0.9693251533742331,0.6028813559322033,35.57
RDP,0.2,0.92,0.7817785051827605,0.35084745762711866,20.7
BU,0.2,0.72,0.32203389830508466,0.12372881355932203,7.3
VC,0.2,0.97,0.9140893470790378,0.4864406779661017,28.7
LSF,0.2,0.93,0.8120300751879699,0.2033898305084745,12.0
OS,0.30000000000000004,1.0,1.0,0.7601694915254238,44.85
RDP,0.30000000000000004,0.89,0.7046186895810956,0.2596610169491526,15.32
BU,0.30000000000000004,0.73,0.27497314715359833,0.08610169491525425,5.08
VC,0.30000000000000004,0.93,0.8120300751879699,0.40440677966101696,23.86
LSF,0.30000000000000004,0.95,0.8568155784650631,0.30508474576271194,18.0
OS,0.4,1.0,1.0,0.8472881355932202,49.99
RDP,0.4,0.72,0.32203389830508466,0.16220338983050847,9.57
BU,0.4,0.68,0.06814210832848,0.06576271186440678,3.88
VC,0.4,0.93,0.8120300751879699,0.3432203389830508,20.25
LSF,0.4,0.98,0.9375390381011868,0.406779661016949,24.0
OS,0.5,1.0,1.0,0.8989830508474576,53.04
RDP,0.5,0.48,0.0776871230932954,0.04898305084745761,2.89
BU,0.5,0.67,0.1138560687432868,0.05491525423728812,3.24
VC,0.5,0.88,0.65055329062318,0.2949152542372881,17.4
LSF,0.5,1.0,1.0,0.5084745762711864,30.0
OS,0.6000000000000001,1.0,1.0,0.9332203389830507,55.06
RDP,0.6000000000000001,0.42,0.031072502505846922,0.01915254237288136,1.13
BU,0.6000000000000001,0.62,0.025141097998973794,0.04627118644067796,2.73
VC,0.6000000000000001,0.89,0.6741706161137441,0.26423728813559316,15.59
LSF,0.6000000000000001,1.0,1.0,0.5084745762711864,30.0
OS,0.7000000000000001,1.0,1.0,0.9588135593220339,56.57
RDP,0.7000000000000001,0.44,0.06448379552288674,0.01694915254237288,1.0
BU,0.7000000000000001,0.61,0.06876790830945567,0.039152542372881356,2.31
VC,0.7000000000000001,0.87,0.6149289099526066,0.24355932203389827,14.37
LSF,0.7000000000000001,1.0,1.0,0.5084745762711864,30.0
OS,0.8,1.0,1.0,0.9762711864406781,57.6
RDP,0.8,0.44,0.06448379552288674,0.01694915254237288,1.0
BU,0.8,0.6,0.03147699757869238,0.035423728813559326,2.09
VC,0.8,0.86,0.5923121723937099,0.2233898305084746,13.18
LSF,0.8,1.0,1.0,0.5084745762711864,30.0
OS,0.9,1.0,1.0,0.9905084745762713,58.44
RDP,0.9,0.44,0.06448379552288674,0.01694915254237288,1.0
BU,0.9,0.61,0.06876790830945567,0.03423728813559323,2.02
VC,0.9,0.87,0.6277205040091638,0.20779661016949155,12.26
LSF,0.9,1.0,1.0,0.5084745762711864,30.0
