Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,19,0.029475197699496802,0.01694915254237285,1.0
RDP,0.0,100,1.0,1.0,59.0
BU,0.0,100,1.0,1.0,59.0
BU,0.0,100,1.0,1.0,59.0
VW,0.0,100,1.0,1.0,59.0
OS,0.01,37,0.24487594390507028,0.01932203389830505,1.14
RDP,0.01,100,1.0,0.9425423728813557,55.61
BU,0.01,99,0.9879995199807993,0.7972881355932203,47.04
BU,0.01,99,0.9879995199807993,0.7972881355932203,47.04
VW,0.01,100,1.0,0.8533898305084743,50.35
OS,0.02,56,0.4845978664748891,0.03288135593220336,1.94
RDP,0.02,100,1.0,0.8883050847457623,52.41
BU,0.02,99,0.9879995199807993,0.6289830508474578,37.11
BU,0.02,99,0.9879995199807993,0.6289830508474578,37.11
VW,0.02,99,0.9879995199807993,0.7388135593220343,43.59
OS,0.03,79,0.7481108312342568,0.057966101694915215,3.42
RDP,0.03,100,1.0,0.8420338983050846,49.68
BU,0.03,100,1.0,0.5206779661016953,30.72
BU,0.03,100,1.0,0.5206779661016953,30.72
VW,0.03,99,0.9879995199807993,0.6564406779661016,38.73
OS,0.04,83,0.7959428640019205,0.0662711864406779,3.91
RDP,0.04,100,1.0,0.7954237288135593,46.93
BU,0.04,99,0.9879995199807993,0.44728813559322034,26.39
BU,0.04,99,0.9879995199807993,0.44728813559322034,26.39
VW,0.04,99,0.9879995199807993,0.5861016949152542,34.58
OS,0.05,83,0.7958203218832572,0.08067796610169486,4.76
RDP,0.05,100,1.0,0.7425423728813558,43.81
BU,0.05,99,0.9879995199807993,0.39745762711864413,23.45
BU,0.05,99,0.9879995199807993,0.39745762711864413,23.45
VW,0.05,98,0.9760019198464123,0.5294915254237286,31.24
OS,0.06,86,0.8318318318318318,0.1,5.9
RDP,0.06,100,1.0,0.6922033898305086,40.84
BU,0.06,99,0.9879995199807993,0.35576271186440683,20.99
BU,0.06,99,0.9879995199807993,0.35576271186440683,20.99
VW,0.06,98,0.9760019198464123,0.48101694915254234,28.38
OS,0.07,86,0.8318116290245074,0.12237288135593224,7.22
RDP,0.07,100,1.0,0.6523728813559322,38.49
BU,0.07,98,0.9760019198464123,0.3230508474576271,19.06
BU,0.07,98,0.9760019198464123,0.3230508474576271,19.06
VW,0.07,98,0.9760019198464123,0.44322033898305074,26.15
OS,0.08,87,0.8438250840941856,0.15237288135593224,8.99
RDP,0.08,100,1.0,0.6123728813559322,36.13
BU,0.08,97,0.9640028797696184,0.3037288135593218,17.92
BU,0.08,97,0.9640028797696184,0.3037288135593218,17.92
VW,0.08,99,0.9879995199807993,0.40694915254237296,24.01
OS,0.09,92,0.903903903903904,0.18355932203389838,10.83
RDP,0.09,100,1.0,0.5752542372881357,33.94
BU,0.09,95,0.9399975999039961,0.28101694915254216,16.58
BU,0.09,95,0.9399975999039961,0.28101694915254216,16.58
VW,0.09,100,1.0,0.3764406779661016,22.21
OS,0.1,96,0.951969260326609,0.21915254237288134,12.93
RDP,0.1,99,0.9879995199807993,0.5323728813559321,31.41
BU,0.1,97,0.9639942390782525,0.2611864406779659,15.41
BU,0.1,97,0.9639942390782525,0.2611864406779659,15.41
VW,0.1,100,1.0,0.35067796610169494,20.69
OS,0.11,96,0.951969260326609,0.251186440677966,14.82
RDP,0.11,99,0.9879995199807993,0.49694915254237293,29.32
BU,0.11,95,0.9399831952946825,0.2418644067796609,14.27
BU,0.11,95,0.9399831952946825,0.2418644067796609,14.27
VW,0.11,99,0.9879995199807993,0.3315254237288135,19.56
OS,0.12,98,0.9759961593855017,0.28762711864406787,16.97
RDP,0.12,99,0.9879995199807993,0.46203389830508484,27.26
BU,0.12,95,0.9399831952946825,0.22779661016949135,13.44
BU,0.12,95,0.9399831952946825,0.22779661016949135,13.44
VW,0.12,99,0.9879995199807993,0.3094915254237286,18.26
OS,0.13,100,1.0,0.3272881355932204,19.31
RDP,0.13,99,0.9879995199807993,0.4298305084745762,25.36
BU,0.13,95,0.9399831952946825,0.21779661016949145,12.85
BU,0.13,95,0.9399831952946825,0.21779661016949145,12.85
VW,0.13,99,0.9879995199807993,0.29440677966101686,17.37
OS,0.14,100,1.0,0.3625423728813558,21.39
RDP,0.14,99,0.9879980796927509,0.4010169491525425,23.66
BU,0.14,94,0.9279884781565051,0.20728813559322032,12.23
BU,0.14,94,0.9279884781565051,0.20728813559322032,12.23
VW,0.14,98,0.9759961593855017,0.28305084745762704,16.7
OS,0.15,100,1.0,0.39966101694915257,23.58
RDP,0.15,99,0.9879980796927509,0.3747457627118644,22.11
BU,0.15,95,0.9399903984637542,0.20033898305084752,11.82
BU,0.15,95,0.9399903984637542,0.20033898305084752,11.82
VW,0.15,97,0.9639985599423977,0.26542372881355925,15.66
OS,0.16,100,1.0,0.4357627118644068,25.71
RDP,0.16,100,1.0,0.34932203389830496,20.61
BU,0.16,93,0.9159865578492559,0.18983050847457633,11.2
BU,0.16,93,0.9159865578492559,0.18983050847457633,11.2
VW,0.16,97,0.9639985599423977,0.25355932203389825,14.96
OS,0.17,100,1.0,0.4679661016949153,27.61
RDP,0.17,98,0.975993278117873,0.3230508474576271,19.06
BU,0.17,91,0.8919827172347575,0.18169491525423742,10.72
BU,0.17,91,0.8919827172347575,0.18169491525423742,10.72
VW,0.17,97,0.9639985599423977,0.24084745762711854,14.21
OS,0.18,100,1.0,0.5011864406779662,29.57
RDP,0.18,97,0.963985594237695,0.30305084745762706,17.88
BU,0.18,89,0.8679471788715486,0.17355932203389846,10.24
BU,0.18,89,0.8679471788715486,0.17355932203389846,10.24
VW,0.18,99,0.9879966390589365,0.23101694915254226,13.63
OS,0.19,100,1.0,0.5325423728813558,31.42
RDP,0.19,98,0.975993278117873,0.2808474576271186,16.57
BU,0.19,88,0.8559596687072379,0.16576271186440697,9.78
BU,0.19,88,0.8559596687072379,0.16576271186440697,9.78
VW,0.19,98,0.9759903961584634,0.22440677966101685,13.24
OS,0.2,99,0.9879995199807993,0.5623728813559321,33.18
RDP,0.2,98,0.975993278117873,0.2572881355932203,15.18
BU,0.2,86,0.8319327731092436,0.15559322033898323,9.18
BU,0.2,86,0.8319327731092436,0.15559322033898323,9.18
VW,0.2,97,0.963985594237695,0.21932203389830496,12.94
OS,0.21,100,1.0,0.5822033898305086,34.35
RDP,0.21,96,0.951986556235746,0.2350847457627119,13.87
BU,0.21,85,0.8199711953912626,0.15254237288135608,9.0
BU,0.21,85,0.8199711953912626,0.15254237288135608,9.0
VW,0.21,98,0.975993278117873,0.21135593220338975,12.47
OS,0.22,100,1.0,0.6054237288135593,35.72
RDP,0.22,97,0.9639942390782525,0.2149152542372882,12.68
BU,0.22,80,0.7600191984641229,0.14677966101694928,8.66
BU,0.22,80,0.7600191984641229,0.14677966101694928,8.66
VW,0.22,98,0.975993278117873,0.20508474576271182,12.1
OS,0.23,100,1.0,0.6264406779661015,36.96
RDP,0.23,92,0.9039615846338536,0.1976271186440679,11.66
BU,0.23,78,0.735989439577583,0.14000000000000015,8.26
BU,0.23,78,0.735989439577583,0.14000000000000015,8.26
VW,0.23,99,0.9879966390589365,0.1972881355932203,11.64
OS,0.24,100,1.0,0.6484745762711861,38.26
RDP,0.24,92,0.9039500540280946,0.18288135593220345,10.79
BU,0.24,73,0.6760259179265659,0.13525423728813574,7.98
BU,0.24,73,0.6760259179265659,0.13525423728813574,7.98
VW,0.24,98,0.9759903961584634,0.18999999999999992,11.21
OS,0.25,100,1.0,0.6689830508474576,39.47
RDP,0.25,93,0.9159562972745827,0.17389830508474585,10.26
BU,0.25,70,0.6400719856028795,0.1318644067796612,7.78
BU,0.25,70,0.6400719856028795,0.1318644067796612,7.78
VW,0.25,98,0.9759903961584634,0.18542372881355923,10.94
OS,0.26,100,1.0,0.6933898305084746,40.91
RDP,0.26,95,0.9399687837675591,0.16406779661016954,9.68
BU,0.26,68,0.6159846393855755,0.1267796610169493,7.48
BU,0.26,68,0.6159846393855755,0.1267796610169493,7.48
VW,0.26,98,0.9759903961584634,0.1803389830508474,10.64
OS,0.27,100,1.0,0.7076271186440678,41.75
RDP,0.27,94,0.9279711884753902,0.1547457627118645,9.13
BU,0.27,64,0.5679308689390303,0.12135593220338999,7.16
BU,0.27,64,0.5679308689390303,0.12135593220338999,7.16
VW,0.27,97,0.963985594237695,0.1742372881355932,10.28
OS,0.28,100,1.0,0.721186440677966,42.55
RDP,0.28,89,0.8679471788715486,0.14440677966101703,8.52
BU,0.28,62,0.5439817592703708,0.11559322033898319,6.82
BU,0.28,62,0.5439817592703708,0.11559322033898319,6.82
VW,0.28,96,0.9519807923169268,0.17084745762711864,10.08
OS,0.29,100,1.0,0.7345762711864406,43.34
RDP,0.29,88,0.8560115190784736,0.13711864406779667,8.09
BU,0.29,56,0.471915506481037,0.11084745762711876,6.54
BU,0.29,56,0.471915506481037,0.11084745762711876,6.54
VW,0.29,96,0.9519807923169268,0.168135593220339,9.92
OS,0.3,100,1.0,0.7489830508474575,44.19
RDP,0.3,86,0.832013438924886,0.12694915254237296,7.49
BU,0.3,56,0.4718521185932062,0.108813559322034,6.42
BU,0.3,56,0.4718521185932062,0.108813559322034,6.42
VW,0.3,96,0.9519807923169268,0.1645762711864406,9.71
OS,0.31,100,1.0,0.7652542372881358,45.15
RDP,0.31,79,0.7479596735477677,0.11881355932203397,7.01
BU,0.31,56,0.4839174267882862,0.10406779661016957,6.14
BU,0.31,56,0.4839174267882862,0.10406779661016957,6.14
VW,0.31,96,0.9519807923169268,0.1603389830508474,9.46
OS,0.32,100,1.0,0.7759322033898303,45.78
RDP,0.32,83,0.7959673547767643,0.11271186440677974,6.65
BU,0.32,56,0.483917426788286,0.10067796610169495,5.94
BU,0.32,56,0.483917426788286,0.10067796610169495,5.94
VW,0.32,95,0.9399759903961584,0.157457627118644,9.29
OS,0.33,100,1.0,0.786271186440678,46.39
RDP,0.33,81,0.7719908796351854,0.1067796610169492,6.3
BU,0.33,56,0.47204223662107014,0.09694915254237291,5.72
BU,0.33,56,0.47204223662107014,0.09694915254237291,5.72
VW,0.33,93,0.9159462055715658,0.1550847457627118,9.15
OS,0.34,100,1.0,0.7927118644067793,46.77
RDP,0.34,81,0.7719908796351854,0.1049152542372882,6.19
BU,0.34,57,0.49622166246851396,0.09389830508474577,5.54
BU,0.34,57,0.49622166246851396,0.09389830508474577,5.54
VW,0.34,92,0.9039269845082263,0.1525423728813559,9.0
OS,0.35000000000000003,100,1.0,0.8032203389830507,47.39
RDP,0.35000000000000003,79,0.748020158387329,0.09864406779661022,5.82
BU,0.35000000000000003,59,0.5082163847906922,0.09152542372881355,5.4
BU,0.35000000000000003,59,0.5082163847906922,0.09152542372881355,5.4
VW,0.35000000000000003,90,0.8799375675351183,0.14983050847457619,8.84
OS,0.36,100,1.0,0.8115254237288134,47.88
RDP,0.36,74,0.6880249580033596,0.09101694915254235,5.37
BU,0.36,61,0.5322619333173424,0.08881355932203386,5.24
BU,0.36,61,0.5322619333173424,0.08881355932203386,5.24
VW,0.36,89,0.8679471788715486,0.14711864406779657,8.68
OS,0.37,100,1.0,0.8196610169491525,48.36
RDP,0.37,68,0.6160307175425968,0.08610169491525424,5.08
BU,0.37,59,0.5083343326537955,0.08644067796610162,5.1
BU,0.37,59,0.5083343326537955,0.08644067796610162,5.1
VW,0.37,88,0.8559423769507803,0.14220338983050848,8.39
OS,0.38,100,1.0,0.827457627118644,48.82
RDP,0.38,67,0.6040791841631674,0.08101694915254237,4.78
BU,0.38,59,0.5083343326537955,0.08406779661016942,4.96
BU,0.38,59,0.5083343326537955,0.08406779661016942,4.96
VW,0.38,89,0.8679630296483015,0.14,8.26
OS,0.39,100,1.0,0.8335593220338983,49.18
RDP,0.39,64,0.5681381957773513,0.07559322033898301,4.46
BU,0.39,57,0.49646325380649814,0.08271186440677956,4.88
BU,0.39,57,0.49646325380649814,0.08271186440677956,4.88
VW,0.39,89,0.8679630296483015,0.13779661016949152,8.13
OS,0.4,100,1.0,0.8406779661016951,49.6
RDP,0.4,61,0.5322058294350485,0.06999999999999997,4.13
BU,0.4,56,0.47267497603068076,0.07966101694915242,4.7
BU,0.4,56,0.47267497603068076,0.07966101694915242,4.7
VW,0.4,90,0.879966390589365,0.13491525423728812,7.96
OS,0.41000000000000003,100,1.0,0.8464406779661019,49.94
RDP,0.41000000000000003,59,0.5082753657951546,0.06457627118644065,3.81
BU,0.41000000000000003,56,0.4845978664748891,0.07864406779661005,4.64
BU,0.41000000000000003,56,0.4845978664748891,0.07864406779661005,4.64
VW,0.41000000000000003,89,0.8679471788715486,0.1323728813559322,7.81
OS,0.42,100,1.0,0.8522033898305085,50.28
RDP,0.42,57,0.49622166246851374,0.06033898305084742,3.56
BU,0.42,57,0.49664429530201337,0.07694915254237278,4.54
BU,0.42,57,0.49664429530201337,0.07694915254237278,4.54
VW,0.42,88,0.8559250810421419,0.13,7.67
OS,0.43,100,1.0,0.8555932203389836,50.48
RDP,0.43,59,0.5082753657951546,0.055254237288135555,3.26
BU,0.43,57,0.49664429530201337,0.07559322033898294,4.46
BU,0.43,57,0.49664429530201337,0.07559322033898294,4.46
VW,0.43,87,0.843937575030012,0.12661016949152545,7.47
OS,0.44,100,1.0,0.8610169491525427,50.8
RDP,0.44,56,0.4842887982729672,0.051186440677966065,3.02
BU,0.44,57,0.49670461354104245,0.07457627118644056,4.4
BU,0.44,57,0.49670461354104245,0.07457627118644056,4.4
VW,0.44,85,0.8199279711884754,0.12423728813559322,7.33
OS,0.45,100,1.0,0.866779661016949,51.14
RDP,0.45,56,0.47229551451187346,0.04932203389830505,2.91
BU,0.45,56,0.4847831296429427,0.07355932203389819,4.34
BU,0.45,56,0.4847831296429427,0.07355932203389819,4.34
VW,0.45,84,0.8079231692677071,0.12254237288135593,7.23
OS,0.46,100,1.0,0.8725423728813554,51.48
RDP,0.46,54,0.4484412470023982,0.045762711864406745,2.7
BU,0.46,59,0.5087467050083871,0.07084745762711853,4.18
BU,0.46,59,0.5087467050083871,0.07084745762711853,4.18
VW,0.46,81,0.7719087635054022,0.12101694915254237,7.14
OS,0.47000000000000003,100,1.0,0.8771186440677962,51.75
RDP,0.47000000000000003,53,0.43651840306917633,0.0413559322033898,2.44
BU,0.47000000000000003,60,0.5206710605152784,0.07050847457627107,4.16
BU,0.47000000000000003,60,0.5206710605152784,0.07050847457627107,4.16
VW,0.47000000000000003,81,0.7719087635054022,0.1188135593220339,7.01
OS,0.48,100,1.0,0.8844067796610168,52.18
RDP,0.48,49,0.3886358187485015,0.03491525423728811,2.06
BU,0.48,60,0.5207284926911095,0.06949152542372869,4.1
BU,0.48,60,0.5207284926911095,0.06949152542372869,4.1
VW,0.48,81,0.7719087635054022,0.11796610169491525,6.96
OS,0.49,100,1.0,0.8883050847457626,52.41
RDP,0.49,44,0.3286981539199234,0.031864406779660986,1.88
BU,0.49,60,0.5207284926911093,0.06813559322033887,4.02
BU,0.49,60,0.5207284926911093,0.06813559322033887,4.02
VW,0.49,79,0.7478688918237484,0.11627118644067798,6.86
OS,0.5,100,1.0,0.8932203389830506,52.7
RDP,0.5,42,0.3047230879884919,0.028813559322033874,1.7
BU,0.5,61,0.5327662633281418,0.06677966101694904,3.94
BU,0.5,61,0.5327662633281418,0.06677966101694904,3.94
VW,0.5,75,0.6998799519807923,0.11254237288135595,6.64
OS,0.51,100,1.0,0.8966101694915248,52.9
RDP,0.51,39,0.2686728210046756,0.02559322033898302,1.51
BU,0.51,63,0.5567800670819356,0.0654237288135592,3.86
BU,0.51,63,0.5567800670819356,0.0654237288135592,3.86
VW,0.51,75,0.6998439188377957,0.11084745762711867,6.54
OS,0.52,100,1.0,0.9018644067796607,53.21
RDP,0.52,39,0.2686728210046758,0.024745762711864377,1.46
BU,0.52,62,0.5447466155504972,0.06508474576271177,3.84
BU,0.52,62,0.5447466155504972,0.06508474576271177,3.84
VW,0.52,75,0.6998439188377957,0.10915254237288138,6.44
OS,0.53,100,1.0,0.9061016949152542,53.46
RDP,0.53,38,0.25668385085721146,0.022542372881355903,1.33
BU,0.53,62,0.5447466155504972,0.0640677966101694,3.78
BU,0.53,62,0.5447466155504972,0.0640677966101694,3.78
VW,0.53,75,0.6998439188377957,0.10796610169491526,6.37
OS,0.54,100,1.0,0.9094915254237287,53.66
RDP,0.54,37,0.24469488070974688,0.021016949152542347,1.24
BU,0.54,62,0.5447466155504972,0.06305084745762701,3.72
BU,0.54,62,0.5447466155504972,0.06305084745762701,3.72
VW,0.54,76,0.7118501620842839,0.10711864406779661,6.32
OS,0.55,100,1.0,0.9132203389830506,53.88
RDP,0.55,37,0.24469488070974688,0.02067796610169489,1.22
BU,0.55,61,0.5328222328701484,0.06203389830508464,3.66
BU,0.55,61,0.5328222328701484,0.06203389830508464,3.66
VW,0.55,76,0.7118501620842839,0.1064406779661017,6.28
OS,0.56,100,1.0,0.9171186440677963,54.11
RDP,0.56,36,0.23279789019419805,0.019661016949152513,1.16
BU,0.56,60,0.5207284926911095,0.06101694915254228,3.6
BU,0.56,60,0.5207284926911095,0.06101694915254228,3.6
VW,0.56,76,0.7118501620842839,0.1059322033898305,6.25
OS,0.5700000000000001,100,1.0,0.9199999999999997,54.28
RDP,0.5700000000000001,35,0.2210904733373278,0.018644067796610143,1.1
BU,0.5700000000000001,57,0.49670461354104256,0.058983050847457544,3.48
BU,0.5700000000000001,57,0.49670461354104256,0.058983050847457544,3.48
VW,0.5700000000000001,76,0.7118501620842839,0.10491525423728812,6.19
OS,0.58,100,1.0,0.9225423728813555,54.43
RDP,0.58,35,0.22118380062305298,0.018305084745762687,1.08
BU,0.58,56,0.47261177034639823,0.057288135593220255,3.38
BU,0.58,56,0.47261177034639823,0.057288135593220255,3.38
VW,0.58,77,0.723856405330772,0.10322033898305082,6.09
OS,0.59,100,1.0,0.9274576271186438,54.72
RDP,0.59,35,0.22118380062305287,0.017796610169491498,1.05
BU,0.59,56,0.47267497603068076,0.05593220338983043,3.3
BU,0.59,56,0.47267497603068076,0.05593220338983043,3.3
