Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,47,0.0,0.012195121951219521,1.0
RDP,0.0,100,1.0,0.9630487804878048,78.97
BU_1,0.0,100,1.0,1.0121951219512215,83.0
BU_2,0.0,100,1.0,1.0,82.0
VW,0.0,100,1.0,1.0,82.0
OS,0.01,87,0.7430830039525691,0.0615853658536585,5.05
RDP,0.01,100,1.0,0.3450000000000001,28.29
BU_1,0.01,95,0.8995176848874598,0.15963414634146342,13.09
BU_2,0.01,95,0.8995176848874598,0.3037804878048782,24.91
VW,0.01,99,0.9799518845228549,0.47317073170731716,38.8
OS,0.02,88,0.7625643055005936,0.0669512195121951,5.49
RDP,0.02,99,0.979903536977492,0.2165853658536584,17.76
BU_1,0.02,97,0.9397106109324759,0.12134146341463406,9.95
BU_2,0.02,97,0.9397106109324759,0.2271951219512195,18.63
VW,0.02,100,1.0,0.3471951219512195,28.47
OS,0.03,89,0.7820919175911252,0.06939024390243903,5.69
RDP,0.03,98,0.959951942330797,0.16792682926829272,13.77
BU_1,0.03,97,0.9398556535685646,0.10621951219512185,8.71
BU_2,0.03,97,0.9398556535685646,0.19695121951219502,16.15
VW,0.03,100,1.0,0.2878048780487807,23.6
OS,0.04,91,0.8212867355043685,0.07609756097560974,6.24
RDP,0.04,98,0.959951942330797,0.14536585365853655,11.92
BU_1,0.04,97,0.9398556535685646,0.09707317073170724,7.96
BU_2,0.04,97,0.9398556535685646,0.1795121951219512,14.72
VW,0.04,99,0.979903536977492,0.25329268292682927,20.77
OS,0.05,95,0.9002394253790902,0.0857317073170731,7.03
RDP,0.05,97,0.94,0.12597560975609753,10.33
BU_1,0.05,95,0.8997594226142742,0.08926829268292678,7.32
BU_2,0.05,95,0.8997594226142742,0.16390243902439025,13.44
VW,0.05,97,0.9397106109324759,0.22939024390243887,18.81
OS,0.06,96,0.9200958849380743,0.09378048780487797,7.69
RDP,0.06,97,0.94,0.11073170731707316,9.08
BU_1,0.06,95,0.9,0.08402439024390239,6.89
BU_2,0.06,95,0.9,0.15341463414634143,12.58
VW,0.06,94,0.8792756539235412,0.21573170731707303,17.69
OS,0.07,97,0.94,0.09780487804878041,8.02
RDP,0.07,95,0.9002394253790902,0.10073170731707315,8.26
BU_1,0.07,95,0.9,0.08036585365853657,6.59
BU_2,0.07,95,0.9,0.14609756097560972,11.98
VW,0.07,95,0.8995176848874598,0.20304878048780484,16.65
OS,0.08,97,0.9397106109324759,0.10243902439024383,8.4
RDP,0.08,94,0.8801438274071115,0.09304878048780484,7.63
BU_1,0.08,91,0.820859872611465,0.07780487804878052,6.38
BU_2,0.08,91,0.820859872611465,0.14097560975609758,11.56
VW,0.08,94,0.8792756539235412,0.19268292682926835,15.8
OS,0.09,97,0.9397106109324759,0.10695121951219502,8.77
RDP,0.09,93,0.8603351955307262,0.08682926829268289,7.12
BU_1,0.09,88,0.7619992066640222,0.07621951219512198,6.25
BU_2,0.09,88,0.7619992066640222,0.1378048780487805,11.3
VW,0.09,94,0.8789834610730133,0.1831707317073171,15.02
OS,0.1,97,0.9397106109324759,0.11146341463414623,9.14
RDP,0.1,92,0.8405739338381826,0.08243902439024381,6.76
BU_1,0.1,88,0.7619992066640222,0.07524390243902443,6.17
BU_2,0.1,88,0.7619992066640222,0.13585365853658538,11.14
VW,0.1,96,0.9195171026156942,0.17439024390243907,14.3
OS,0.11,97,0.9397106109324759,0.1165853658536585,9.56
RDP,0.11,90,0.8011928429423459,0.07999999999999997,6.56
BU_1,0.11,87,0.742472266244057,0.07414634146341469,6.08
BU_2,0.11,87,0.742472266244057,0.1336585365853659,10.96
VW,0.11,96,0.9195171026156942,0.16646341463414635,13.65
OS,0.12,98,0.9598554797270172,0.11902439024390238,9.76
RDP,0.12,87,0.742472266244057,0.07878048780487805,6.46
BU_1,0.12,87,0.742472266244057,0.0739024390243903,6.06
BU_2,0.12,87,0.742472266244057,0.1331707317073171,10.92
VW,0.12,97,0.9397106109324759,0.16243902439024394,13.32
OS,0.13,98,0.9598554797270172,0.12548780487804878,10.29
RDP,0.13,84,0.6841689696012633,0.07670731707317073,6.29
BU_1,0.13,87,0.742472266244057,0.0739024390243903,6.06
BU_2,0.13,87,0.742472266244057,0.1331707317073171,10.92
VW,0.13,97,0.9397106109324759,0.15719512195121946,12.89
OS,0.14,97,0.9397106109324759,0.13036585365853656,10.69
RDP,0.14,84,0.6841689696012633,0.07463414634146343,6.12
BU_1,0.14,87,0.742472266244057,0.0736585365853659,6.04
BU_2,0.14,87,0.742472266244057,0.13268292682926833,10.88
VW,0.14,96,0.9195171026156942,0.15280487804878043,12.53
OS,0.15,98,0.9598554797270172,0.1365853658536585,11.2
RDP,0.15,84,0.6841689696012633,0.07317073170731708,6.0
BU_1,0.15,87,0.742472266244057,0.07353658536585372,6.03
BU_2,0.15,87,0.742472266244057,0.13243902439024394,10.86
VW,0.15,96,0.9195171026156942,0.1485365853658536,12.18
OS,0.16,97,0.9398556535685646,0.1407317073170731,11.54
RDP,0.16,81,0.6262785208497246,0.07048780487804876,5.78
BU_1,0.16,87,0.742472266244057,0.07317073170731712,6.0
BU_2,0.16,87,0.742472266244057,0.13170731707317077,10.8
VW,0.16,95,0.8992747784045125,0.14536585365853655,11.92
OS,0.17,97,0.9398556535685646,0.1453658536585365,11.92
RDP,0.17,73,0.47388932190179256,0.0667073170731707,5.47
BU_1,0.17,87,0.742472266244057,0.07304878048780493,5.99
BU_2,0.17,87,0.742472266244057,0.13146341463414635,10.78
VW,0.17,94,0.8789834610730133,0.14256097560975609,11.69
OS,0.18,97,0.9398556535685646,0.1503658536585365,12.33
RDP,0.18,68,0.3815229996134518,0.06475609756097553,5.31
BU_1,0.18,86,0.7229916897506925,0.07292682926829273,5.98
BU_2,0.18,86,0.7229916897506925,0.13121951219512198,10.76
VW,0.18,94,0.8789834610730133,0.13890243902439023,11.39
OS,0.19,97,0.9397106109324759,0.15609756097560967,12.8
RDP,0.19,62,0.27063339731285985,0.0628048780487804,5.15
BU_1,0.19,86,0.7229916897506925,0.07207317073170735,5.91
BU_2,0.19,86,0.7229916897506925,0.12951219512195122,10.62
VW,0.19,95,0.8992747784045125,0.1368292682926829,11.22
OS,0.2,97,0.9397106109324759,0.1603658536585365,13.15
RDP,0.2,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.2,86,0.7229916897506925,0.07121951219512197,5.84
BU_2,0.2,86,0.7229916897506925,0.1278048780487805,10.48
VW,0.2,94,0.8789834610730133,0.13463414634146334,11.04
OS,0.21,98,0.9598554797270172,0.16268292682926824,13.34
RDP,0.21,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.21,86,0.7229916897506925,0.07073170731707319,5.8
BU_2,0.21,86,0.7229916897506925,0.12682926829268293,10.4
VW,0.21,93,0.8589846897663175,0.132560975609756,10.87
OS,0.22,98,0.9598554797270172,0.16621951219512188,13.63
RDP,0.22,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.22,86,0.7229916897506925,0.06963414634146341,5.71
BU_2,0.22,86,0.7229916897506925,0.12463414634146343,10.22
VW,0.22,93,0.8589846897663175,0.13109756097560968,10.75
OS,0.23,98,0.9598554797270172,0.17048780487804877,13.98
RDP,0.23,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.23,85,0.7035573122529644,0.06902439024390244,5.66
BU_2,0.23,85,0.7035573122529644,0.12341463414634146,10.12
VW,0.23,93,0.8589846897663175,0.12817073170731696,10.51
OS,0.24,98,0.9598554797270172,0.17548780487804871,14.39
RDP,0.24,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.24,84,0.6841689696012633,0.06780487804878046,5.56
BU_2,0.24,84,0.6841689696012633,0.1209756097560975,9.92
VW,0.24,94,0.8792756539235412,0.1251219512195121,10.26
OS,0.25,97,0.9397106109324759,0.1789024390243902,14.67
RDP,0.25,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.25,84,0.6841689696012633,0.0662195121951219,5.43
BU_2,0.25,84,0.6841689696012633,0.11780487804878038,9.66
VW,0.25,97,0.9398556535685646,0.12231707317073162,10.03
OS,0.26,97,0.9397106109324759,0.1823170731707317,14.95
RDP,0.26,57,0.19755445166220864,0.06219512195121943,5.1
BU_1,0.26,82,0.6455297361165813,0.06414634146341457,5.26
BU_2,0.26,82,0.6455297361165813,0.11365853658536572,9.32
VW,0.26,97,0.9398556535685646,0.12012195121951211,9.85
OS,0.27,98,0.9598554797270172,0.185609756097561,15.22
RDP,0.27,57,0.19755445166220864,0.061829268292682836,5.07
BU_1,0.27,81,0.6262785208497246,0.06365853658536577,5.22
BU_2,0.27,81,0.6262785208497246,0.11268292682926816,9.24
VW,0.27,97,0.9398556535685646,0.11804878048780477,9.68
OS,0.28,98,0.9598554797270172,0.18890243902439022,15.49
RDP,0.28,57,0.19755445166220864,0.061829268292682836,5.07
BU_1,0.28,75,0.51171875,0.062195121951219436,5.1
BU_2,0.28,75,0.51171875,0.1097560975609755,9.0
VW,0.28,98,0.959951942330797,0.11658536585365843,9.56
OS,0.29,99,0.9799518845228549,0.1926829268292683,15.8
RDP,0.29,57,0.19755445166220864,0.061585365853658446,5.05
BU_1,0.29,75,0.5128604832424006,0.061341463414634055,5.03
BU_2,0.29,75,0.5128604832424006,0.10804878048780475,8.86
VW,0.29,97,0.9398556535685646,0.11512195121951205,9.44
OS,0.3,99,0.9799518845228549,0.19658536585365852,16.12
RDP,0.3,57,0.19755445166220864,0.061097560975609665,5.01
BU_1,0.3,74,0.493966523939276,0.06097560975609746,5.0
BU_2,0.3,74,0.493966523939276,0.10731707317073157,8.8
VW,0.3,96,0.9199038846615939,0.11414634146341453,9.36
OS,0.31,99,0.9799518845228549,0.19939024390243898,16.35
RDP,0.31,57,0.19755445166220864,0.06073170731707307,4.98
BU_1,0.31,72,0.4563106796116505,0.06060975609756088,4.97
BU_2,0.31,72,0.4563106796116505,0.10658536585365841,8.74
VW,0.31,96,0.9199038846615939,0.11256097560975598,9.23
OS,0.32,98,0.959951942330797,0.20182926829268288,16.55
RDP,0.32,57,0.19755445166220864,0.058780487804877976,4.82
BU_1,0.32,72,0.4563106796116505,0.06060975609756088,4.97
