Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,56,0.1288492706645057,0.012345679012345711,1.0
RDP,0.0,100,1.0,0.9625925925925926,77.97
BU,0.0,100,1.0,1.0,81.0
BU,0.0,100,1.0,1.0,81.0
VW,0.0,100,1.0,1.0,81.0
OS,0.01,55,0.11556603773584895,0.058641975308642035,4.75
RDP,0.01,100,1.0,0.3375308641975308,27.34
BU,0.01,100,1.0,0.29037037037037033,23.52
BU,0.01,100,1.0,0.29037037037037033,23.52
VW,0.01,100,1.0,0.2812345679012346,22.78
OS,0.02,55,0.11556603773584895,0.061604938271604986,4.99
RDP,0.02,100,1.0,0.20740740740740737,16.8
BU,0.02,100,1.0,0.2113580246913581,17.12
BU,0.02,100,1.0,0.2113580246913581,17.12
VW,0.02,100,1.0,0.20728395061728386,16.79
OS,0.03,56,0.15420928402832423,0.06308641975308647,5.11
RDP,0.03,100,1.0,0.15975308641975314,12.94
BU,0.03,98,0.960015993602559,0.18024691358024694,14.6
BU,0.03,98,0.960015993602559,0.18024691358024694,14.6
VW,0.03,100,1.0,0.17432098765432102,14.12
OS,0.04,59,0.19291338582677164,0.06641975308641983,5.38
RDP,0.04,100,1.0,0.13679012345679012,11.08
BU,0.04,95,0.9001597444089456,0.16518518518518513,13.38
BU,0.04,95,0.9001597444089456,0.16518518518518513,13.38
VW,0.04,100,1.0,0.15296296296296305,12.39
OS,0.05,71,0.42642405063291144,0.07283950617283962,5.9
RDP,0.05,100,1.0,0.1165432098765432,9.44
BU,0.05,92,0.8404467491025129,0.1501234567901233,12.16
BU,0.05,92,0.8404467491025129,0.1501234567901233,12.16
VW,0.05,100,1.0,0.1388888888888889,11.25
OS,0.06,86,0.7214484679665738,0.0795061728395063,6.44
RDP,0.06,93,0.8603351955307262,0.10098765432098768,8.18
BU,0.06,88,0.7610513739545998,0.13827160493827143,11.2
BU,0.06,88,0.7610513739545998,0.13827160493827143,11.2
VW,0.06,99,0.9799839871897518,0.1293827160493827,10.48
OS,0.07,91,0.8205741626794258,0.08320987654320998,6.74
RDP,0.07,85,0.7016706443914081,0.09024691358024689,7.31
BU,0.07,81,0.6227164416203336,0.13135802469135785,10.64
BU,0.07,81,0.6227164416203336,0.13135802469135785,10.64
VW,0.07,99,0.9799839871897518,0.122716049382716,9.94
OS,0.08,91,0.8205741626794258,0.08802469135802474,7.13
RDP,0.08,73,0.4655581947743468,0.08160493827160503,6.61
BU,0.08,69,0.38735177865612647,0.12518518518518498,10.14
BU,0.08,69,0.38735177865612647,0.12518518518518498,10.14
VW,0.08,100,1.0,0.1149382716049382,9.31
OS,0.09,92,0.8404467491025129,0.09271604938271608,7.51
RDP,0.09,64,0.2899408284023669,0.07555555555555565,6.12
BU,0.09,63,0.2705047318611987,0.12148148148148127,9.84
