Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,28,0.0,0.0078125,1.0
RDP,0.0,100,1.0,0.692890625,88.69
BU,0.0,100,1.0,1.0078125,129.0
VW,0.0,100,1.0,1.0,128.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,92,0.8015873015873016,0.093203125,11.93
RDP,0.01,100,1.0,0.6496875,83.16
BU,0.01,100,1.0,0.295625,37.84
VW,0.01,100,1.0,0.65046875,83.26
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,93,0.8163693599160545,0.105859375,13.55
RDP,0.02,100,1.0,0.606640625,77.65
BU,0.02,99,0.9754661432777233,0.235,30.08
VW,0.02,100,1.0,0.6109375,78.2
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,94,0.8407643312101911,0.115703125,14.81
RDP,0.03,100,1.0,0.567265625,72.61
BU,0.03,97,0.9279538904899135,0.196953125,25.21
VW,0.03,100,1.0,0.5784375,74.04
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,94,0.8407643312101911,0.128359375,16.43
RDP,0.04,100,1.0,0.528984375,67.71
BU,0.04,95,0.8773307163886163,0.17,21.76
VW,0.04,100,1.0,0.54953125,70.34
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,96,0.8962655601659751,0.150078125,19.21
RDP,0.05,100,1.0,0.49421875,63.26
BU,0.05,94,0.847870182555781,0.15296875,19.58
VW,0.05,100,1.0,0.521484375,66.75
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,96,0.8962655601659751,0.179921875,23.03
RDP,0.06,100,1.0,0.45953125,58.82
BU,0.06,94,0.847870182555781,0.139296875,17.83
VW,0.06,100,1.0,0.498984375,63.87
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,98,0.949290060851927,0.224375,28.72
RDP,0.07,100,1.0,0.43125,55.2
BU,0.07,95,0.8746238716148446,0.129296875,16.55
VW,0.07,100,1.0,0.479140625,61.33
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,98,0.9503968253968254,0.27375,35.04
RDP,0.08,99,0.9754661432777233,0.40546875,51.9
BU,0.08,95,0.8746238716148446,0.1215625,15.56
VW,0.08,100,1.0,0.46125,59.04
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,97,0.9247743229689067,0.31828125,40.74
RDP,0.09,98,0.9514563106796117,0.381328125,48.81
BU,0.09,95,0.8717948717948718,0.114375,14.64
VW,0.09,99,0.9754661432777233,0.44421875,56.86
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,99,0.9749247743229689,0.3521875,45.08
RDP,0.1,98,0.9514563106796117,0.357578125,45.77
BU,0.1,95,0.8717948717948718,0.108046875,13.83
VW,0.1,98,0.9514563106796117,0.42828125,54.82
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,99,0.9754661432777233,0.381015625,48.77
RDP,0.11,97,0.9263984298331698,0.3346875,42.84
BU,0.11,95,0.8717948717948718,0.10390625,13.3
VW,0.11,98,0.9514563106796117,0.412890625,52.85
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,100,1.0,0.40703125,52.1
RDP,0.12,99,0.9754661432777233,0.313046875,40.07
BU,0.12,94,0.8443983402489627,0.099453125,12.73
VW,0.12,98,0.9514563106796117,0.400546875,51.27
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,100,1.0,0.431015625,55.17
RDP,0.13,99,0.9754661432777233,0.29359375,37.58
BU,0.13,92,0.7925311203319503,0.095859375,12.27
VW,0.13,98,0.9514563106796117,0.388359375,49.71
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,100,1.0,0.45328125,58.02
RDP,0.14,100,1.0,0.275234375,35.23
BU,0.14,91,0.7692307692307692,0.09234375,11.82
VW,0.14,97,0.9279538904899135,0.376015625,48.13
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,100,1.0,0.469453125,60.09
RDP,0.15,100,1.0,0.258984375,33.15
BU,0.15,92,0.7971602434077079,0.089453125,11.45
VW,0.15,97,0.9279538904899135,0.363125,46.48
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,100,1.0,0.4821875,61.72
RDP,0.16,98,0.9514563106796117,0.244453125,31.29
BU,0.16,93,0.8244734202607824,0.08703125,11.14
VW,0.16,98,0.9514563106796117,0.35265625,45.14
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,100,1.0,0.496953125,63.61
RDP,0.17,95,0.8773307163886163,0.229140625,29.33
BU,0.17,93,0.8244734202607824,0.08421875,10.78
VW,0.17,98,0.9514563106796117,0.34234375,43.82
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,100,1.0,0.512109375,65.55
RDP,0.18,97,0.9247743229689067,0.216953125,27.77
BU,0.18,93,0.8244734202607824,0.081953125,10.49
VW,0.18,98,0.9514563106796117,0.332890625,42.61
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,100,1.0,0.523125,66.96
RDP,0.19,98,0.949290060851927,0.205,26.24
BU,0.19,92,0.7925311203319503,0.07921875,10.14
VW,0.19,98,0.9514563106796117,0.32453125,41.54
