Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.75,-0.019575856443719175,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,0.6930708661417323,88.02
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.96,0.8871331828442438,0.345748031496063,43.91
RDP,0.1,0.93,0.8108108108108107,0.3585039370078741,45.53
BU,0.1,0.88,0.6710526315789473,0.10283464566929133,13.06
VC,0.1,0.98,0.9435665914221218,0.43188976377952754,54.85
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.5310236220472441,67.44
RDP,0.2,0.85,0.6056782334384858,0.1826771653543307,23.2
BU,0.2,0.86,0.6268656716417911,0.06992125984251966,8.88
VC,0.2,0.93,0.8053392658509455,0.314251968503937,39.91
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.6,76.2
RDP,0.30000000000000004,0.81,0.5138178096212896,0.10157480314960629,12.9
BU,0.30000000000000004,0.71,0.21621621621621623,0.05244094488188976,6.66
VC,0.30000000000000004,0.91,0.7497219132369299,0.25015748031496066,31.77
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.6349606299212597,80.64
RDP,0.4,0.8,0.5201535508637236,0.0716535433070866,9.1
BU,0.4,0.72,0.23245614035087714,0.04251968503937007,5.4
VC,0.4,0.88,0.6613995485327313,0.2180314960629921,27.69
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.6543307086614172,83.1
RDP,0.5,0.53,-0.03706972639011474,0.030078740157480306,3.82
BU,0.5,0.75,0.3047830923248054,0.036850393700787396,4.68
VC,0.5,0.88,0.6511627906976745,0.19251968503937014,24.45
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.6678740157480313,84.82
RDP,0.6000000000000001,0.5,-0.021241830065359624,0.010472440944881888,1.33
BU,0.6000000000000001,0.74,0.2872807017543859,0.0337007874015748,4.28
VC,0.6000000000000001,0.88,0.6511627906976745,0.17480314960629925,22.2
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.6776377952755904,86.06
RDP,0.7000000000000001,0.47,-0.07113985448666127,0.00874015748031496,1.11
BU,0.7000000000000001,0.75,0.3047830923248054,0.03220472440944881,4.09
VC,0.7000000000000001,0.87,0.6277205040091638,0.16141732283464566,20.5
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6841732283464564,86.89
RDP,0.8,0.48,-0.06209150326797408,0.008188976377952755,1.04
BU,0.8,0.77,0.36040044493882095,0.030472440944881888,3.87
VC,0.8,0.87,0.61629279811098,0.15086614173228344,19.16
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6889763779527559,87.5
RDP,0.9,0.48,-0.06209150326797408,0.007874015748031496,1.0
BU,0.9,0.74,0.3070362473347549,0.02866141732283465,3.64
VC,0.9,0.87,0.61629279811098,0.14196850393700786,18.03
LSF,0.9,0.0,0.0,0.0,0.0
