Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.53,0.04003267973856206,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,0.6930708661417323,88.02
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.345748031496063,43.91
RDP,0.1,0.99,0.9786689419795221,0.3585039370078741,45.53
BU,0.1,0.93,0.8490077653149266,0.10283464566929133,13.06
VC,0.1,1.0,1.0,0.43188976377952754,54.85
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.5310236220472441,67.44
RDP,0.2,0.85,0.6690203000882613,0.1826771653543307,23.2
BU,0.2,0.85,0.6651785714285714,0.06992125984251966,8.88
VC,0.2,1.0,1.0,0.314251968503937,39.91
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.6,76.2
RDP,0.30000000000000004,0.79,0.53125,0.10157480314960629,12.9
BU,0.30000000000000004,0.71,0.3601059135039718,0.05244094488188976,6.66
VC,0.30000000000000004,0.94,0.8712998712998713,0.25015748031496066,31.77
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.6349606299212597,80.64
RDP,0.4,0.72,0.3926247288503254,0.0716535433070866,9.1
BU,0.4,0.71,0.37446074201898183,0.04251968503937007,5.4
VC,0.4,0.91,0.8058671268334772,0.2180314960629921,27.69
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.6543307086614172,83.1
RDP,0.5,0.6,0.141999141999142,0.030078740157480306,3.82
BU,0.5,0.7,0.34181658622202715,0.036850393700787396,4.68
VC,0.5,0.87,0.7131509267431597,0.19251968503937014,24.45
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.6678740157480313,84.82
RDP,0.6000000000000001,0.43,-0.1399999999999999,0.010472440944881888,1.33
BU,0.6000000000000001,0.69,0.3313201035375324,0.0337007874015748,4.28
VC,0.6000000000000001,0.85,0.6727748691099477,0.17480314960629925,22.2
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.6776377952755904,86.06
RDP,0.7000000000000001,0.4,-0.18156754627806215,0.00874015748031496,1.11
BU,0.7000000000000001,0.7,0.36359779380568524,0.03220472440944881,4.09
VC,0.7000000000000001,0.89,0.7627264883520276,0.16141732283464566,20.5
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6841732283464564,86.89
RDP,0.8,0.41,-0.16785431512272386,0.008188976377952755,1.04
BU,0.8,0.69,0.3387372013651877,0.030472440944881888,3.87
VC,0.8,0.87,0.7164048865619547,0.15086614173228344,19.16
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.6889763779527559,87.5
RDP,0.9,0.41,-0.16785431512272386,0.007874015748031496,1.0
BU,0.9,0.69,0.3237347294938918,0.02866141732283465,3.64
VC,0.9,0.84,0.6449178872614292,0.14196850393700786,18.03
LSF,0.9,0.0,0.0,0.0,0.0
