Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,11,-0.02913968547641077,0.007874015748031484,1.0
RDP,0.0,100,1.0,0.6904724409448812,87.69
BU,0.0,100,1.0,1.0,127.0
BU,0.0,100,1.0,1.0,127.0
VW,0.0,100,1.0,1.0,127.0
OS,0.01,100,1.0,0.0868503937007873,11.03
RDP,0.01,100,1.0,0.6468503937007871,82.15
BU,0.01,100,1.0,0.5693700787401574,72.31
BU,0.01,100,1.0,0.5693700787401574,72.31
VW,0.01,100,1.0,0.5751968503937008,73.05
OS,0.02,100,1.0,0.09803149606299201,12.45
RDP,0.02,100,1.0,0.6033858267716535,76.63
BU,0.02,100,1.0,0.4488976377952757,57.01
BU,0.02,100,1.0,0.4488976377952757,57.01
VW,0.02,100,1.0,0.4951181102362203,62.88
OS,0.03,100,1.0,0.10574803149606286,13.43
RDP,0.03,100,1.0,0.5639370078740158,71.62
BU,0.03,100,1.0,0.37519685039370104,47.65
BU,0.03,100,1.0,0.37519685039370104,47.65
VW,0.03,100,1.0,0.43992125984251973,55.87
OS,0.04,100,1.0,0.11685039370078724,14.84
RDP,0.04,100,1.0,0.5248818897637796,66.66
BU,0.04,100,1.0,0.32062992125984296,40.72
BU,0.04,100,1.0,0.32062992125984296,40.72
VW,0.04,100,1.0,0.3960629921259843,50.3
OS,0.05,100,1.0,0.13795275590551165,17.52
RDP,0.05,100,1.0,0.4896850393700788,62.19
BU,0.05,100,1.0,0.28574803149606337,36.29
BU,0.05,100,1.0,0.28574803149606337,36.29
VW,0.05,100,1.0,0.35834645669291354,45.51
OS,0.06,100,1.0,0.16803149606299198,21.34
RDP,0.06,100,1.0,0.45464566929133865,57.74
BU,0.06,100,1.0,0.25858267716535466,32.84
BU,0.06,100,1.0,0.25858267716535466,32.84
VW,0.06,100,1.0,0.32803149606299215,41.66
OS,0.07,100,1.0,0.21314960629921254,27.07
RDP,0.07,100,1.0,0.42590551181102354,54.09
BU,0.07,100,1.0,0.23826771653543324,30.26
BU,0.07,100,1.0,0.23826771653543324,30.26
VW,0.07,100,1.0,0.3038582677165355,38.59
OS,0.08,100,1.0,0.26503937007874023,33.66
RDP,0.08,100,1.0,0.4000000000000001,50.8
BU,0.08,100,1.0,0.222204724409449,28.22
BU,0.08,100,1.0,0.222204724409449,28.22
VW,0.08,100,1.0,0.28314960629921265,35.96
OS,0.09,100,1.0,0.3092125984251968,39.27
RDP,0.09,100,1.0,0.3763779527559056,47.8
BU,0.09,100,1.0,0.20818897637795286,26.44
BU,0.09,100,1.0,0.20818897637795286,26.44
VW,0.09,100,1.0,0.26527559055118105,33.69
OS,0.1,100,1.0,0.3440944881889764,43.7
RDP,0.1,100,1.0,0.35244094488189,44.76
BU,0.1,100,1.0,0.19637795275590555,24.94
BU,0.1,100,1.0,0.19637795275590555,24.94
VW,0.1,100,1.0,0.24708661417322828,31.38
OS,0.11,100,1.0,0.3748031496062992,47.6
RDP,0.11,100,1.0,0.32929133858267723,41.82
BU,0.11,100,1.0,0.1880314960629921,23.88
BU,0.11,100,1.0,0.1880314960629921,23.88
VW,0.11,100,1.0,0.2334645669291338,29.65
OS,0.12,100,1.0,0.4002362204724411,50.83
RDP,0.12,100,1.0,0.30645669291338595,38.92
BU,0.12,100,1.0,0.17858267716535425,22.68
BU,0.12,100,1.0,0.17858267716535425,22.68
VW,0.12,100,1.0,0.22393700787401566,28.44
OS,0.13,100,1.0,0.42377952755905535,53.82
RDP,0.13,100,1.0,0.2867716535433072,36.42
BU,0.13,100,1.0,0.17133858267716526,21.76
BU,0.13,100,1.0,0.17133858267716526,21.76
VW,0.13,100,1.0,0.2157480314960629,27.4
OS,0.14,100,1.0,0.44708661417322837,56.78
RDP,0.14,100,1.0,0.26874015748031505,34.13
BU,0.14,100,1.0,0.16409448818897623,20.84
BU,0.14,100,1.0,0.16409448818897623,20.84
VW,0.14,100,1.0,0.2059055118110235,26.15
OS,0.15,100,1.0,0.46299212598425205,58.8
RDP,0.15,100,1.0,0.2523622047244095,32.05
BU,0.15,100,1.0,0.15905511811023604,20.2
BU,0.15,100,1.0,0.15905511811023604,20.2
VW,0.15,100,1.0,0.1991338582677164,25.29
OS,0.16,100,1.0,0.47661417322834654,60.53
RDP,0.16,100,1.0,0.2370866141732283,30.11
BU,0.16,100,1.0,0.15354330708661398,19.5
BU,0.16,100,1.0,0.15354330708661398,19.5
VW,0.16,100,1.0,0.19251968503936992,24.45
OS,0.17,100,1.0,0.4918897637795274,62.47
RDP,0.17,100,1.0,0.2219685039370078,28.19
BU,0.17,100,1.0,0.14732283464566912,18.71
BU,0.17,100,1.0,0.14732283464566912,18.71
VW,0.17,100,1.0,0.18677165354330694,23.72
OS,0.18,100,1.0,0.5067716535433071,64.36
RDP,0.18,100,1.0,0.20881889763779518,26.52
BU,0.18,100,1.0,0.14181102362204706,18.01
BU,0.18,100,1.0,0.14181102362204706,18.01
VW,0.18,100,1.0,0.18244094488188964,23.17
OS,0.19,100,1.0,0.5185039370078741,65.85
RDP,0.19,100,1.0,0.19645669291338577,24.95
BU,0.19,100,1.0,0.13629921259842503,17.31
BU,0.19,100,1.0,0.13629921259842503,17.31
VW,0.19,100,1.0,0.17779527559055106,22.58
OS,0.2,100,1.0,0.5282677165354329,67.09
RDP,0.2,100,1.0,0.18141732283464557,23.04
BU,0.2,100,1.0,0.13173228346456675,16.73
