Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.98,0.0,0.006711409395973153,1.0
RDP,0.0,1.0,1.0,0.9828859060402684,146.45
BU,0.0,1.0,1.0,1.006711409395973,150.0
VC,0.0,1.0,1.0,1.0,149.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.98,0.0,0.06422818791946311,9.57
RDP,0.1,0.96,-0.020408163265306145,0.05295302013422819,7.89
BU,0.1,0.98,0.0,0.043221476510067115,6.44
VC,0.1,0.98,0.0,0.09691275167785235,14.44
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.98,0.0,0.1004026845637584,14.96
RDP,0.2,0.89,-0.03383458646616533,0.033959731543624166,5.06
BU,0.2,0.96,-0.020408163265306145,0.03899328859060403,5.81
VC,0.2,0.96,-0.020408163265306145,0.06711409395973157,10.0
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.98,0.0,0.11906040268456376,17.74
RDP,0.30000000000000004,0.87,0.10220994475138123,0.016845637583892622,2.51
BU,0.30000000000000004,0.91,-0.032110091743119185,0.03416107382550336,5.09
VC,0.30000000000000004,0.96,-0.020408163265306145,0.05530201342281879,8.24
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.98,0.0,0.1536241610738255,22.89
RDP,0.4,0.94,-0.027397260273972712,0.009060402684563757,1.35
BU,0.4,0.91,-0.032110091743119185,0.03268456375838927,4.87
VC,0.4,0.96,-0.020408163265306145,0.051006711409395965,7.6
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.98,0.0,0.22906040268456376,34.13
RDP,0.5,0.97,-0.013513513513513598,0.006711409395973153,1.0
BU,0.5,0.91,-0.032110091743119185,0.03134228187919463,4.67
VC,0.5,0.96,-0.020408163265306145,0.04751677852348993,7.08
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.3736241610738255,55.67
RDP,0.6000000000000001,0.97,-0.013513513513513598,0.006711409395973153,1.0
BU,0.6000000000000001,0.89,-0.03383458646616533,0.02885906040268457,4.3
VC,0.6000000000000001,0.96,-0.020408163265306145,0.045100671140939595,6.72
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5129530201342282,76.43
RDP,0.7000000000000001,0.97,-0.013513513513513598,0.006711409395973153,1.0
BU,0.7000000000000001,0.89,-0.03383458646616533,0.025167785234899334,3.75
VC,0.7000000000000001,0.96,-0.020408163265306145,0.04409395973154361,6.57
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6235570469798657,92.91
RDP,0.8,0.97,-0.013513513513513598,0.006711409395973153,1.0
BU,0.8,0.92,0.17355371900826444,0.02107382550335571,3.14
VC,0.8,0.96,-0.020408163265306145,0.04375838926174496,6.52
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7336912751677852,109.32
RDP,0.9,0.97,-0.013513513513513598,0.006711409395973153,1.0
BU,0.9,0.94,0.22680412371134018,0.017248322147651006,2.57
VC,0.9,0.97,-0.013513513513513598,0.04348993288590604,6.48
LSF,0.9,0.0,0.0,0.0,0.0
