Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.63,0.22980849292256456,0.006711409395973153,1.0
RDP,0.0,1.0,1.0,0.9828859060402684,146.45
BU,0.0,1.0,1.0,1.006711409395973,150.0
VC,0.0,1.0,1.0,1.0,149.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.99,0.9795417348608838,0.06422818791946311,9.57
RDP,0.1,0.98,0.9589659417316373,0.05295302013422819,7.89
BU,0.1,0.93,0.8542880932556203,0.043221476510067115,6.44
VC,0.1,0.98,0.9592003263973888,0.09691275167785235,14.44
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.99,0.9795417348608838,0.1004026845637584,14.96
RDP,0.2,0.92,0.8329853862212944,0.033959731543624166,5.06
BU,0.2,0.8,0.5672868887927305,0.03899328859060403,5.81
VC,0.2,0.99,0.9795417348608838,0.06711409395973157,10.0
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.99,0.9795417348608838,0.11906040268456376,17.74
RDP,0.30000000000000004,0.82,0.6152201795639163,0.016845637583892622,2.51
BU,0.30000000000000004,0.7,0.33065595716198115,0.03416107382550336,5.09
VC,0.30000000000000004,0.98,0.9589659417316373,0.05530201342281879,8.24
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9795417348608838,0.1536241610738255,22.89
RDP,0.4,0.63,0.15602189781021902,0.009060402684563757,1.35
BU,0.4,0.66,0.23181201988251254,0.03268456375838927,4.87
VC,0.4,0.98,0.9589659417316373,0.051006711409395965,7.6
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.22906040268456376,34.13
RDP,0.5,0.57,0.0,0.006711409395973153,1.0
BU,0.5,0.65,0.20670897552130563,0.03134228187919463,4.67
VC,0.5,0.98,0.9589659417316373,0.04751677852348993,7.08
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.3736241610738255,55.67
RDP,0.6000000000000001,0.57,0.0,0.006711409395973153,1.0
BU,0.6000000000000001,0.66,0.23181201988251254,0.02885906040268457,4.3
VC,0.6000000000000001,0.98,0.9589659417316373,0.045100671140939595,6.72
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5129530201342282,76.43
RDP,0.7000000000000001,0.57,0.0,0.006711409395973153,1.0
BU,0.7000000000000001,0.65,0.20670897552130563,0.025167785234899334,3.75
VC,0.7000000000000001,0.98,0.9589659417316373,0.04409395973154361,6.57
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6235570469798657,92.91
RDP,0.8,0.57,0.0,0.006711409395973153,1.0
BU,0.8,0.64,0.18144611186903148,0.02107382550335571,3.14
VC,0.8,0.98,0.9589659417316373,0.04375838926174496,6.52
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7336912751677852,109.32
RDP,0.9,0.57,0.0,0.006711409395973153,1.0
BU,0.9,0.62,0.13043478260869568,0.017248322147651006,2.57
VC,0.9,0.98,0.9589659417316373,0.04348993288590604,6.48
LSF,0.9,0.0,0.0,0.0,0.0
