Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.56,0.1266375545851528,0.006711409395973153,1.0
RDP,0.0,1.0,1.0,0.9828859060402684,146.45
BU,0.0,1.0,1.0,1.006711409395973,150.0
VC,0.0,1.0,1.0,1.0,149.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.06422818791946311,9.57
RDP,0.1,1.0,1.0,0.05295302013422819,7.89
BU,0.1,0.98,0.959951942330797,0.043221476510067115,6.44
VC,0.1,0.99,0.9799839871897518,0.09691275167785235,14.44
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.1004026845637584,14.96
RDP,0.2,0.79,0.5830023828435267,0.033959731543624166,5.06
BU,0.2,0.87,0.7385358004827032,0.03899328859060403,5.81
VC,0.2,0.99,0.9799839871897518,0.06711409395973157,10.0
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.11906040268456376,17.74
RDP,0.30000000000000004,0.56,0.13488006291781363,0.016845637583892622,2.51
BU,0.30000000000000004,0.83,0.6575342465753424,0.03416107382550336,5.09
VC,0.30000000000000004,0.98,0.959951942330797,0.05530201342281879,8.24
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.1536241610738255,22.89
RDP,0.4,0.47,-0.0408483896307934,0.009060402684563757,1.35
BU,0.4,0.79,0.5766129032258064,0.03268456375838927,4.87
VC,0.4,0.97,0.9399038461538461,0.051006711409395965,7.6
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.22906040268456376,34.13
RDP,0.5,0.49,0.0,0.006711409395973153,1.0
BU,0.5,0.76,0.5167136528393073,0.03134228187919463,4.67
VC,0.5,0.97,0.9399038461538461,0.04751677852348993,7.08
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.3736241610738255,55.67
RDP,0.6000000000000001,0.49,0.0,0.006711409395973153,1.0
BU,0.6000000000000001,0.75,0.497588424437299,0.02885906040268457,4.3
VC,0.6000000000000001,0.98,0.959951942330797,0.045100671140939595,6.72
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5129530201342282,76.43
RDP,0.7000000000000001,0.49,0.0,0.006711409395973153,1.0
BU,0.7000000000000001,0.72,0.4411177644710579,0.025167785234899334,3.75
VC,0.7000000000000001,0.98,0.959951942330797,0.04409395973154361,6.57
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6235570469798657,92.91
RDP,0.8,0.49,0.0,0.006711409395973153,1.0
BU,0.8,0.61,0.2243436754176611,0.02107382550335571,3.14
VC,0.8,0.98,0.959951942330797,0.04375838926174496,6.52
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7336912751677852,109.32
RDP,0.9,0.49,0.0,0.006711409395973153,1.0
BU,0.9,0.46,-0.06846062524732877,0.017248322147651006,2.57
VC,0.9,0.98,0.959951942330797,0.04348993288590604,6.48
LSF,0.9,0.0,0.0,0.0,0.0
