Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,38,0.0,0.006711409395973147,1.0
RDP,0.0,100,1.0,0.9848993288590602,146.75
BU,0.0,100,1.0,1.0,149.0
BU,0.0,100,1.0,1.0,149.0
VW,0.0,100,1.0,1.0,149.0
OS,0.01,75,0.4255514705882353,0.038389261744966464,5.72
RDP,0.01,100,1.0,0.23308724832214767,34.73
BU,0.01,99,0.9788851351351351,0.16953020134228183,25.26
BU,0.01,99,0.9788851351351351,0.16953020134228183,25.26
VW,0.01,100,1.0,0.2151006711409397,32.05
OS,0.02,93,0.8536789297658863,0.04738255033557045,7.06
RDP,0.02,99,0.9788851351351351,0.11073825503355705,16.5
BU,0.02,99,0.9788851351351351,0.12979865771812082,19.34
BU,0.02,99,0.9788851351351351,0.12979865771812082,19.34
VW,0.02,99,0.9788851351351351,0.14067114093959732,20.96
OS,0.03,95,0.8965231788079471,0.05315436241610736,7.92
RDP,0.03,99,0.9788851351351351,0.09677852348993289,14.42
BU,0.03,97,0.9372909698996655,0.10832214765100683,16.14
BU,0.03,97,0.9372909698996655,0.10832214765100683,16.14
VW,0.03,97,0.9372909698996655,0.1042953020134228,15.54
OS,0.04,95,0.8965231788079471,0.05738255033557047,8.55
RDP,0.04,99,0.9788851351351351,0.08228187919463087,12.26
BU,0.04,96,0.9168053244592346,0.0981208053691276,14.62
BU,0.04,96,0.9168053244592346,0.0981208053691276,14.62
VW,0.04,97,0.9372909698996655,0.0907382550335571,13.52
OS,0.05,95,0.8965231788079471,0.06033557046979866,8.99
RDP,0.05,98,0.957983193277311,0.07174496644295307,10.69
BU,0.05,95,0.8965231788079471,0.09275167785234904,13.82
BU,0.05,95,0.8965231788079471,0.09275167785234904,13.82
VW,0.05,96,0.9168053244592346,0.07993288590604031,11.91
OS,0.06,96,0.9168053244592346,0.0633557046979866,9.44
RDP,0.06,95,0.8965231788079471,0.0661073825503356,9.85
BU,0.06,95,0.8965231788079471,0.09020134228187922,13.44
BU,0.06,95,0.8965231788079471,0.09020134228187922,13.44
VW,0.06,96,0.9168053244592346,0.07355704697986584,10.96
OS,0.07,96,0.9168053244592346,0.06489932885906041,9.67
RDP,0.07,94,0.8764415156507414,0.06295302013422822,9.38
BU,0.07,95,0.8965231788079471,0.0891275167785235,13.28
BU,0.07,95,0.8965231788079471,0.0891275167785235,13.28
VW,0.07,95,0.8965231788079471,0.06865771812080541,10.23
OS,0.08,96,0.9168053244592346,0.06651006711409399,9.91
RDP,0.08,94,0.8764415156507414,0.06006711409395976,8.95
BU,0.08,94,0.8764415156507414,0.08751677852348994,13.04
BU,0.08,94,0.8764415156507414,0.08751677852348994,13.04
VW,0.08,95,0.8965231788079471,0.06342281879194635,9.45
OS,0.09,96,0.9168053244592346,0.06758389261744968,10.07
RDP,0.09,94,0.8764415156507414,0.05758389261744968,8.58
BU,0.09,89,0.7723509933774835,0.08630872483221477,12.86
BU,0.09,89,0.7723509933774835,0.08630872483221477,12.86
VW,0.09,95,0.8965231788079471,0.06040268456375839,9.0
OS,0.1,96,0.9168053244592346,0.06926174496644298,10.32
RDP,0.1,93,0.8565573770491803,0.055906040268456386,8.33
BU,0.1,89,0.7723509933774835,0.08577181208053691,12.78
BU,0.1,89,0.7723509933774835,0.08577181208053691,12.78
VW,0.1,95,0.8965231788079471,0.058724832214765106,8.75
OS,0.11,96,0.9168053244592346,0.07134228187919467,10.63
RDP,0.11,94,0.8764415156507414,0.05416107382550336,8.07
BU,0.11,86,0.7088186356073212,0.08442953020134229,12.58
BU,0.11,86,0.7088186356073212,0.08442953020134229,12.58
VW,0.11,95,0.8965231788079471,0.05751677852348995,8.57
OS,0.12,96,0.9168053244592346,0.07516778523489935,11.2
RDP,0.12,94,0.8764415156507414,0.052617449664429515,7.84
BU,0.12,87,0.7282608695652174,0.08375838926174498,12.48
BU,0.12,87,0.7282608695652174,0.08375838926174498,12.48
VW,0.12,95,0.8965231788079471,0.056040268456375844,8.35
OS,0.13,97,0.9372909698996655,0.07859060402684566,11.71
RDP,0.13,93,0.8565573770491803,0.05140939597315434,7.66
BU,0.13,86,0.7058823529411764,0.08281879194630873,12.34
BU,0.13,86,0.7058823529411764,0.08281879194630873,12.34
VW,0.13,95,0.8965231788079471,0.05442953020134226,8.11
OS,0.14,97,0.9372909698996655,0.08214765100671137,12.24
RDP,0.14,91,0.8173701298701299,0.04946308724832212,7.37
BU,0.14,84,0.6604414261460101,0.0818791946308725,12.2
BU,0.14,84,0.6604414261460101,0.0818791946308725,12.2
VW,0.14,95,0.8965231788079471,0.053020134228187896,7.9
OS,0.15,98,0.957983193277311,0.08691275167785237,12.95
RDP,0.15,86,0.722662440570523,0.04798657718120803,7.15
BU,0.15,83,0.6373720136518772,0.08053691275167786,12.0
BU,0.15,83,0.6373720136518772,0.08053691275167786,12.0
VW,0.15,94,0.8764415156507414,0.051879194630872455,7.73
OS,0.16,99,0.9788851351351351,0.09127516778523492,13.6
RDP,0.16,85,0.7042586750788644,0.046308724832214744,6.9
BU,0.16,82,0.614065180102916,0.07959731543624163,11.86
BU,0.16,82,0.614065180102916,0.07959731543624163,11.86
VW,0.16,94,0.8764415156507414,0.051208053691275145,7.63
OS,0.17,99,0.9788851351351351,0.09563758389261748,14.25
RDP,0.17,83,0.66796875,0.044563758389261736,6.64
BU,0.17,81,0.5905172413793103,0.07838926174496647,11.68
BU,0.17,81,0.5905172413793103,0.07838926174496647,11.68
VW,0.17,94,0.8764415156507414,0.050201342281879155,7.48
OS,0.18,99,0.9788851351351351,0.1,14.9
RDP,0.18,78,0.5801526717557253,0.042953020134228165,6.4
BU,0.18,80,0.5711835334476845,0.07704697986577184,11.48
BU,0.18,80,0.5711835334476845,0.07704697986577184,11.48
VW,0.18,93,0.8565573770491803,0.04939597315436238,7.36
OS,0.19,99,0.9788851351351351,0.10449664429530202,15.57
RDP,0.19,73,0.4917168674698795,0.04033557046979865,6.01
BU,0.19,80,0.5755517826825127,0.07610738255033561,11.34
BU,0.19,80,0.5755517826825127,0.07610738255033561,11.34
VW,0.19,93,0.8565573770491803,0.048523489932885876,7.23
OS,0.2,99,0.9788851351351351,0.10838926174496645,16.15
RDP,0.2,70,0.4427934621099554,0.03697986577181207,5.51
BU,0.2,78,0.5331069609507639,0.07503355704697989,11.18
BU,0.2,78,0.5331069609507639,0.07503355704697989,11.18
VW,0.2,93,0.8565573770491803,0.04838926174496641,7.21
OS,0.21,99,0.9788851351351351,0.11013422818791949,16.41
