Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,100,1.0,0.00657894736842105,1.0
RDP,0.0,100,1.0,0.5998684210526316,91.18
BU_1,0.0,100,1.0,1.0065789473684215,153.0
BU_2,0.0,100,1.0,1.0,152.0
VW,0.0,100,1.0,1.0,152.0
OS,0.01,100,1.0,0.03940789473684204,5.99
RDP,0.01,100,1.0,0.10072368421052628,15.31
BU_1,0.01,100,1.0,0.06697368421052635,10.18
BU_2,0.01,100,1.0,0.12131578947368422,18.44
VW,0.01,100,1.0,0.13875,21.09
OS,0.02,100,1.0,0.05486842105263159,8.34
RDP,0.02,100,1.0,0.09171052631578946,13.94
BU_1,0.02,100,1.0,0.05822368421052631,8.85
BU_2,0.02,100,1.0,0.1038815789473684,15.79
VW,0.02,100,1.0,0.11644736842105263,17.7
OS,0.03,100,1.0,0.06157894736842109,9.36
RDP,0.03,100,1.0,0.08526315789473679,12.96
BU_1,0.03,100,1.0,0.054868421052631566,8.34
BU_2,0.03,100,1.0,0.09730263157894735,14.79
VW,0.03,100,1.0,0.10690789473684212,16.25
OS,0.04,100,1.0,0.06434210526315795,9.78
RDP,0.04,100,1.0,0.07934210526315785,12.06
BU_1,0.04,100,1.0,0.052894736842105286,8.04
BU_2,0.04,100,1.0,0.09342105263157893,14.2
VW,0.04,100,1.0,0.09960526315789477,15.14
OS,0.05,100,1.0,0.06697368421052635,10.18
RDP,0.05,100,1.0,0.07447368421052626,11.32
BU_1,0.05,100,1.0,0.0504605263157895,7.67
BU_2,0.05,100,1.0,0.08855263157894738,13.46
VW,0.05,100,1.0,0.09427631578947374,14.33
OS,0.06,100,1.0,0.06914473684210531,10.51
RDP,0.06,100,1.0,0.06901315789473683,10.49
BU_1,0.06,100,1.0,0.04723684210526317,7.18
BU_2,0.06,100,1.0,0.08210526315789467,12.48
VW,0.06,100,1.0,0.09111842105263161,13.85
OS,0.07,100,1.0,0.07144736842105265,10.86
RDP,0.07,100,1.0,0.06440789473684214,9.79
BU_1,0.07,100,1.0,0.04559210526315789,6.93
BU_2,0.07,100,1.0,0.07881578947368414,11.98
VW,0.07,100,1.0,0.08756578947368415,13.31
OS,0.08,100,1.0,0.07434210526315789,11.3
RDP,0.08,100,1.0,0.056315789473684236,8.56
BU_1,0.08,100,1.0,0.04467105263157896,6.79
BU_2,0.08,100,1.0,0.07697368421052624,11.7
VW,0.08,100,1.0,0.08421052631578942,12.8
OS,0.09,100,1.0,0.07710526315789468,11.72
RDP,0.09,100,1.0,0.052236842105263165,7.94
BU_1,0.09,100,1.0,0.04276315789473683,6.5
BU_2,0.09,100,1.0,0.07315789473684205,11.12
VW,0.09,100,1.0,0.0822368421052631,12.5
OS,0.1,100,1.0,0.07940789473684204,12.07
RDP,0.1,100,1.0,0.048223684210526335,7.33
BU_1,0.1,100,1.0,0.041052631578947334,6.24
BU_2,0.1,100,1.0,0.06973684210526312,10.6
VW,0.1,100,1.0,0.08019736842105255,12.19
OS,0.11,100,1.0,0.08184210526315784,12.44
RDP,0.11,100,1.0,0.04447368421052632,6.76
BU_1,0.11,100,1.0,0.039802631578947326,6.05
BU_2,0.11,100,1.0,0.06723684210526314,10.22
VW,0.11,100,1.0,0.07914473684210517,12.03
OS,0.12,100,1.0,0.08381578947368416,12.74
RDP,0.12,100,1.0,0.04105263157894739,6.24
BU_1,0.12,100,1.0,0.03809210526315787,5.79
BU_2,0.12,100,1.0,0.0638157894736842,9.7
VW,0.12,100,1.0,0.07782894736842098,11.83
OS,0.13,100,1.0,0.08506578947368418,12.93
RDP,0.13,100,1.0,0.03532894736842104,5.37
BU_1,0.13,100,1.0,0.037368421052631565,5.68
BU_2,0.13,100,1.0,0.06236842105263157,9.48
VW,0.13,100,1.0,0.07638157894736838,11.61
OS,0.14,100,1.0,0.08717105263157895,13.25
RDP,0.14,100,1.0,0.031710526315789446,4.82
BU_1,0.14,100,1.0,0.036776315789473664,5.59
BU_2,0.14,100,1.0,0.061184210526315785,9.3
VW,0.14,100,1.0,0.07486842105263157,11.38
OS,0.15,100,1.0,0.08901315789473689,13.53
RDP,0.15,100,1.0,0.027828947368421026,4.23
BU_1,0.15,100,1.0,0.03585526315789471,5.45
BU_2,0.15,100,1.0,0.05934210526315791,9.02
VW,0.15,100,1.0,0.07375,11.21
OS,0.16,100,1.0,0.09105263157894736,13.84
RDP,0.16,98,0.0,0.026249999999999978,3.99
BU_1,0.16,100,1.0,0.035394736842105236,5.38
BU_2,0.16,100,1.0,0.05842105263157897,8.88
VW,0.16,100,1.0,0.0730921052631579,11.11
OS,0.17,100,1.0,0.09276315789473685,14.1
RDP,0.17,98,0.0,0.024407894736842087,3.71
BU_1,0.17,100,1.0,0.03427631578947367,5.21
BU_2,0.17,100,1.0,0.056184210526315795,8.54
VW,0.17,100,1.0,0.07276315789473686,11.06
OS,0.18,100,1.0,0.0943421052631579,14.34
RDP,0.18,98,0.0,0.0219736842105263,3.34
BU_1,0.18,100,1.0,0.03355263157894736,5.1
BU_2,0.18,100,1.0,0.05473684210526316,8.32
VW,0.18,100,1.0,0.0723684210526316,11.0
OS,0.19,100,1.0,0.09664473684210526,14.69
RDP,0.19,98,0.0,0.020855263157894707,3.17
BU_1,0.19,100,1.0,0.03276315789473684,4.98
BU_2,0.19,100,1.0,0.05315789473684211,8.08
VW,0.19,100,1.0,0.0717763157894737,10.91
OS,0.2,100,1.0,0.09736842105263158,14.8
RDP,0.2,98,0.0,0.019605263157894712,2.98
BU_1,0.2,100,1.0,0.0318421052631579,4.84
BU_2,0.2,100,1.0,0.05131578947368421,7.8
VW,0.2,100,1.0,0.07125000000000004,10.83
OS,0.21,100,1.0,0.09815789473684208,14.92
RDP,0.21,98,0.0,0.018618421052631555,2.83
BU_1,0.21,100,1.0,0.03138157894736843,4.77
