Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,22,-0.1480718280836033,0.0066225165562913925,1.0
RDP,0.0,100,1.0,0.5972185430463575,90.18
BU,0.0,100,1.0,1.0,151.0
BU,0.0,100,1.0,1.0,151.0
VW,0.0,100,1.0,1.0,151.0
OS,0.01,59,0.20480993017843296,0.03284768211920528,4.96
RDP,0.01,100,1.0,0.09443708609271521,14.26
BU,0.01,100,1.0,0.11483443708609276,17.34
BU,0.01,100,1.0,0.11483443708609276,17.34
VW,0.01,100,1.0,0.10092715231788077,15.24
OS,0.02,89,0.5315161839863713,0.04821192052980132,7.28
RDP,0.02,99,0.9508840864440079,0.08516556291390731,12.86
BU,0.02,99,0.9508840864440079,0.09701986754966892,14.65
BU,0.02,99,0.9508840864440079,0.09701986754966892,14.65
VW,0.02,100,1.0,0.08529801324503318,12.88
OS,0.03,97,0.8404255319148937,0.05529801324503312,8.35
RDP,0.03,99,0.9508840864440079,0.07867549668874173,11.88
BU,0.03,99,0.9508840864440079,0.09052980132450332,13.67
BU,0.03,99,0.9508840864440079,0.09052980132450332,13.67
VW,0.03,99,0.9508840864440079,0.0764238410596027,11.54
OS,0.04,98,0.8978549540347294,0.05807947019867551,8.77
RDP,0.04,99,0.9508840864440079,0.0727152317880795,10.98
BU,0.04,99,0.9508840864440079,0.08675496688741723,13.1
BU,0.04,99,0.9508840864440079,0.08675496688741723,13.1
VW,0.04,99,0.9508840864440079,0.07178807947019868,10.84
OS,0.05,98,0.8978549540347294,0.06052980132450329,9.14
RDP,0.05,99,0.9508840864440079,0.06781456953642383,10.24
BU,0.05,99,0.9508840864440079,0.08185430463576161,12.36
BU,0.05,99,0.9508840864440079,0.08185430463576161,12.36
VW,0.05,99,0.9508840864440079,0.06781456953642383,10.24
OS,0.06,98,0.8978549540347294,0.06304635761589401,9.52
RDP,0.06,98,0.8978549540347294,0.062317880794702,9.41
BU,0.06,99,0.9508840864440079,0.07523178807947016,11.36
BU,0.06,99,0.9508840864440079,0.07523178807947016,11.36
VW,0.06,99,0.9508840864440079,0.06642384105960264,10.03
OS,0.07,99,0.9508840864440079,0.06529801324503309,9.86
RDP,0.07,93,0.7018739352640545,0.05735099337748348,8.66
BU,0.07,99,0.9508840864440079,0.0721854304635761,10.9
BU,0.07,99,0.9508840864440079,0.0721854304635761,10.9
VW,0.07,99,0.9508840864440079,0.06503311258278145,9.82
OS,0.08,99,0.9508840864440079,0.06821192052980132,10.3
RDP,0.08,79,0.3286445012787724,0.049205298013245045,7.43
BU,0.08,98,0.9053926206244087,0.07019867549668869,10.6
BU,0.08,98,0.9053926206244087,0.07019867549668869,10.6
VW,0.08,99,0.9508840864440079,0.06370860927152316,9.62
OS,0.09,99,0.9508840864440079,0.07086092715231788,10.7
RDP,0.09,75,0.2732558139534883,0.04529801324503314,6.84
BU,0.09,98,0.9053926206244087,0.06635761589403973,10.02
BU,0.09,98,0.9053926206244087,0.06635761589403973,10.02
VW,0.09,99,0.9508840864440079,0.06205298013245033,9.37
OS,0.1,100,1.0,0.07304635761589405,11.03
RDP,0.1,75,0.23873325213154695,0.04092715231788084,6.18
BU,0.1,96,0.7957099080694586,0.06264900662251653,9.46
BU,0.1,96,0.7957099080694586,0.06264900662251653,9.46
VW,0.1,99,0.9508840864440079,0.06006622516556292,9.07
OS,0.11,100,1.0,0.07523178807947024,11.36
RDP,0.11,70,0.18345127925966254,0.0374834437086093,5.66
BU,0.11,97,0.8404255319148937,0.06013245033112582,9.08
BU,0.11,97,0.8404255319148937,0.06013245033112582,9.08
VW,0.11,99,0.9508840864440079,0.05880794701986756,8.88
OS,0.12,100,1.0,0.07728476821192061,11.67
RDP,0.12,65,0.1387795275590551,0.0337086092715232,5.09
BU,0.12,89,0.560702875399361,0.05668874172185427,8.56
BU,0.12,89,0.560702875399361,0.05668874172185427,8.56
VW,0.12,99,0.9508840864440079,0.05814569536423841,8.78
OS,0.13,100,1.0,0.07880794701986764,11.9
RDP,0.13,73,0.17783191230207074,0.02834437086092715,4.28
BU,0.13,87,0.48083067092651754,0.05509933774834433,8.32
BU,0.13,87,0.48083067092651754,0.05509933774834433,8.32
VW,0.13,99,0.9508840864440079,0.057218543046357616,8.64
OS,0.14,100,1.0,0.08086092715231795,12.21
RDP,0.14,75,0.20076726342711004,0.024437086092715235,3.69
BU,0.14,86,0.42291838417147576,0.05403973509933771,8.16
BU,0.14,86,0.42291838417147576,0.05403973509933771,8.16
VW,0.14,99,0.9508840864440079,0.05629139072847682,8.5
OS,0.15,100,1.0,0.08278145695364246,12.5
RDP,0.15,56,-0.05807086614173218,0.020728476821192054,3.13
BU,0.15,87,0.4463373083475298,0.05258278145695362,7.94
BU,0.15,87,0.4463373083475298,0.05258278145695362,7.94
