,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.1650485436893204,-0.00223055537596184,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.993668214436471
2,OS,0.01,0.8363384188626907,0.013954243063443061,0.04347826086956521
3,RDP,0.01,0.9972260748959778,0.9898671913428431,0.7826086956521737
4,OS,0.02,0.8391123439667129,0.041399229781771574,0.043960682626786464
5,RDP,0.02,0.9944521497919556,0.9797343826856861,0.6277513115841524
6,OS,0.03,0.8460471567267683,0.1074244671715201,0.051377917144063194
7,RDP,0.03,0.9902912621359223,0.9641703523331511,0.5292769703913647
8,OS,0.04,0.8460471567267683,0.1074244671715201,0.06410179099077368
9,RDP,0.04,0.9736477115117892,0.9013956769285031,0.4587830911174094
10,OS,0.05,0.8571428571428571,0.2059726068408052,0.0833986612796237
11,RDP,0.05,0.9680998613037448,0.8789535537274539,0.40463124886932395
12,OS,0.06,0.871012482662968,0.31826916233720026,0.10679611650485436
13,RDP,0.06,0.9639389736477115,0.8607094559450744,0.35687149490442016
14,OS,0.07,0.8821081830790569,0.40046565774155995,0.1215099801001025
15,RDP,0.07,0.9680998613037448,0.8772220782586162,0.3164686727371404
16,OS,0.08,0.8932038834951457,0.47667436489607395,0.12892721461737924
17,RDP,0.08,0.9583911234396671,0.8345292920638321,0.2814327926189471
18,OS,0.09,0.9029126213592233,0.5389435989256938,0.13592233009708735
19,RDP,0.09,0.9528432732316228,0.8082146768893756,0.25893987818850633
20,OS,0.1,0.9056865464632455,0.5560344827586208,0.14177169390339503
21,RDP,0.1,0.9472954230235784,0.7840194239046463,0.24060785141409877
22,OS,0.11,0.9084604715672677,0.5728289556365465,0.14593258155942831
23,RDP,0.11,0.9403606102635229,0.7508578500309389,0.22722064765120908
24,OS,0.12,0.9084604715672677,0.5728289556365465,0.14955074473858768
25,RDP,0.12,0.9306518723994452,0.7022088585636637,0.21576313091720437
26,OS,0.13,0.9098474341192788,0.581117437277107,0.15485738406802146
27,RDP,0.13,0.926490984743412,0.6830769230769231,0.20563227401555811
28,OS,0.14,0.9098474341192788,0.581117437277107,0.1601640233974552
29,RDP,0.14,0.9251040221914009,0.6757985544415948,0.19688837966592293
30,OS,0.15,0.9112343966712899,0.5893346623473711,0.1644455164927938
31,RDP,0.15,0.9251040221914009,0.6783855672487569,0.18898872339142495
32,OS,0.16,0.9112343966712899,0.5893346623473711,0.1696918531025749
33,RDP,0.16,0.9223300970873787,0.6610647549653308,0.1821142133510221
34,OS,0.17,0.9153952843273232,0.6135678701027123,0.17572212506784055
35,RDP,0.17,0.9153952843273232,0.6231631979847658,0.1760839413857565
36,OS,0.18,0.9209431345353676,0.6449349863925007,0.18151118615449555
37,RDP,0.18,0.9140083217753121,0.6185640903117907,0.1707169993366701
38,OS,0.19,0.9195561719833565,0.6371917891412608,0.1871193390821926
39,RDP,0.19,0.9112343966712899,0.602987231992291,0.16565157088584695
40,OS,0.2,0.926490984743412,0.6752721432395455,0.19302900560815292
41,RDP,0.2,0.9084604715672677,0.587149277298676,0.15913887716336006
42,OS,0.21,0.9306518723994452,0.6973792455047596,0.1974914068624495
43,RDP,0.21,0.9140083217753121,0.6185640903117907,0.15184224808538865
44,OS,0.22,0.9320388349514563,0.7046292503072511,0.20207441355605135
45,RDP,0.22,0.9153952843273232,0.6231631979847658,0.14762105770970269
46,OS,0.23,0.9348127600554785,0.718955007256894,0.2068986311282639
47,RDP,0.23,0.912621359223301,0.6140027363036107,0.14394259181089064
48,OS,0.24,0.9445214979195562,0.7673367969279422,0.21395404932762466
49,RDP,0.24,0.912621359223301,0.6171455543099889,0.1408671531086052
50,OS,0.25,0.9431345353675451,0.7605873348829298,0.21962250497497435
51,RDP,0.25,0.9167822468793343,0.6426506302763965,0.13568111921847673
52,OS,0.26,0.9486823855755895,0.7872732347195088,0.22547186878128203
53,RDP,0.26,0.9223300970873787,0.6691142726021111,0.13152023156244344
54,OS,0.27,0.9500693481276006,0.7938167259786477,0.2321051679430742
55,RDP,0.27,0.9209431345353676,0.6671580021543171,0.12675631670988358
56,OS,0.28,0.9528432732316228,0.8067542213883677,0.23867816438521378
57,RDP,0.28,0.9306518723994452,0.7091709961599277,0.11945968763191218
58,OS,0.29,0.955617198335645,0.8194961664841183,0.24531146354700595
59,RDP,0.29,0.9251040221914009,0.6809316200091785,0.1133691129469939
60,OS,0.3,0.955617198335645,0.820850092401348,0.2514623409515769
61,RDP,0.3,0.9195561719833565,0.6545622759338499,0.10420309955979014
62,OS,0.31,0.955617198335645,0.820850092401348,0.25815594283302173
63,RDP,0.31,0.9098474341192788,0.614409952197201,0.09509738889223904
64,OS,0.32,0.9583911234396671,0.8332973672852827,0.26394500391967674
65,RDP,0.32,0.883495145631068,0.5467309304274937,0.08520774286920339
66,OS,0.33,0.9583911234396671,0.8332973672852827,0.26991497316528973
67,RDP,0.33,0.8155339805825242,0.39403724510107485,0.07628294036061026
68,OS,0.34,0.9583911234396671,0.8332973672852827,0.2769100886449979
69,RDP,0.34,0.7337031900138696,0.2308649657747356,0.06832298136645962
70,OS,0.35000000000000003,0.9597780859916782,0.8394517602794948,0.28396550684435873
71,RDP,0.35000000000000003,0.6296809986130375,0.08928039209192973,0.06078514140987757
72,OS,0.36,0.9597780859916782,0.8394517602794948,0.2892721461737924
73,RDP,0.36,0.5520110957004161,0.02325240010569274,0.05511668576252788
74,OS,0.37,0.9611650485436893,0.8455606725929099,0.2964481698124586
75,RDP,0.37,0.5006934812760055,-0.016558833205395418,0.051860338901284435
76,OS,0.38,0.9611650485436893,0.8455606725929099,0.30356389073147194
77,RDP,0.38,0.46740638002773927,-0.04862399915159887,0.04950853283483084
78,OS,0.39,0.9611650485436893,0.8455606725929099,0.3104987034915274
79,RDP,0.39,0.4507628294036061,-0.06579566239874568,0.04854368932038834
80,OS,0.4,0.9639389736477115,0.8576440569849033,0.3178556352891515
81,RDP,0.4,0.44937586685159503,-0.07041700479045043,0.04775975396490381
82,OS,0.41000000000000003,0.9653259361997226,0.8636195116784069,0.3252125670867756
83,RDP,0.41000000000000003,0.44382801664355065,-0.08512203452171407,0.04709642404872458
84,OS,0.42,0.9653259361997226,0.8636195116784069,0.3336549478381475
85,RDP,0.42,0.44244105409153955,-0.08980365320840145,0.04703612132907193
86,OS,0.43,0.9667128987517337,0.8695514511873351,0.34233853946813003
87,RDP,0.43,0.435506241331484,-0.10940270463386881,0.04655369957185068
88,OS,0.44,0.9680998613037448,0.8754403491245597,0.35084122293915454
89,RDP,0.44,0.435506241331484,-0.10940270463386881,0.046312488693240055
90,OS,0.45,0.9694868238557559,0.8812866722548198,0.3593439064101791
91,RDP,0.45,0.43411927877947293,-0.11416299909857375,0.0462521859735874
92,OS,0.46,0.9680998613037448,0.8754403491245597,0.3688717361152988
93,RDP,0.46,0.43273231622746183,-0.11894074211798444,0.04619188325393475
94,OS,0.47000000000000003,0.9680998613037448,0.8754403491245597,0.3775553277452813
95,RDP,0.47000000000000003,0.42579750346740636,-0.13888147000694406,0.04576976421636615
96,OS,0.48,0.9680998613037448,0.8754403491245597,0.386540432973527
97,RDP,0.48,0.42441054091539526,-0.14374013325127777,0.045528553337755524
98,OS,0.49,0.970873786407767,0.8870908806180509,0.3946209974069831
99,RDP,0.49,0.420249653259362,-0.15842436635634716,0.0452873424591449
100,OS,0.5,0.970873786407767,0.8878984192796061,0.40535488150515586
101,RDP,0.5,0.4188626907073509,-0.16335552740113757,0.04516673701983958
102,OS,0.51,0.970873786407767,0.8878984192796061,0.41403847313513836
103,RDP,0.51,0.4188626907073509,-0.16335552740113757,0.04504613158053426
104,OS,0.52,0.970873786407767,0.8878984192796061,0.42157631309172033
105,RDP,0.52,0.4160887656033287,-0.17327308639303007,0.044865223421576304
106,OS,0.53,0.9722607489597781,0.8936170212765957,0.43116444551649274
107,RDP,0.53,0.4174757281553398,-0.16830506643621024,0.04480492070192365
108,OS,0.54,0.9778085991678225,0.915495846579838,0.4403304589036966
109,RDP,0.54,0.4174757281553398,-0.16830506643621024,0.04480492070192365
110,OS,0.55,0.9805825242718447,0.9265784114052953,0.44949647229090034
111,RDP,0.55,0.4174757281553398,-0.16830506643621024,0.04450340710366037
112,OS,0.56,0.9778085991678225,0.9160896130346232,0.457456431285051
113,RDP,0.56,0.4188626907073509,-0.16335552740113757,0.04414159078574443
114,OS,0.5700000000000001,0.9764216366158114,0.9105308875376833,0.4663209310739915
115,RDP,0.5700000000000001,0.4188626907073509,-0.16335552740113757,0.04402098534643911
116,OS,0.58,0.9833564493758669,0.9375063201537062,0.4740999819091841
117,RDP,0.58,0.4188626907073509,-0.16335552740113757,0.0439003799071338
118,OS,0.59,0.9833564493758669,0.9375063201537062,0.48362781161430385
119,RDP,0.59,0.4188626907073509,-0.16335552740113757,0.04377977446782849
120,OS,0.6,0.9833564493758669,0.9375063201537062,0.492371705963939
121,RDP,0.6,0.4188626907073509,-0.16335552740113757,0.04377977446782849
122,OS,0.61,0.9819694868238558,0.9325338842142389,0.5003316649580897
123,RDP,0.61,0.4174757281553398,-0.16830506643621024,0.04365916902852318
124,OS,0.62,0.9819694868238558,0.9329997498123592,0.5133570524030634
125,RDP,0.62,0.4174757281553398,-0.16830506643621024,0.04359886630887052
126,OS,0.63,0.9833564493758669,0.9383664106911339,0.5232466984260989
127,RDP,0.63,0.4174757281553398,-0.16830506643621024,0.043538563589217864
128,OS,0.64,0.984743411927878,0.9433074806104579,0.5333775553277452
129,RDP,0.64,0.4174757281553398,-0.16830506643621024,0.04347826086956521
130,OS,0.65,0.984743411927878,0.9433074806104579,0.5421817523970331
131,RDP,0.65,0.4174757281553398,-0.16830506643621024,0.04347826086956521
132,OS,0.66,0.984743411927878,0.9433074806104579,0.5528553337755532
133,RDP,0.66,0.4174757281553398,-0.16830506643621024,0.04347826086956521
134,OS,0.67,0.9875173370319001,0.9539333101426228,0.5643731532292107
135,RDP,0.67,0.4174757281553398,-0.16830506643621024,0.04347826086956521
136,OS,0.68,0.9875173370319001,0.9539333101426228,0.574142193812941
137,RDP,0.68,0.4174757281553398,-0.16830506643621024,0.04347826086956521
138,OS,0.6900000000000001,0.9889042995839112,0.9591917591125199,0.585358499668335
139,RDP,0.6900000000000001,0.4174757281553398,-0.16830506643621024,0.04347826086956521
140,OS,0.7000000000000001,0.9916782246879334,0.9693938193343898,0.5958511728878972
141,RDP,0.7000000000000001,0.4174757281553398,-0.16830506643621024,0.04347826086956521
142,OS,0.71,0.9916782246879334,0.9693938193343898,0.6073689923415546
143,RDP,0.71,0.4174757281553398,-0.16830506643621024,0.04347826086956521
144,OS,0.72,0.9916782246879334,0.969183205345567,0.6191280226738226
145,RDP,0.72,0.4174757281553398,-0.16830506643621024,0.04347826086956521
146,OS,0.73,0.9930651872399445,0.9744073945236794,0.6322137128384491
147,RDP,0.73,0.4174757281553398,-0.16830506643621024,0.04347826086956521
148,OS,0.74,0.9944521497919556,0.9795958795562599,0.6452391002834228
149,RDP,0.74,0.4174757281553398,-0.16830506643621024,0.04347826086956521
150,OS,0.75,0.9944521497919556,0.9795958795562599,0.6575408550925647
151,RDP,0.75,0.4174757281553398,-0.16830506643621024,0.04347826086956521
152,OS,0.76,0.9930651872399445,0.9744073945236794,0.6699029126213591
153,RDP,0.76,0.4174757281553398,-0.16830506643621024,0.04347826086956521
154,OS,0.77,0.9944521497919556,0.9795958795562599,0.6840137490200808
155,RDP,0.77,0.4174757281553398,-0.16830506643621024,0.04347826086956521
156,OS,0.78,0.9958391123439667,0.9847490252208677,0.698003979979497
157,RDP,0.78,0.4174757281553398,-0.16830506643621024,0.04347826086956521
158,OS,0.79,0.9958391123439667,0.9847490252208677,0.7118736054996079
159,RDP,0.79,0.4174757281553398,-0.16830506643621024,0.04347826086956521
