,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.9128630705394191,0.7683222705424582,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.9967526610138914
2,OS,0.01,0.24896265560165975,0.0026978211664647755,0.04347826086956521
3,RDP,0.01,1.0,1.0,0.7674544470503337
4,OS,0.02,0.21161825726141079,-0.07407581159692245,0.04510193036261951
5,RDP,0.02,0.995850622406639,0.9888420760220381,0.6388237416561429
6,OS,0.03,0.43568464730290457,-0.25338432122370924,0.07198268085874072
7,RDP,0.03,0.9875518672199171,0.9669031815060655,0.5372541944795237
8,OS,0.04,0.9253112033195021,0.7831,0.0961573155331048
9,RDP,0.04,0.9585062240663901,0.8938606535717432,0.4616633591917735
10,OS,0.05,0.966804979253112,0.9122359796067007,0.10445607071982678
11,RDP,0.05,0.921161825726141,0.8077100743291479,0.4057369655421252
12,OS,0.06,0.9626556016597511,0.9039543019085152,0.11131156413494495
13,RDP,0.06,0.8921161825726142,0.7460484720758693,0.3664080822659209
14,OS,0.07,0.9585062240663901,0.8926981300089047,0.12087317337182028
15,RDP,0.07,0.8340248962655602,0.634793150477345,0.33140898430452825
16,OS,0.08,0.9626556016597511,0.9028965393741326,0.12772866678693845
17,RDP,0.08,0.7136929460580913,0.44501551914027293,0.3016417102651993
18,OS,0.09,0.966804979253112,0.9132078869181597,0.13476456792350708
19,RDP,0.09,0.5892116182572614,0.29102903158707993,0.2787299296409886
20,OS,0.1,0.966804979253112,0.9132078869181597,0.13927476095976907
21,RDP,0.1,0.5311203319502075,0.23016254416961124,0.2585242648385351
22,OS,0.11,0.966804979253112,0.9141585040071237,0.143784953996031
23,RDP,0.11,0.5228215767634855,0.22194772746413638,0.24535450117265017
24,OS,0.12,0.9626556016597511,0.9039543019085152,0.15190330146130254
25,RDP,0.12,0.5145228215767634,0.21384559623051846,0.23164351434241384
26,OS,0.13,0.9585062240663901,0.8938606535717432,0.15659390221901498
27,RDP,0.13,0.5103734439834025,0.20983606557377055,0.2204582356124842
28,OS,0.14,0.950207468879668,0.8739979086789822,0.16723795778459316
29,RDP,0.14,0.5103734439834025,0.20983606557377055,0.2132419267544651
30,OS,0.15,0.946058091286307,0.864225352112676,0.1748150820855133
31,RDP,0.15,0.5103734439834025,0.20983606557377055,0.206025617896446
32,OS,0.16,0.946058091286307,0.864225352112676,0.18167057550063143
33,RDP,0.16,0.5103734439834025,0.20983606557377055,0.1991701244813278
34,OS,0.17,0.941908713692946,0.8545564272782137,0.19195381562330868
35,RDP,0.17,0.5103734439834025,0.20983606557377055,0.19393830055926395
36,OS,0.18,0.941908713692946,0.8545564272782137,0.20638643333934692
37,RDP,0.18,0.5103734439834025,0.20983606557377055,0.189067292080101
38,OS,0.19,0.9377593360995851,0.8449894944470648,0.21847375067652897
39,RDP,0.19,0.5062240663900415,0.20585384764489234,0.18509832220819047
40,OS,0.2,0.9377593360995851,0.8449894944470648,0.22532924409164712
41,RDP,0.2,0.4979253112033195,0.19797024120575368,0.17896445967887423
42,OS,0.21,0.9336099585062241,0.8355229483023374,0.2374165614288291
43,RDP,0.21,0.4854771784232365,0.1863428446961446,0.17391304347826084
44,OS,0.22,0.9336099585062241,0.8355229483023374,0.24300920079379396
45,RDP,0.22,0.4730290456431535,0.1749467611936275,0.16868121955619697
46,OS,0.23,0.9336099585062241,0.8355229483023374,0.24878224788020925
47,RDP,0.23,0.45643153526970953,0.16010002926388023,0.1609236875338264
48,OS,0.24,0.9336099585062241,0.8355229483023374,0.25455529496662455
49,RDP,0.24,0.44813278008298757,0.15282146160962073,0.15713512538336638
50,OS,0.25,0.9336099585062241,0.8355229483023374,0.2581634493956341
51,RDP,0.25,0.43568464730290457,0.1420793634174432,0.15064044741114918
52,OS,0.26,0.9336099585062241,0.8355229483023374,0.26231282698899505
53,RDP,0.26,0.42323651452282157,0.13154278899748528,0.14360454627458052
54,OS,0.27,0.9336099585062241,0.8355229483023374,0.2657405736965542
55,RDP,0.27,0.4107883817427386,0.12120589594781972,0.13963557640267
56,OS,0.28,0.950207468879668,0.8739979086789822,0.26970954356846466
57,RDP,0.28,0.4024896265560166,0.11442278248443405,0.13566660653075946
