,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.8723994452149791,0.0,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.993668214436471
2,OS,0.01,0.8723994452149791,0.0,0.04347826086956521
3,RDP,0.01,0.9958391123439667,0.9812237953454457,0.7826086956521737
4,OS,0.02,0.8723994452149791,0.0,0.043960682626786464
5,RDP,0.02,0.9722607489597781,0.8693438196546037,0.6277513115841524
6,OS,0.03,0.8723994452149791,0.0,0.051377917144063194
7,RDP,0.03,0.957004160887656,0.7860308829301448,0.5292769703913647
8,OS,0.04,0.8723994452149791,0.0,0.06410179099077368
9,RDP,0.04,0.941747572815534,0.6927307411315853,0.4587830911174094
10,OS,0.05,0.8723994452149791,0.0,0.0833986612796237
11,RDP,0.05,0.9375866851595007,0.6653118907376652,0.40463124886932395
12,OS,0.06,0.8723994452149791,0.0,0.10679611650485436
13,RDP,0.06,0.9361997226074896,0.6481285011033779,0.35687149490442016
14,OS,0.07,0.8723994452149791,0.0,0.1215099801001025
15,RDP,0.07,0.9375866851595007,0.6497922176048356,0.3164686727371404
16,OS,0.08,0.8751733703190014,0.037326054060469516,0.12892721461737924
17,RDP,0.08,0.9361997226074896,0.6399226994397881,0.2814327926189471
18,OS,0.09,0.8821081830790569,0.1256366723259762,0.13592233009708735
19,RDP,0.09,0.9361997226074896,0.6399226994397881,0.25893987818850633
20,OS,0.1,0.8876560332871013,0.1915585763922536,0.14177169390339503
21,RDP,0.1,0.9348127600554785,0.629937425604176,0.24060785141409877
22,OS,0.11,0.8945908460471568,0.2686455608349795,0.14593258155942831
23,RDP,0.11,0.9348127600554785,0.629937425604176,0.22722064765120908
24,OS,0.12,0.8987517337031901,0.3123015613771478,0.14955074473858768
25,RDP,0.12,0.9348127600554785,0.629937425604176,0.21576313091720437
26,OS,0.13,0.9070735090152566,0.39432275536943473,0.15485738406802146
27,RDP,0.13,0.9361997226074896,0.6356745831227892,0.20563227401555811
28,OS,0.14,0.9140083217753121,0.4577763761189685,0.1601640233974552
29,RDP,0.14,0.9361997226074896,0.6356745831227892,0.19688837966592293
30,OS,0.15,0.9195561719833565,0.5056389644165977,0.1644455164927938
31,RDP,0.15,0.9348127600554785,0.6255455981966254,0.18898872339142495
32,OS,0.16,0.9223300970873787,0.5286701531565184,0.1696918531025749
33,RDP,0.16,0.9348127600554785,0.6255455981966254,0.1821142133510221
34,OS,0.17,0.9278779472954231,0.5730424087823988,0.17572212506784055
35,RDP,0.17,0.9348127600554785,0.629937425604176,0.1760839413857565
36,OS,0.18,0.9348127600554785,0.6255455981966254,0.18151118615449555
37,RDP,0.18,0.9348127600554785,0.629937425604176,0.1707169993366701
38,OS,0.19,0.9361997226074896,0.6356745831227892,0.1871193390821926
39,RDP,0.19,0.9306518723994452,0.5944243187903607,0.16565157088584695
40,OS,0.2,0.941747572815534,0.675023073125711,0.19302900560815292
41,RDP,0.2,0.9278779472954231,0.5730424087823988,0.15913887716336006
42,OS,0.21,0.941747572815534,0.675023073125711,0.1974914068624495
43,RDP,0.21,0.9140083217753121,0.4577763761189685,0.15184224808538865
44,OS,0.22,0.9431345353675451,0.6881520787399913,0.20207441355605135
45,RDP,0.22,0.9029126213592233,0.3541576024364651,0.14762105770970269
46,OS,0.23,0.9459084604715673,0.706687389821315,0.2068986311282639
47,RDP,0.23,0.9015256588072122,0.3403986651032741,0.14394259181089064
48,OS,0.24,0.9445214979195562,0.6974719395783069,0.21395404932762466
49,RDP,0.24,0.8945908460471568,0.2686455608349795,0.1408671531086052
50,OS,0.25,0.9431345353675451,0.6881520787399913,0.21962250497497435
51,RDP,0.25,0.8932038834951457,0.25367335690376003,0.13568111921847673
