,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
0,OS,0.0,0.5423023578363384,0.006497248273385492,0.04347826086956521
1,RDP,0.0,1.0,1.0,0.993668214436471
2,OS,0.01,0.608876560332871,0.20191394320974088,0.04347826086956521
3,RDP,0.01,0.9833564493758669,0.9664739526016399,0.7826086956521737
4,OS,0.02,0.6074895977808599,0.19818686954027287,0.043960682626786464
5,RDP,0.02,0.9653259361997226,0.9302003183097828,0.6277513115841524
6,OS,0.03,0.5769764216366158,0.12646330951255458,0.051377917144063194
7,RDP,0.03,0.9611650485436893,0.9220137059327992,0.5292769703913647
8,OS,0.04,0.5395284327323162,0.03181549761767999,0.06410179099077368
9,RDP,0.04,0.9528432732316228,0.9050933812370304,0.4587830911174094
10,OS,0.05,0.636615811373093,0.2401551048647258,0.0833986612796237
11,RDP,0.05,0.9431345353675451,0.8858811675552141,0.40463124886932395
12,OS,0.06,0.7558945908460472,0.4971787231344703,0.10679611650485436
13,RDP,0.06,0.9320388349514563,0.8636140782976949,0.35687149490442016
14,OS,0.07,0.7503467406380028,0.48921197427561613,0.1215099801001025
15,RDP,0.07,0.926490984743412,0.8525454271833796,0.3164686727371404
16,OS,0.08,0.7420249653259362,0.4747779361772124,0.12892721461737924
17,RDP,0.08,0.9167822468793343,0.8330335708275761,0.2814327926189471
18,OS,0.09,0.7489597780859917,0.48992163223826923,0.13592233009708735
19,RDP,0.09,0.9070735090152566,0.8137590167284168,0.25893987818850633
20,OS,0.1,0.7461858529819695,0.48451509812118343,0.14177169390339503
21,RDP,0.1,0.9042995839112344,0.8081995843919515,0.24060785141409877
22,OS,0.11,0.7475728155339806,0.4876742279311287,0.14593258155942831
23,RDP,0.11,0.8959778085991679,0.791521287382556,0.22722064765120908
24,OS,0.12,0.7572815533980582,0.5063904200424854,0.14955074473858768
25,RDP,0.12,0.8959778085991679,0.7913378686557259,0.21576313091720437
26,OS,0.13,0.7628294036061026,0.5174577206529865,0.15485738406802146
27,RDP,0.13,0.897364771151179,0.7942557900987961,0.20563227401555811
28,OS,0.14,0.7753120665742025,0.5423441920240735,0.1601640233974552
29,RDP,0.14,0.8987517337031901,0.7968128105251373,0.19688837966592293
30,OS,0.15,0.7808599167822469,0.553444869543402,0.1644455164927938
31,RDP,0.15,0.8945908460471568,0.7883229161033122,0.18898872339142495
32,OS,0.16,0.7933425797503467,0.5791636470473018,0.1696918531025749
33,RDP,0.16,0.8959778085991679,0.7908779067294194,0.1821142133510221
34,OS,0.17,0.7947295423023578,0.581894693947919,0.17572212506784055
35,RDP,0.17,0.8918169209431346,0.7822730510731873,0.1760839413857565
36,OS,0.18,0.79750346740638,0.5871759676850072,0.18151118615449555
37,RDP,0.18,0.8890429958391124,0.7768872522473735,0.1707169993366701
38,OS,0.19,0.8099861303744799,0.6114950304622634,0.1871193390821926
39,RDP,0.19,0.8876560332871013,0.7740485245698677,0.16565157088584695
40,OS,0.2,0.811373092926491,0.6138980327920492,0.19302900560815292
41,RDP,0.2,0.8821081830790569,0.7629949609600086,0.15913887716336006
42,OS,0.21,0.8085991678224688,0.60822006268605,0.1974914068624495
